This file was generated by Console at 2020:08:31-07:23:23



[2020:08:31-07:23:23]  (Global) -> CapableVisor34: compañero
[2020:08:31-07:23:24]  (Global) -> (GT)LartPopper: UY KIETO
[2020:08:31-07:23:25]  (Local) -> (LOCAL)[1]Catalina420: hackers
[2020:08:31-07:23:28]  (Local) -> (LOCAL)[1]Stevenea: jaja
[2020:08:31-07:23:32]  (Local) -> (LOCAL)[8]Beltrandj: tu los dejaste caer.......
[2020:08:31-07:23:33]  (Global) -> Leiner: el me estba ayudando pa
[2020:08:31-07:23:33]  (Global) -> Tetranutra: voy
[2020:08:31-07:23:35]  (Global) -> leoo: veo
[2020:08:31-07:23:36]  (Local) -> (LOCAL)[5]Beltrandj: xd
[2020:08:31-07:23:47]  (Global) -> leoo: disparennn
[2020:08:31-07:23:58]  (Local) -> (LOCAL)[1]Catalina420: XD
[2020:08:31-07:24:03]  (Local) -> (LOCAL)[1]Catalina420: pa donde vamos
[2020:08:31-07:24:03]  (Local) -> (LOCAL)[7]Beltrandj: jaja
[2020:08:31-07:24:04]  (Global) -> Tetranutra: Balaclava arregle el nitro porfaaaa eso se queda prendido
[2020:08:31-07:24:07]  (Local) -> (LOCAL)[1]Stevenea: one moment
[2020:08:31-07:24:08]  (Global) -> [Z]Danielz: xd
[2020:08:31-07:24:11]  (Local) -> (LOCAL)[1]Catalina420: hagale
[2020:08:31-07:24:17]  (Local) -> (LOCAL)[1]Stevenea: se me trabó
[2020:08:31-07:24:20]  (Global) -> leoo: delel
[2020:08:31-07:24:20]  (Local) -> (LOCAL)[3]Beltrandj: bala creo que tienes el mic activo
[2020:08:31-07:24:21]  (Local) -> (LOCAL)[2]Stevenea: gonorreaaañerooo
[2020:08:31-07:24:22]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOampo: silencio admin peskando karros
[2020:08:31-07:24:23]  (Global) -> (GT)LartPopper: MK ME QUEBRE A DANI
[2020:08:31-07:24:24]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: aa
[2020:08:31-07:24:24]  (Local) -> (LOCAL)[5]Beltrandj: se escuchan las teclasXD
[2020:08:31-07:24:25]  (Local) -> (LOCAL)[4]Stevenea: bajeme
[2020:08:31-07:24:28]  (Local) -> (LOCAL)[1]Stevenea: cxd
[2020:08:31-07:24:35]  (Global) -> (GT)LartPopper: MK ME QUEBRE A DANI
[2020:08:31-07:24:36]  (Global) -> [Z]Danielz: jajajja xd sisas
[2020:08:31-07:24:38]  (Local) -> (LOCAL)[3]Beltrandj: ahora si
[2020:08:31-07:24:38]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: XDD
[2020:08:31-07:24:43]  (Local) -> (LOCAL)[1]Stevenea: espereme en la estacion mientras reinicio esta mondá
[2020:08:31-07:24:45]  (Global) -> (GT)LartPopper: PERDON AJJAA
[2020:08:31-07:24:46]  (Local) -> (LOCAL)[2]Stevenea: copy?
[2020:08:31-07:24:47]  (Global) -> leoo: jajaj
[2020:08:31-07:24:49]  (Global) -> leoo: no esa
[2020:08:31-07:24:50]  (Local) -> (LOCAL)[1]Catalina420: hagale
[2020:08:31-07:24:52]  (Global) -> [Z]Danielz: jajajajaj relajao
[2020:08:31-07:24:52]  (Local) -> (LOCAL)[10]Beltrandj: donde no le diga y se ponga a decir quien sabe que skdajksajd
[2020:08:31-07:24:52]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOampo: el teklao mekanico de bala
[2020:08:31-07:24:55]  (Global) -> leoo: no esta
[2020:08:31-07:24:57]  (Local) -> (LOCAL)[1][CAPU]Pollo_Pepe: y re lag
[2020:08:31-07:25:02]  (Local) -> (LOCAL)[3]leoo: dani donde esta
[2020:08:31-07:25:05]  (Local) -> (LOCAL)[3]Beltrandj: teclao de gamer
[2020:08:31-07:25:08]  (Global) -> (GT)LartPopper: AJAJA DONDE ESTA
[2020:08:31-07:25:15]  (Global) -> [Z]Danielz: oee
[2020:08:31-07:25:15]  (Global) -> PAPIRRY: yay
[2020:08:31-07:25:18]  (Local) -> (LOCAL)[6]Beltrandj: ush
[2020:08:31-07:25:20]  (Global) -> [Z]Danielz: estoy en comisaria
[2020:08:31-07:25:22]  (Global) -> (GT)LartPopper: DONDE ESTA
[2020:08:31-07:25:22]  (Local) -> (LOCAL)[7][CAPU]Elmenor: w
[2020:08:31-07:25:24]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 KevinOampo: vas a dejar activau esto pa iempre?
[2020:08:31-07:25:24]  (Global) -> leoo: chaleco
[2020:08:31-07:25:25]  (Local) -> (LOCAL)[2]Q'Piskero: nea
[2020:08:31-07:25:26]  (Global) -> (GT)LartPopper: QUE?
[2020:08:31-07:25:27]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF7C00 KevinOampo: XDDDDDDD
[2020:08:31-07:25:30]  (Local) -> (LOCAL)[2]|M.E.D.A.LL.O|$DanRyz$: HABLALO
[2020:08:31-07:25:31]  (Local) -> (LOCAL)[1]Q'Piskero: si me leyo la explicacion :u
[2020:08:31-07:25:32]  (Global) -> Mazo: HPPPPPPPPPPPP
[2020:08:31-07:25:33]  (Local) -> (LOCAL)[6][Z]Danielz: ps pero afuera
[2020:08:31-07:25:34]  (Global) -> [Z]Danielz: xd
[2020:08:31-07:25:36]  (Global) -> Q'Piskero: aaa
[2020:08:31-07:25:39]  (Global) -> [Z]Danielz: afuera de comisaria
[2020:08:31-07:25:40]  (Global) -> Q'Piskero: DanRyz
[2020:08:31-07:25:41]  (Global) -> Q'Piskero: nea xD
[2020:08:31-07:25:41]  (Global) -> FertileBridge40: Q CAJA
[2020:08:31-07:25:42]  (Local) -> (LOCAL)[8]Beltrandj: xDDD
[2020:08:31-07:25:42]  (Global) -> leoo: vamos
[2020:08:31-07:25:44]  (Global) -> |M.E.D.A.LL.O|$DanRyz$: SAPOPERRO
[2020:08:31-07:25:44]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: XDDDDDDDDDDDDDDDDD
[2020:08:31-07:25:44]  (Local) -> (LOCAL)[1]Q'Piskero: lo espero afuera
[2020:08:31-07:25:45]  (Global) -> Mazo: PIROBO
[2020:08:31-07:25:47]  (Global) -> |M.E.D.A.LL.O|$DanRyz$: BREVEEEEE
[2020:08:31-07:25:47]  (Global) -> leoo: montee
[2020:08:31-07:25:49]  (Global) -> (GT)LartPopper: JAAJA
[2020:08:31-07:25:49]  (Global) -> [Z]Danielz: ay mk salio tussy
[2020:08:31-07:25:51]  (Global) -> (GT)LartPopper: OE LEOO
[2020:08:31-07:25:51]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: RUTA AEREA
[2020:08:31-07:25:52]  (Global) -> Q'Piskero: lo espero afuera
[2020:08:31-07:25:54]  (Global) -> [Z]Danielz: oe llegyeme
[2020:08:31-07:25:56]  (Global) -> Q'Piskero: pa explicarle melo
[2020:08:31-07:25:57]  (Global) -> [Z]Danielz: a comisaria
[2020:08:31-07:25:58]  (Local) -> (LOCAL)[4]Beltrandj: ksajk
[2020:08:31-07:25:59]  (Global) -> [CAPU]$Akane$: xddddddddddddddddddddd
[2020:08:31-07:26:00]  (Global) -> Q'Piskero: o k
[2020:08:31-07:26:00]  (Global) -> leoo: monte aragan
[2020:08:31-07:26:01]  (Global) -> [Z]Danielz: estoy aduera
[2020:08:31-07:26:02]  (Global) -> #7F7F7F|CVR|#FF7C00 Balaclava: Cuanto a q la embocholo
[2020:08:31-07:26:03]  (Global) -> |M.E.D.A.LL.O|$DanRyz$: ÑEROOOO
[2020:08:31-07:26:04]  (Global) -> [GT]ElCejas3000: tussy pirobo
[2020:08:31-07:26:06]  (Local) -> (LOCAL)[2]leoo: ya vamos daniiiiii
[2020:08:31-07:26:07]  (Global) -> (GT)LartPopper: DANIEL 
[2020:08:31-07:26:07]  (Local) -> (LOCAL)[2]AlonsoAlzate: corre a 340
[2020:08:31-07:26:08]  (Global) -> |M.E.D.A.LL.O|$DanRyz$: JAJAJAJAA TOCARA DESPUES
[2020:08:31-07:26:08]  (Local) -> (LOCAL)[4]Beltrandj: a onde
[2020:08:31-07:26:09]  (Global) -> Aragan777: Lo sigo
[2020:08:31-07:26:11]  (Global) -> [Z]Danielz: oe
[2020:08:31-07:26:11]  (Global) -> Q'Piskero: ASJDAJSDJ
[2020:08:31-07:26:12]  (Global) -> Gtwilson38: .
[2020:08:31-07:26:12]  (Global) -> leoo: popper salgaa
[2020:08:31-07:26:13]  (Global) -> Q'Piskero: Pork
[2020:08:31-07:26:15]  (Local) -> (LOCAL)[2][EVGT]SUMADRE420: ricardo
[2020:08:31-07:26:16]  (Global) -> |M.E.D.A.LL.O|$DanRyz$:  ME FALTAN 6000 SEGUNDOS
[2020:08:31-07:26:17]  (Global) -> leoo: hagale
[2020:08:31-07:26:17]  (Local) -> (LOCAL)[2][EVGT]CrudoMeansRaw: mph?
[2020:08:31-07:26:17]  (Global) -> [EVG]RicardoJorge: VENDO ROLL ROYCE
[2020:08:31-07:26:18]  (Global) -> (GT)LartPopper: ME MANDAS 150 
[2020:08:31-07:26:18]  (Global) -> Mazo: PIROBO
[2020:08:31-07:26:18]  (Global) -> Aragan777: pa escuchar los temitas
[2020:08:31-07:26:19]  (Local) -> (LOCAL)[7]camilop202: j<j<
[2020:08:31-07:26:20]  (Local) -> (LOCAL)[2][EVG]RicardoJorge: Oe
