This file was generated by Console at 2020:09:01-00:00:00



[2020:09:01-00:00:00]  (Local) -> (LOCAL)[2]Dilan: d
[2020:09:01-00:00:02]  (Local) -> (LOCAL)[3]Jolyne: mca quitaron la skin del supra?
[2020:09:01-00:00:02]  (Local) -> (LOCAL)[2]Dilan: bueno
[2020:09:01-00:00:06]  (Local) -> (LOCAL)[1]COSMID_KID: mas bien vamos asi
[2020:09:01-00:00:06]  (Global) -> Jeison_Aspero: vamos que ya voy a llegar
[2020:09:01-00:00:07]  (Global) -> Daniel_Soto: ole
[2020:09:01-00:00:07]  (Global) -> PABLITO2100: ESTE MAN ME PUSO A PASAR DOBLECONDENAAA
[2020:09:01-00:00:07]  (Local) -> (LOCAL)[2]Dilan: vamos a un lugar solo
[2020:09:01-00:00:08]  (Local) -> (LOCAL)[1]COSMID_KID: xd
[2020:09:01-00:00:10]  (Global) -> LilParaco666: szs 
[2020:09:01-00:00:14]  (Local) -> (LOCAL)[1]LilParaco666: xd
[2020:09:01-00:00:14]  (Local) -> (LOCAL)[2]PABLITO2100: LO METIO OTRO
[2020:09:01-00:00:14]  (Global) -> [Z]Ownlyx: jajaa
[2020:09:01-00:00:14]  (Global) -> (RCA)elTrakegunz: ya le llego
[2020:09:01-00:00:15]  (Team - Services) -> (TEAM)[CG]Daniels: es qui pa
[2020:09:01-00:00:17]  (Global) -> Daniel_Soto: como me siento
[2020:09:01-00:00:17]  (Global) -> PABLITO2100: AYUDA
[2020:09:01-00:00:19]  (Global) -> AlonsoAlzate: caouarafan matando con job 
[2020:09:01-00:00:21]  (Local) -> (LOCAL)[6][CAPU]CapuGiyuVisajoso: por atras
[2020:09:01-00:00:21]  (Local) -> (LOCAL)[2]Dilan: vamos a un lugar solo+
[2020:09:01-00:00:21]  (Global) -> [CAPU]SantiagoAc5-27: sr quintero me mato mientras tenia job
[2020:09:01-00:00:23]  (Global) -> (RTS)ElFrank: pana
[2020:09:01-00:00:23]  (Global) -> TUPAPUJORDAN3001: ffgaqweqzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
[2020:09:01-00:00:24]  (Global) -> [capu]pinkate3: grasias parcero
[2020:09:01-00:00:26]  (Global) -> PABLITO2100: YA ME SOLTO
[2020:09:01-00:00:26]  (Team - Services) -> (TEAM)[CG]Daniels: es aqui pa
[2020:09:01-00:00:27]  (Local) -> (LOCAL)[1][Z]Tartarus: oE
[2020:09:01-00:00:27]  (Local) -> (LOCAL)[3]TripleHpta: mucha weba
[2020:09:01-00:00:27]  (Local) -> (LOCAL)[1]CarranchanSanguino: oe
[2020:09:01-00:00:29]  (Global) -> (RTS)ElFrank: que contigo?
[2020:09:01-00:00:30]  (Local) -> (LOCAL)[2]herrebls: pero ya?
[2020:09:01-00:00:30]  (Local) -> (LOCAL)[2]bray: aca me bajo
[2020:09:01-00:00:30]  (Global) -> [CAPU]SantiagoAc5-27: SRQUINTERO ME MATO CON JOB
[2020:09:01-00:00:30]  (Global) -> PABLITO2100: XDDDDDD
[2020:09:01-00:00:30]  (Global) -> [CG]Daniels: dale parcer
[2020:09:01-00:00:32]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine89: LMAO
