This file was generated by Console at 2020:09:10-00:00:00



[2020:09:10-00:00:00]  (Global) -> dilan: Patches
[2020:09:10-00:00:02]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Berna: a ver
[2020:09:10-00:00:02]  (Global) -> (F.A.R.C)Huevardo: ./bafle
[2020:09:10-00:00:03]  (Global) -> OffbeatWoofer31: que codigo pa?
[2020:09:10-00:00:03]  (Global) -> Martin_Crack04: tombo lleveme pues hppta
[2020:09:10-00:00:04]  (Local) -> (LOCAL)[1]nicolascely06: OC
[2020:09:10-00:00:04]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 Berna: otra vez
[2020:09:10-00:00:04]  (Global) -> Mr.Nea.: la cvr
[2020:09:10-00:00:05]  (Global) -> Jaca: 100/gallon
[2020:09:10-00:00:05]  (Global) -> [DV]AliasTopo: JAJAJA
[2020:09:10-00:00:07]  (Global) -> GT|Cheverry: #ccff00 HOY HAY UN PARO CONTRA LOS TOMBOS A LAS 9, CONVOCARON POR EL GRUPO DE FB
[2020:09:10-00:00:07]  (Local) -> (LOCAL)[1]VALLUNITO: Tome
[2020:09:10-00:00:07]  (Global) -> Mr.Nea.: es buena
[2020:09:10-00:00:08]  (Global) -> dilan: Ayuda staffs :c
[2020:09:10-00:00:11]  (Global) -> VicToR: listo
[2020:09:10-00:00:11]  (Global) -> Mr.Nea.: ++
[2020:09:10-00:00:12]  (Local) -> (LOCAL)[1]|DV|GasterHDZ: jajajajaj
[2020:09:10-00:00:13]  (Local) -> (LOCAL)[8][CAPU]Elmenor: como es el comando pa tirar polvora
[2020:09:10-00:00:15]  (Global) -> dilan: Ayuda staffs :c
[2020:09:10-00:00:17]  (Global) -> dilan: Ayuda staffs :c
[2020:09:10-00:00:20]  (Local) -> (LOCAL)[2]|DV|GasterHDZ: poder
[2020:09:10-00:00:21]  (Global) -> Megu: Que va GT|Cheverry
[2020:09:10-00:00:21]  (Global) -> OffbeatWoofer31: todo bien
[2020:09:10-00:00:22]  (Global) -> Scarlrxd04: veooo
[2020:09:10-00:00:22]  (Local) -> (LOCAL)[1]nicolascely06: OLE
[2020:09:10-00:00:23]  (Local) -> (LOCAL)[2][S.A.S][CAD]JuanP: ayuda
[2020:09:10-00:00:24]  (Global) -> dilan: Ayuda staffs :c
[2020:09:10-00:00:24]  (Global) -> (BGW)camilop202: cherryyy
[2020:09:10-00:00:26]  (Local) -> (LOCAL)[1](RCA)SingleChamber: Q
[2020:09:10-00:00:26]  (Global) -> Mr.Nea.: oe
[2020:09:10-00:00:27]  (Global) -> Scarlrxd04: estoy trabajando
[2020:09:10-00:00:28]  (Global) -> Mr.Nea.: aw
[2020:09:10-00:00:28]  (Team - Criminals) -> (TEAM)king_wolf: voy pa el banco
[2020:09:10-00:00:29]  (Global) -> (BGW)camilop202: le compro ese kart
[2020:09:10-00:00:31]  (Local) -> (LOCAL)[9][CT.S]bray: a
[2020:09:10-00:00:32]  (Local) -> (LOCAL)[2][S.A.S][CAD]JuanP: aaaaaaa
[2020:09:10-00:00:32]  (Local) -> (LOCAL)[4]pipo: no?
[2020:09:10-00:00:33]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 Berna: que paso dikan
[2020:09:10-00:00:34]  (Local) -> (LOCAL)[2][S.A.S][CAD]JuanP: a
[2020:09:10-00:00:34]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 Berna: dilan
[2020:09:10-00:00:35]  (Local) -> (LOCAL)[2][S.A.S][CAD]JuanP: a
[2020:09:10-00:00:36]  (Local) -> (LOCAL)[4]dilan: Oe nea pille
[2020:09:10-00:00:40]  (Global) -> (F.A.R.C)Huevardo: oe vamos
