This file was generated by Console at 2020:09:11-00:00:02



[2020:09:11-00:00:02]  (Global) -> BurlyPlate49: perdon
[2020:09:11-00:00:03]  (Global) -> sebas_202: porque quitaron el solnido de los carros estab melo
[2020:09:11-00:00:03]  (Local) -> (LOCAL)[2](CTS)EmilioEscobar: viste algo?ç
[2020:09:11-00:00:05]  (Local) -> (LOCAL)[4]ProfuseAneroid41: diablos señoritos
[2020:09:11-00:00:06]  (Local) -> (LOCAL)[4]GT]McLovin: eso no se pregunta pa
[2020:09:11-00:00:07]  (Local) -> (LOCAL)[1]GT|~Beltran: no tengo mas:(
[2020:09:11-00:00:08]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: momento severo perro
[2020:09:11-00:00:09]  (Local) -> (LOCAL)[4]ProfuseAneroid41: eso no es de dios
[2020:09:11-00:00:11]  (Local) -> (LOCAL)[4]GT]McLovin: eso es de one
[2020:09:11-00:00:16]  (Global) -> [GT]Pinino_Z: qqq
[2020:09:11-00:00:18]  (Global) -> FlatGrains18: tacabo de salir de la carcel
[2020:09:11-00:00:20]  (Local) -> (LOCAL)[1]GT|~Beltran: tendria unos 10 mas
[2020:09:11-00:00:21]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: tengo 4 xD
[2020:09:11-00:00:22]  (Local) -> (LOCAL)[1]GT|~Beltran: pero por mk
[2020:09:11-00:00:24]  (Local) -> (LOCAL)[4]GT]McLovin: jajaja
[2020:09:11-00:00:25]  (Local) -> (LOCAL)[1]GT|~Beltran: ya no los tengoxD
[2020:09:11-00:00:27]  (Local) -> (LOCAL)[2]ALEX: ORGA?
[2020:09:11-00:00:30]  (Local) -> (LOCAL)[1][GT]PANADERO: uy deje el tema
[2020:09:11-00:00:31]  (Local) -> (LOCAL)[2]GT~[Orgalor]: alex?
[2020:09:11-00:00:31]  (Local) -> (LOCAL)[1]GT|~Beltran: hasta heli tendria
[2020:09:11-00:00:31]  (Local) -> (LOCAL)[3]GT]McLovin: a mi no me han podido coger
[2020:09:11-00:00:32]  (Global) -> DebonairRival29: COMO SACO BOCINA?
[2020:09:11-00:00:34]  (Local) -> (LOCAL)[4](CT.S)MAURO: carrera o miedo
[2020:09:11-00:00:34]  (Global) -> [DTA]LEANDRO: PORQUE ESTOY CARTELEADO
[2020:09:11-00:00:37]  (Local) -> (LOCAL)[2]GT~[Orgalor]: venda,me el kart
[2020:09:11-00:00:37]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: luego?
[2020:09:11-00:00:39]  (Local) -> (LOCAL)[1]GT|~Beltran: pero por mk ya no tengo nadaXD
[2020:09:11-00:00:41]  (Local) -> (LOCAL)[2]GT~[Orgalor]: consigase un kart
[2020:09:11-00:00:41]  (Local) -> (LOCAL)[3]ProfuseAneroid41: porque no tienes estrellas jajajja
[2020:09:11-00:00:41]  (Local) -> (LOCAL)[1][GT]PANADERO: cuanto qjuiere
[2020:09:11-00:00:43]  (Local) -> (LOCAL)[2]Bertucci.cs: Ando lag, espera jaja
[2020:09:11-00:00:43]  (Local) -> (LOCAL)[1]GT|~Beltran: pues los vendo como mk
[2020:09:11-00:00:44]  (Local) -> (LOCAL)[2]ALEX: yo no lo tengo
[2020:09:11-00:00:45]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: jajajajaj
[2020:09:11-00:00:46]  (Global) -> FlatGrains18: a listo barata a como la compran 
[2020:09:11-00:00:48]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: huyeron
[2020:09:11-00:00:49]  (Global) -> [GT]~$Fabio_vidal69$:(: es al azar [DTA]LEANDRO
[2020:09:11-00:00:51]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: ajajajja no jodas :c
[2020:09:11-00:00:52]  (Local) -> (LOCAL)[2]GT~[Orgalor]: a
[2020:09:11-00:00:52]  (Local) -> (LOCAL)[2]Bertucci.cs: Go?
[2020:09:11-00:00:53]  (Local) -> (LOCAL)[3]GT]McLovin: ya de esconderme se me quitaron
[2020:09:11-00:00:53]  (Local) -> (LOCAL)[1]MiguelV: Sisas jaja
[2020:09:11-00:00:53]  (Local) -> (LOCAL)[1]GT|~Beltran: de donde cree que salio la ksa ksadjksajd
[2020:09:11-00:00:55]  (Global) -> (CTS)Neeomaster: 300k
[2020:09:11-00:00:56]  (Local) -> (LOCAL)[2](CT.S)MAURO: sisa
[2020:09:11-00:00:58]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: ahhh
[2020:09:11-00:00:59]  (Global) -> [GT]PANADERO: breee
[2020:09:11-00:01:04]  (Local) -> (LOCAL)[1]GT|~Beltran: del heli y un cheeta
[2020:09:11-00:01:04]  (Global) -> (CTS)Neeomaster: tirelos ya
[2020:09:11-00:01:05]  (Global) -> [GT]PANADERO: pero en el hospital
[2020:09:11-00:01:06]  (Local) -> (LOCAL)[2]GT~[Orgalor]: Y EL HOTRING?
[2020:09:11-00:01:07]  (Local) -> (LOCAL)[2]ALEX: y solo tengo 800k
[2020:09:11-00:01:08]  (Local) -> (LOCAL)[3]ProfuseAneroid41: yo te cojo, UwU
[2020:09:11-00:01:09]  (Global) -> alonso_escobar: AUXILIO
[2020:09:11-00:01:10]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: oe
[2020:09:11-00:01:15]  (Local) -> (LOCAL)[1]GT|~Beltran: de hay salio la ksa
[2020:09:11-00:01:15]  (Local) -> (LOCAL)[2]ALEX: ps te lo regale
[2020:09:11-00:01:16]  (Local) -> (LOCAL)[3]ProfuseAneroid41: Pero de otra forma xD
[2020:09:11-00:01:16]  (Local) -> (LOCAL)[1]MiguelV: ?
[2020:09:11-00:01:20]  (Global) -> [DTA]LEANDRO: PARCE QUE ASCO LOS MANES QUE ME ESTAN MATANDO VAYA A JODER A SU PUTA MADRE
[2020:09:11-00:01:20]  (Local) -> (LOCAL)[3]GT]McLovin: y papi
[2020:09:11-00:01:21]  (Local) -> (LOCAL)[1]JU4N: hola
[2020:09:11-00:01:21]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: esos no son de su gang?
[2020:09:11-00:01:21]  (Local) -> (LOCAL)[2]GT~[Orgalor]: NO TENES AMS?
[2020:09:11-00:01:22]  (Global) -> TUERTO: LEANDRO YA  LO PUSO
[2020:09:11-00:01:24]  (Local) -> (LOCAL)[2][GT]PANADERO: ande pal hospital
[2020:09:11-00:01:24]  (Global) -> (CTS)Neeomaster: tirelos ya papi y lo suelto
[2020:09:11-00:01:27]  (Local) -> (LOCAL)[2]ALEX: NOP
[2020:09:11-00:01:28]  (Local) -> (LOCAL)[4][Z]DanielFly: xd
[2020:09:11-00:01:28]  (Local) -> (LOCAL)[1]JU4N: como practico
[2020:09:11-00:01:28]  (Local) -> (LOCAL)[3][GT]PANADERO: all se los doy
[2020:09:11-00:01:30]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: esas casas son muy caras para mix D
[2020:09:11-00:01:35]  (Local) -> (LOCAL)[1]GT|~Beltran: 10 palos
[2020:09:11-00:01:36]  (Local) -> (LOCAL)[1](CTS)Neeomaster: nonas aca
[2020:09:11-00:01:36]  (Local) -> (LOCAL)[5]ProfuseAneroid41: Es que la verdad me pareciste bonito
[2020:09:11-00:01:37]  (Local) -> (LOCAL)[1]GT|~Beltran: obvio
[2020:09:11-00:01:37]  (Local) -> (LOCAL)[1](CT.S)pablito2100: ope
[2020:09:11-00:01:39]  (Local) -> (LOCAL)[4][Z]DanielFly: jajajaj
[2020:09:11-00:01:39]  (Local) -> (LOCAL)[1](CT.S)pablito2100: oe
[2020:09:11-00:01:39]  (Local) -> (LOCAL)[1]MiguelV: Si son unos parceros pero me estan jodiendo xd
[2020:09:11-00:01:40]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: sisa xD
[2020:09:11-00:01:41]  (Local) -> (LOCAL)[1]Bertucci.cs: Oe
[2020:09:11-00:01:41]  (Global) -> [DTA]LEANDRO: SI YA LO PUSE
[2020:09:11-00:01:42]  (Local) -> (LOCAL)[1][GT]PANADERO: sea seriousted aca me mata
[2020:09:11-00:01:43]  (Local) -> (LOCAL)[1](CT.S)pablito2100: tiene gang?
[2020:09:11-00:01:46]  (Local) -> (LOCAL)[4]ProfuseAneroid41: Tu eres el que vende aguacate?
[2020:09:11-00:01:46]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: ahh lol jajajaj
[2020:09:11-00:01:46]  (Team - Unemployed) -> (TEAM)GT]McLovin: y tu ami bb
[2020:09:11-00:01:47]  (Local) -> (LOCAL)[1]GT|~Beltran: al igual ya no hay casas pa comprarXD
[2020:09:11-00:01:47]  (Local) -> (LOCAL)[1]Bertucci.cs: 2cB
[2020:09:11-00:01:47]  (Local) -> (LOCAL)[1]MiguelV: Estamos hasta en llamada
[2020:09:11-00:01:47]  (Global) -> FlatGrains18: entonces compran droga 
[2020:09:11-00:01:49]  (Local) -> (LOCAL)[3]ALEX: TENGO EL SANDKING
[2020:09:11-00:01:50]  (Local) -> (LOCAL)[1](CTS)Neeomaster: papi se lo prometo pues
[2020:09:11-00:01:51]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: ni se para que las rentan
[2020:09:11-00:01:52]  (Local) -> (LOCAL)[1][GT]PANADERO: como si no la supiera
[2020:09:11-00:01:57]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: sisa ese es otro problema
[2020:09:11-00:01:57]  (Local) -> (LOCAL)[1]MiguelV: Pero yo les voy a dar como a rata
[2020:09:11-00:01:58]  (Local) -> (LOCAL)[1](CTS)Neeomaster: no lo hare
[2020:09:11-00:02:00]  (Local) -> (LOCAL)[1](CT.S)pablito2100: hp vida
[2020:09:11-00:02:00]  (Local) -> (LOCAL)[3]ALEX: EN 5.5 PALOS
[2020:09:11-00:02:01]  (Global) -> GT|~Beltran: #ff0000 DJ BELTRAN EN LA RADIO:3
[2020:09:11-00:02:01]  (Local) -> (LOCAL)[2]TUERTO: LEANDRO
[2020:09:11-00:02:02]  (Local) -> (LOCAL)[1](CTS)Neeomaster: te doy mi palabra
[2020:09:11-00:02:02]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: ajajjajaja
[2020:09:11-00:02:03]  (Global) -> GT|~Beltran: #ff0000 DJ BELTRAN EN LA RADIO:3
[2020:09:11-00:02:03]  (Local) -> (LOCAL)[1]Bertucci.cs: ¿?
[2020:09:11-00:02:05]  (Local) -> (LOCAL)[4]ProfuseAneroid41: Ah yo no compro nada de eso, mi religion lo la permite
[2020:09:11-00:02:05]  (Global) -> GT|~Beltran: #ff0000 DJ BELTRAN EN LA RADIO:3
[2020:09:11-00:02:07]  (Local) -> (LOCAL)[2]TUERTO: NO SE SALGA
[2020:09:11-00:02:07]  (Global) -> [DTA]LEANDRO: QUE
[2020:09:11-00:02:08]  (Local) -> (LOCAL)[1]MiguelV: Es que uno compro vip y anda de aragang matandomde
[2020:09:11-00:02:09]  (Local) -> (LOCAL)[1][GT]PANADERO: por eso ande al hospi
[2020:09:11-00:02:10]  (Local) -> (LOCAL)[4]GT]McLovin: tengo las lukas en el banco
[2020:09:11-00:02:12]  (Global) -> [DTA]LEANDRO: OK
[2020:09:11-00:02:12]  (Local) -> (LOCAL)[1](CT.S)pablito2100: bueno xao xaa
[2020:09:11-00:02:14]  (Global) -> [GT]~$Fabio_vidal69$:(: delen f3>radio>cvr nueva y le dan play
[2020:09:11-00:02:14]  (Local) -> (LOCAL)[2]TUERTO: YA LOS VOY A PONER LISTO
[2020:09:11-00:02:15]  (Local) -> (LOCAL)[1]Bertucci.cs: Vale Nv
[2020:09:11-00:02:15]  (Local) -> (LOCAL)[3]ProfuseAneroid41: me voy a trabajar como puta ya vengo
[2020:09:11-00:02:15]  (Local) -> (LOCAL)[1][GT]PANADERO: y alla se las doy re breves
[2020:09:11-00:02:17]  (Local) -> (LOCAL)[3]GT]McLovin: llevame y te compro
[2020:09:11-00:02:17]  (Local) -> (LOCAL)[1]GT|~Beltran: En rojo pa que no se vea:v
[2020:09:11-00:02:19]  (Local) -> (LOCAL)[1]GT|~Beltran: melo
[2020:09:11-00:02:22]  (Global) -> [DTA]LEANDRO: OK
[2020:09:11-00:02:23]  (Local) -> (LOCAL)[3]GT]McLovin: a cuento la vende=
[2020:09:11-00:02:24]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: ajajajjaaaja
[2020:09:11-00:02:25]  (Local) -> (LOCAL)[2](CTS)Neeomaster: no confio
[2020:09:11-00:02:25]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: ahhh con razon en heli
[2020:09:11-00:02:30]  (Global) -> FlatGrains18: vamos por ellas pero 1ero cuanto necesitas
[2020:09:11-00:02:31]  (Local) -> (LOCAL)[4]ProfuseAneroid41: breve
[2020:09:11-00:02:34]  (Local) -> (LOCAL)[4][GT]PANADERO: uuy papi como asi
[2020:09:11-00:02:35]  (Global) -> [DTA]LEANDRO: QUE ESTA HACIENDO MARIKA
[2020:09:11-00:02:39]  (Global) -> FlatGrains18: a como la compra usted
[2020:09:11-00:02:42]  (Local) -> (LOCAL)[5]GT]McLovin: 20 gr
