This file was generated by Console at 2020:09:12-00:00:00



[2020:09:12-00:00:00]  (Global) -> DrStrange: como
[2020:09:12-00:00:01]  (Global) -> Haski_Scott: y que te iba a dar un palo
[2020:09:12-00:00:02]  (Local) -> (LOCAL)[5]Carlitosbebe: hasta q lo vi tombo y zeta
[2020:09:12-00:00:09]  (Local) -> (LOCAL)[5]Carlitosbebe: muy mk la verdad
[2020:09:12-00:00:10]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: para nosotros esto es mas que algo
[2020:09:12-00:00:10]  (Global) -> GT|~[La_Loli]~: andava si pc
[2020:09:12-00:00:11]  (Local) -> (LOCAL)[5][Zetas]SR-OscarP: JAJAJA
[2020:09:12-00:00:14]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: me siento super feliz
[2020:09:12-00:00:14]  (Global) -> dilan: No apaga esa hp radio maricon
[2020:09:12-00:00:14]  (Global) -> Haski_Scott: F
[2020:09:12-00:00:15]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: es como nada ala inversa
[2020:09:12-00:00:15]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: unda c
[2020:09:12-00:00:16]  (Global) -> JuanDaGamer10: como hago para hacer detective ?
[2020:09:12-00:00:16]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: xd
[2020:09:12-00:00:17]  (Local) -> (LOCAL)[1][Z]DanielFly: a
[2020:09:12-00:00:18]  (Global) -> Haski_Scott: ya se fue fabio
[2020:09:12-00:00:19]  (Local) -> (LOCAL)[5]POPI(BORRACHO): sjsjsjs
[2020:09:12-00:00:20]  (Global) -> Haski_Scott: q vuelve ahoraq
[2020:09:12-00:00:21]  (Local) -> (LOCAL)[2]BrayTaxista: caballero que emisora pongo
[2020:09:12-00:00:22]  (Local) -> (LOCAL)[5][Zetas]SR-OscarP: BENGAN
[2020:09:12-00:00:25]  (Local) -> (LOCAL)[1]GT|Cheverry: lleveme al banco
[2020:09:12-00:00:26]  (Local) -> (LOCAL)[2]BrayTaxista: digame una cancion
[2020:09:12-00:00:28]  (Local) -> (LOCAL)[2]GT|Cheverry: todo bien
