This file was generated by Console at 2020:09:17-00:00:00



[2020:09:17-00:00:00]  (Local) -> (LOCAL)[30]PabloLxOnYT: ey
[2020:09:17-00:00:02]  (Global) -> GT|~[La_Loli]~: como les cae una bomba en grovee?
[2020:09:17-00:00:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: pa donde toca ir
[2020:09:17-00:00:04]  (Local) -> (LOCAL)[1]GT|~Beltran: aun asi me hagarraste no?
[2020:09:17-00:00:05]  (Global) -> [S.A.S][Cad]sebas202: me vuelvo militar y lo escoolto?
[2020:09:17-00:00:06]  (Local) -> (LOCAL)[31](CT.S)pablito2100: violaburras
[2020:09:17-00:00:06]  (Local) -> (LOCAL)[29]PabloLxOnYT: hector?
[2020:09:17-00:00:07]  (Local) -> (LOCAL)[1]GT|~Beltran: a que momento
[2020:09:17-00:00:07]  (Global) -> (BGW)arquero076tenaz: me falta 4
[2020:09:17-00:00:08]  (Global) -> (BGW)ItsAlexys: jasjjajsa 
[2020:09:17-00:00:08]  (Local) -> (LOCAL)[1]horacio: ajsja sisis
[2020:09:17-00:00:09]  (Local) -> (LOCAL)[30]Hector: dime
[2020:09:17-00:00:09]  (Local) -> (LOCAL)[1]SantigoUribeParaco: ajsaj srry soy una geuba pal avion
[2020:09:17-00:00:10]  (Local) -> (LOCAL)[4](BGW)camilop202: reozer
[2020:09:17-00:00:10]  (Local) -> (LOCAL)[1]GT|~Beltran: hiba a evadir?
[2020:09:17-00:00:11]  (Local) -> (LOCAL)[3](BGW)camilop202: si pilal
[2020:09:17-00:00:12]  (Global) -> [BGW]V1OL4BURR4S: q pasa nea
[2020:09:17-00:00:13]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Kevin: grove
[2020:09:17-00:00:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Usted entiende la situacion
[2020:09:17-00:00:16]  (Local) -> (LOCAL)[32](CT.S)pablito2100: si no estuvieramos en evento lo ensendia
[2020:09:17-00:00:18]  (Local) -> (LOCAL)[1]horacio: todo bien
[2020:09:17-00:00:19]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 ReizerB: sisas
[2020:09:17-00:00:20]  (Local) -> (LOCAL)[31]PabloLxOnYT: usted es el mismo ?
[2020:09:17-00:00:20]  (Local) -> (LOCAL)[1]Andrestp: sali
[2020:09:17-00:00:21]  (Local) -> (LOCAL)[3](BGW)camilop202: que esos manes estan re fastidosos
[2020:09:17-00:00:21]  (Global) -> (CT.S)_Yogan666: cuando llegas al carro amarillo llegas in entregas la carga osea pasas con el auto sobre el punt
[2020:09:17-00:00:21]  (Local) -> (LOCAL)[1]GT|~Beltran: pa evadir uno facil saca un carro y se va
[2020:09:17-00:00:22]  (Global) -> [BGW]V1OL4BURR4S: xd
[2020:09:17-00:00:22]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Sacar binds para quitarse el taser es reporable
[2020:09:17-00:00:23]  (Local) -> (LOCAL)[3](BGW)camilop202: los cts
[2020:09:17-00:00:24]  (Global) -> Collazos: costeño come burra
[2020:09:17-00:00:27]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 ReizerB: no haber visto pa banear
[2020:09:17-00:00:28]  (Local) -> (LOCAL)[1]GT|~Beltran: mira
[2020:09:17-00:00:28]  (Global) -> (BGW)arquero076tenaz: no que jijueputa ahora que hacemoss
[2020:09:17-00:00:29]  (Local) -> (LOCAL)[31]PabloLxOnYT: jajjaja
[2020:09:17-00:00:29]  (Local) -> (LOCAL)[32](CT.S)pablito2100: quitese ese bgw
[2020:09:17-00:00:30]  (Local) -> (LOCAL)[4]Jabon: a
[2020:09:17-00:00:32]  (Local) -> (LOCAL)[1]GT|~Beltran: hagamos la prueba
[2020:09:17-00:00:33]  (Global) -> (BGW)arquero076tenaz: jajajaja
[2020:09:17-00:00:35]  (Global) -> Collazos: jajajaaa
[2020:09:17-00:00:37]  (Local) -> (LOCAL)[29]Hector: Sisas yo soy el hector que siempre estuve en cbr
[2020:09:17-00:00:38]  (Local) -> (LOCAL)[29]PabloLxOnYT: conoce a PabloHpta?
[2020:09:17-00:00:40]  (Local) -> (LOCAL)[1]GT|~Beltran: y veras que ni con esa mierda te vas a mover
[2020:09:17-00:00:40]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: A tussy yo mismo lo jailee 1200 el dia que saco carro y lo reportaron
[2020:09:17-00:00:40]  (Local) -> (LOCAL)[30]Hector: cvr
[2020:09:17-00:00:40]  (Local) -> (LOCAL)[32](CT.S)pablito2100: le queda feo
[2020:09:17-00:00:41]  (Global) -> [BGW]V1OL4BURR4S: no
[2020:09:17-00:00:41]  (Global) -> GT|~[La_Loli]~: cachaco picha muerta
[2020:09:17-00:00:42]  (Local) -> (LOCAL)[3]tussy: solo vips
[2020:09:17-00:00:42]  (Local) -> (LOCAL)[31]Hector: obvio
[2020:09:17-00:00:42]  (Global) -> Haski_Triste: ban camilo
[2020:09:17-00:00:42]  (Local) -> (LOCAL)[5](BGW)camilop202: LA SKIN
[2020:09:17-00:00:43]  (Global) -> Collazos: se lo va adejar metyer
[2020:09:17-00:00:43]  (Local) -> (LOCAL)[5](BGW)camilop202: SISAS
[2020:09:17-00:00:43]  (Local) -> (LOCAL)[32][ZETAS]Tussi_Sabes: haski deme un nrse
[2020:09:17-00:00:44]  (Local) -> (LOCAL)[30]Hector: sos vos?
[2020:09:17-00:00:44]  (Global) -> [ESMAD]ElMillor: que paja
[2020:09:17-00:00:45]  (Local) -> (LOCAL)[1]GT|~Beltran: por eso
[2020:09:17-00:00:45]  (Local) -> (LOCAL)[32]PabloLxOnYT: a si
[2020:09:17-00:00:47]  (Local) -> (LOCAL)[32]PabloLxOnYT: ola
[2020:09:17-00:00:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: de ahi en adelante no lo volvieron a reportar
[2020:09:17-00:00:50]  (Local) -> (LOCAL)[3]Chirretico: solo cbug
[2020:09:17-00:00:51]  (Local) -> (LOCAL)[32]Hector: Hablame mano jajaja
[2020:09:17-00:00:51]  (Local) -> (LOCAL)[1]GT|~Beltran: y a mi me vienes a decri que baneo?
[2020:09:17-00:00:52]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: yo hize eso como 100mil veces y no paso nada jsjs
[2020:09:17-00:00:56]  (Local) -> (LOCAL)[3]tussy: q
[2020:09:17-00:00:56]  (Local) -> (LOCAL)[1]GT|~Beltran: decir*
[2020:09:17-00:00:57]  (Local) -> (LOCAL)[31]Hector: Todo bien o que
[2020:09:17-00:01:00]  (Local) -> (LOCAL)[31]PabloLxOnYT: nada que hace como 2 meses no vengo
[2020:09:17-00:01:01]  (Local) -> (LOCAL)[1]TATA25: buenas
[2020:09:17-00:01:02]  (Local) -> (LOCAL)[31]Hector: que paso con yeici
[2020:09:17-00:01:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Por que usted viene recien salido de un ban
[2020:09:17-00:01:03]  (Global) -> (CT.S)_Yogan666: seguro espera miramos
[2020:09:17-00:01:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: RECIEN
[2020:09:17-00:01:06]  (Local) -> (LOCAL)[36]PabloLxOnYT: hay muchos nuevos
[2020:09:17-00:01:06]  (Local) -> (LOCAL)[36]Hector: yo tampoco. deje de jugar
[2020:09:17-00:01:09]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: dale
[2020:09:17-00:01:09]  (Local) -> (LOCAL)[36]Hector: Es que
[2020:09:17-00:01:09]  (Local) -> (LOCAL)[1]GT|~Beltran: aparte, en el dicord no hay algo para reportar por
