This file was generated by Console at 2020:09:23-00:00:00



[2020:09:23-00:00:00]  (Local) -> (LOCAL)[4]GT|~Beltran: osi
[2020:09:23-00:00:01]  (Team - Criminals) -> (TEAM)[C.D.S]LuigiBendetta: oe punko
[2020:09:23-00:00:09]  (Local) -> (LOCAL)[3]williowpnk: cantela
[2020:09:23-00:00:10]  (Local) -> (LOCAL)[6][GT]FranciscoBY: jajaja muy aspero
[2020:09:23-00:00:12]  (Local) -> (LOCAL)[7]carlos_jimenes: oe jean entendio algo
[2020:09:23-00:00:14]  (Local) -> (LOCAL)[4]GT|~Beltran: nooooo
[2020:09:23-00:00:15]  (Local) -> (LOCAL)[7]&_walter: ajajjaja
[2020:09:23-00:00:18]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#A9A9A9 Berna: sacar un barquito
[2020:09:23-00:00:19]  (Local) -> (LOCAL)[7]ratix86: aaaaaa
[2020:09:23-00:00:19]  (Local) -> (LOCAL)[3]GT|~Beltran: vendi el camion de cemento
[2020:09:23-00:00:21]  (Global) -> [C.D.S]LuigiBendetta: pone punk
[2020:09:23-00:00:21]  (Global) -> $elTrakegunz: CAMBIEN EL HP CLIMAAAAAAAAAAAAAAAAAAAAAAAAAAAA
[2020:09:23-00:00:21]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: OLAVE
[2020:09:23-00:00:21]  (Local) -> (LOCAL)[3]williowpnk: yo
[2020:09:23-00:00:24]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: AAA
[2020:09:23-00:00:24]  (Global) -> 12: NONAS NO SE UN CULO
[2020:09:23-00:00:25]  (Local) -> (LOCAL)[1]GT|~Beltran: F
[2020:09:23-00:00:26]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: CURAME
[2020:09:23-00:00:26]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: aaaaaaaaaa
[2020:09:23-00:00:28]  (Local) -> (LOCAL)[3]williowpnk: nose como
[2020:09:23-00:00:29]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 Megu: a
[2020:09:23-00:00:30]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: CUANTO S EGANO?
[2020:09:23-00:00:31]  (Local) -> (LOCAL)[1][GT]FranciscoBY: a cuanto llega este
[2020:09:23-00:00:31]  (Global) -> [C.D.S]LuigiBendetta: sisas
[2020:09:23-00:00:32]  (Local) -> (LOCAL)[1]ZetasValeria: necesita trabajo?
[2020:09:23-00:00:33]  (Local) -> (LOCAL)[7]&_walter: ajajajjajajaja
[2020:09:23-00:00:35]  (Global) -> 12: JAJAJAJJAJAJAAJJA QUE FUE ESO
[2020:09:23-00:00:36]  (Local) -> (LOCAL)[2](BGW)camilop202: xder
[2020:09:23-00:00:37]  (Local) -> (LOCAL)[1]GT|~Beltran: como 140
[2020:09:23-00:00:37]  (Local) -> (LOCAL)[1]GT|~[Orgalor]: SI PUDISTE ENTRAR
[2020:09:23-00:00:37]  (Local) -> (LOCAL)[7]carlos_jimenes: x2
[2020:09:23-00:00:38]  (Global) -> [C.D.S]LuigiBendetta: mera loka
[2020:09:23-00:00:39]  (Local) -> (LOCAL)[1]GT|OLAVE: en q
[2020:09:23-00:00:39]  (Global) -> Royal: ocampo tas re riko
[2020:09:23-00:00:39]  (Local) -> (LOCAL)[1]GT|~Beltran: o mas
[2020:09:23-00:00:40]  (Local) -> (LOCAL)[7]&_walter: manejen
[2020:09:23-00:00:40]  (Local) -> (LOCAL)[1]GT|~[Orgalor]: AL SERVER DE BELTRAN?
[2020:09:23-00:00:45]  (Local) -> (LOCAL)[1]GT|~Beltran: es rapido
[2020:09:23-00:00:46]  (Local) -> (LOCAL)[1]GT|OLAVE: no me paso la ip
[2020:09:23-00:00:47]  (Local) -> (LOCAL)[7]&_walter: NO VEPO UN CULO
[2020:09:23-00:00:48]  (Local) -> (LOCAL)[2]Orion: este es el sultan?
[2020:09:23-00:00:49]  (Local) -> (LOCAL)[7]Apu_N: YA VEBGO
[2020:09:23-00:00:50]  (Local) -> (LOCAL)[1]GT|~[Orgalor]: a
[2020:09:23-00:00:51]  (Local) -> (LOCAL)[1]GT|~Beltran: casi lo mismo que el infernus
[2020:09:23-00:00:52]  (Local) -> (LOCAL)[1]GT|OLAVE: ademas q lo ponga pa mapear
[2020:09:23-00:00:53]  (Local) -> (LOCAL)[1]GT|~[Orgalor]: F
[2020:09:23-00:00:53]  (Local) -> (LOCAL)[6]&_walter: MANEJE BERNA
[2020:09:23-00:00:54]  (Local) -> (LOCAL)[1]GT|OLAVE: en la noche ps
[2020:09:23-00:00:56]  (Local) -> (LOCAL)[1]GT|SebastianMontoya: ES EL blista
[2020:09:23-00:00:59]  (Local) -> (LOCAL)[1]GT|~Beltran: deme esos 5.5 palos
[2020:09:23-00:01:01]  (Local) -> (LOCAL)[2]Orion: Oe el sultan corre?
[2020:09:23-00:01:04]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: pa donde los llevo mis papaaaess
[2020:09:23-00:01:05]  (Local) -> (LOCAL)[1]GT|~Beltran: y le doy el karro
[2020:09:23-00:01:08]  (Global) -> $elTrakegunz: royal delicious
[2020:09:23-00:01:08]  (Global) -> GT|SebastianMontoya: creo
[2020:09:23-00:01:09]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#A9A9A9 Berna: pal agua
[2020:09:23-00:01:11]  (Local) -> (LOCAL)[6]&_walter: AL MAR KEVIN
[2020:09:23-00:01:12]  (Local) -> (LOCAL)[1][GT]FranciscoBY: jajajaja serio?
[2020:09:23-00:01:13]  (Local) -> (LOCAL)[2]Orion: breve buena
[2020:09:23-00:01:15]  (Local) -> (LOCAL)[1]GT|~Beltran: sikas
[2020:09:23-00:01:16]  (Global) -> Royal: ;)
[2020:09:23-00:01:17]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 KevinOcampo: pere ps
[2020:09:23-00:01:22]  (Local) -> (LOCAL)[5]carlos_jimenes: me buguie
[2020:09:23-00:01:22]  (Local) -> (LOCAL)[1]GT|~Beltran: pero en lv hacemos el negozio
[2020:09:23-00:01:24]  (Local) -> (LOCAL)[1]GT|~Beltran: xddddddd
[2020:09:23-00:01:26]  (Global) -> $elTrakegunz: xd
[2020:09:23-00:01:27]  (Local) -> (LOCAL)[1]Orion: solo milloz
[2020:09:23-00:01:29]  (Local) -> (LOCAL)[1]Orion: ?
[2020:09:23-00:01:29]  (Local) -> (LOCAL)[2]GT|~Beltran: que dice
[2020:09:23-00:01:30]  (Local) -> (LOCAL)[5]ratix86: el enano lo que no tiene en estatura se lo mando en cabeza juaz juaz
[2020:09:23-00:01:32]  (Global) -> (CTA)stiven2882: se sabe
[2020:09:23-00:01:33]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: oeeeeo
[2020:09:23-00:01:34]  (Local) -> (LOCAL)[2][GT]FranciscoBY: bre
[2020:09:23-00:01:35]  (Global) -> 12: JAJAJAJA ESTE MRK
[2020:09:23-00:01:36]  (Local) -> (LOCAL)[3](Cts)Lil.Dream: mamaaaaaaa
[2020:09:23-00:01:38]  (Local) -> (LOCAL)[3]GT|~Beltran: camine a lv ps
[2020:09:23-00:01:38]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: rec
[2020:09:23-00:01:39]  (Global) -> (CTA)stiven2882: millos y putas
[2020:09:23-00:01:41]  (Local) -> (LOCAL)[5]&_walter: AHORA LE HACE TP A MIGUEL
[2020:09:23-00:01:42]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: dice la fente lo ves
[2020:09:23-00:01:42]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: Q HABLAN?
[2020:09:23-00:01:43]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: uy
[2020:09:23-00:01:43]  (Local) -> (LOCAL)[1]Orion: JAJAJAJA
[2020:09:23-00:01:43]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: ocampo
[2020:09:23-00:01:44]  (Global) -> $elTrakegunz: CAMBIEN EL HP CLIMAAAAAAAAAAAAAAAAAAAAAAAAAAAA
[2020:09:23-00:01:44]  (Global) -> (CTA)stiven2882: y URIBE
[2020:09:23-00:01:45]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: ajajajaja
[2020:09:23-00:01:46]  (Local) -> (LOCAL)[5]GT|~[Orgalor]: panas'
[2020:09:23-00:01:48]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: kite el bafle
[2020:09:23-00:01:49]  (Local) -> (LOCAL)[2]GT|~Beltran: le voy a vender mi karro
[2020:09:23-00:01:51]  (Local) -> (LOCAL)[1]Orion: Solo Nacho pai
[2020:09:23-00:01:53]  (Local) -> (LOCAL)[2]GT|~Beltran: en 5.5 palos
[2020:09:23-00:01:55]  (Local) -> (LOCAL)[2]GT|~Beltran: regalado
[2020:09:23-00:01:55]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: cual?
[2020:09:23-00:01:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: ola
