This file was generated by Console at 2020:09:25-00:00:01



[2020:09:25-00:00:01]  (Global) -> 2cbTU_DIOSA: OE
[2020:09:25-00:00:03]  (Team - Unemployed) -> (TEAM)2cb'elpablitopai: no puedo escribir en la u
[2020:09:25-00:00:03]  (Local) -> (LOCAL)[2]raul: a dale
[2020:09:25-00:00:04]  (Global) -> GT|OLAVE: naaa
[2020:09:25-00:00:06]  (Local) -> (LOCAL)[1]2cb'Willow: dime
[2020:09:25-00:00:08]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: pork no
[2020:09:25-00:00:13]  (Local) -> (LOCAL)[10][CAPU]Gallo_Pepe: loool
[2020:09:25-00:00:13]  (Team - Unemployed) -> (TEAM)2cb'elpablitopai: no c
[2020:09:25-00:00:16]  (Global) -> [Z]VALLUNITXS_DEEJAY: Ese staff ahora se lo dan a caliche
[2020:09:25-00:00:17]  (Global) -> 2cbTU_DIOSA: COMO SE CAMBIA EL PASO DELÑ CAMINADO?
[2020:09:25-00:00:17]  (Global) -> _SEMDS_: hola te encontre amigo
[2020:09:25-00:00:17]  (Global) -> [Z]MrAguacate: no marica
[2020:09:25-00:00:17]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: restablezca predeterminado
[2020:09:25-00:00:20]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: las teclas
[2020:09:25-00:00:20]  (Global) -> #7F7F7F|CVR|#FF0000KevinOcampo: hola
[2020:09:25-00:00:22]  (Local) -> (LOCAL)[1]2cb'Willow: nose
[2020:09:25-00:00:27]  (Team - Unemployed) -> (TEAM)2cb'elpablitopai: ya hize eso hace rato aaaaaaaaaa
[2020:09:25-00:00:28]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000KevinOcampo: ja
[2020:09:25-00:00:31]  (Local) -> (LOCAL)[1]_SEMDS_: JAKAJJAJAJA
[2020:09:25-00:00:34]  (Global) -> 2cb'Willow: dile a ocampo
[2020:09:25-00:00:34]  (Team - Unemployed) -> (TEAM)2cb'elpablitopai: pere
[2020:09:25-00:00:34]  (Local) -> (LOCAL)[10][CAPU]Gallo_Pepe: danilo, n ose quede en el spawn -.-
[2020:09:25-00:00:35]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: le da a la u
[2020:09:25-00:00:35]  (Global) -> "DJ"FAMOSO: esperate ago una foto
[2020:09:25-00:00:36]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: y nada?
[2020:09:25-00:00:39]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: k raro nea
[2020:09:25-00:00:39]  (Local) -> (LOCAL)[5]2cb'Vulkanus: hey
[2020:09:25-00:00:39]  (Global) -> 2cbTU_DIOSA: OK O
[2020:09:25-00:00:42]  (Local) -> (LOCAL)[5]2cb'Vulkanus: debes soltarlos
[2020:09:25-00:00:42]  (Local) -> (LOCAL)[1]GTJhojan: pata necesita q lom ate?
[2020:09:25-00:00:50]  (Global) -> [Z]MrAguacate: oe que fue esa monda
[2020:09:25-00:00:50]  (Local) -> (LOCAL)[5]2cb'Vulkanus: tiene que soltarlos
[2020:09:25-00:00:55]  (Global) -> melito: para la estcio
[2020:09:25-00:00:58]  (Local) -> (LOCAL)[5]2cb'Vulkanus: son trabajadores
[2020:09:25-00:00:59]  (Local) -> (LOCAL)[1]_SEMDS_: hp
[2020:09:25-00:01:01]  (Local) -> (LOCAL)[1]_SEMDS_: espere
[2020:09:25-00:01:04]  (Global) -> melito: para la estacion xd
[2020:09:25-00:01:05]  (Local) -> (LOCAL)[1]GTJhojan: par qq?
[2020:09:25-00:01:07]  (Global) -> 2cb'Vulkanus: algun admin
[2020:09:25-00:01:07]  (Local) -> (LOCAL)[2]_SEMDS_: prendo la radio
[2020:09:25-00:01:09]  (Local) -> (LOCAL)[1]GTJhojan: aa
[2020:09:25-00:01:09]  (Team - Unemployed) -> (TEAM)"DJ"FAMOSO: ya melos
[2020:09:25-00:01:09]  (Global) -> (Z)IceWipe: li
[2020:09:25-00:01:10]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000KevinOcampo: siii
[2020:09:25-00:01:13]  (Global) -> (Z)IceWipe: loli
[2020:09:25-00:01:14]  (Local) -> (LOCAL)[3][$BABY$]C4rtex: ola
[2020:09:25-00:01:14]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000KevinOcampo: vamos pa zona segura
[2020:09:25-00:01:15]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|Zllanerito: que pena
[2020:09:25-00:01:23]  (Global) -> (BGW)camilop202: XSXE
[2020:09:25-00:01:24]  (Global) -> 2cbPABLO: cuando nosotros arranquemos sale
[2020:09:25-00:01:25]  (Global) -> "DJ"FAMOSO: hola
[2020:09:25-00:01:25]  (Global) -> 2cb'Vulkanus: z santipunki esta capturanto a medicos
[2020:09:25-00:01:27]  (Global) -> AlonsoAlzate: esperame ahi en drif hotel
[2020:09:25-00:01:28]  (Global) -> "DJ"FAMOSO: ale
[2020:09:25-00:01:29]  (Global) -> 2cb'Vulkanus: z santipunki esta capturanto a medicos
[2020:09:25-00:01:31]  (Team - Unemployed) -> (TEAM)2cb'elpablitopai: nada parce xd
[2020:09:25-00:01:36]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: pille
[2020:09:25-00:01:44]  (Local) -> (LOCAL)[1]2cB*PipeHpta: qn lo encano?
[2020:09:25-00:01:46]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: abajod el todo
[2020:09:25-00:01:47]  (Local) -> (LOCAL)[7]_SEMDS_: eo
[2020:09:25-00:01:48]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: hay algo llamado
[2020:09:25-00:01:49]  (Local) -> (LOCAL)[1](SEGURIDAD)LOKILLO: ole korno caho men usted no contesta me avisa is algo
[2020:09:25-00:01:50]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: localchat
[2020:09:25-00:01:52]  (Local) -> (LOCAL)[7]_SEMDS_: vamos pa donde satania
[2020:09:25-00:01:53]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: pille si esta en la u
[2020:09:25-00:01:54]  (Local) -> (LOCAL)[5]_SEMDS_: hagase tp
[2020:09:25-00:01:56]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000KevinOcampo: bre
[2020:09:25-00:01:57]  (Local) -> (LOCAL)[1]2cB*PipeHpta: ajajjajajaja
[2020:09:25-00:01:58]  (Global) -> [Z]MrAguacate: oeq ue mierda
[2020:09:25-00:01:59]  (Local) -> (LOCAL)[5]Haski_Scott: xd
[2020:09:25-00:02:03]  (Global) -> raul: yo puedo tunear el bus pa q vaya mas rapido??
[2020:09:25-00:02:04]  (Local) -> (LOCAL)[5]2cb'Vulkanus: haski te cogieron=?
[2020:09:25-00:02:07]  (Local) -> (LOCAL)[1]2cB*PipeHpta: nada mas por dispararle ajajja
[2020:09:25-00:02:08]  (Local) -> (LOCAL)[1][Zetas]Tempo.xD: jajaj no los vi
[2020:09:25-00:02:09]  (Local) -> (LOCAL)[5]2cbALEXsad: ush cosas pa lindas
[2020:09:25-00:02:11]  (Local) -> (LOCAL)[1]2cB*PipeHpta: muho pirobo
[2020:09:25-00:02:11]  (Local) -> (LOCAL)[4]Haski_Scott: szs
[2020:09:25-00:02:13]  (Global) -> [Z]MrAguacate: ayudame arriba
[2020:09:25-00:02:15]  (Local) -> (LOCAL)[1]GTJhojan: y bna
[2020:09:25-00:02:16]  (Global) -> ESMAD/cejon: no
[2020:09:25-00:02:16]  (Team - Unemployed) -> (TEAM)2cb'elpablitopai: pero en donde esta el localchat
[2020:09:25-00:02:16]  (Local) -> (LOCAL)[1]2cb'Willow: te p
[2020:09:25-00:02:18]  (Global) -> "DJ"FAMOSO: mano esta mela
[2020:09:25-00:02:18]  (Local) -> (LOCAL)[3]raul: xdd
[2020:09:25-00:02:19]  (Global) -> (Z)IceWipe: loli?
[2020:09:25-00:02:19]  (Global) -> 2cBPrexto: espera
[2020:09:25-00:02:20]  (Global) -> [Z]MrAguacate: ahi un pirobo jodiendo
[2020:09:25-00:02:22]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: abajo del todo
[2020:09:25-00:02:23]  (Local) -> (LOCAL)[3]raul: a dale tky
[2020:09:25-00:02:24]  (Global) -> (Z)IceWipe: loli?
[2020:09:25-00:02:24]  (Local) -> (LOCAL)[12]_SEMDS_: hola amor
[2020:09:25-00:02:25]  (Local) -> (LOCAL)[3]2cb'JuanPablo: cual es
[2020:09:25-00:02:26]  (Global) -> ESMAD/cejon: buena
[2020:09:25-00:02:27]  (Team - Unemployed) -> (TEAM)2cb'elpablitopai: en que configuracion
[2020:09:25-00:02:28]  (Global) -> melito: denada es por el viaje
[2020:09:25-00:02:30]  (Local) -> (LOCAL)[12]_SEMDS_: me quitaron el staff
[2020:09:25-00:02:31]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: en teclas
[2020:09:25-00:02:31]  (Local) -> (LOCAL)[1]2cB*PipeHpta: que?
[2020:09:25-00:02:36]  (Local) -> (LOCAL)[12]_SEMDS_: aun me amas asi
[2020:09:25-00:02:37]  (Local) -> (LOCAL)[1]2cB*PipeHpta: no
[2020:09:25-00:02:37]  (Local) -> (LOCAL)[12]_SEMDS_: ?
[2020:09:25-00:02:41]  (Global) -> (BGW)camilop202: BUENO YA ME VOY 5 <ZETAS PARA MI SUFICIENTE XDE
[2020:09:25-00:02:43]  (Global) -> (Z)IceWipe: LOLI?
[2020:09:25-00:02:44]  (Local) -> (LOCAL)[3]2cB*PipeHpta: na vez me puse
[2020:09:25-00:02:44]  (Local) -> (LOCAL)[1]GTJhojan: a done lo llevo?
[2020:09:25-00:02:45]  (Global) -> 2cbPABLO: 1
[2020:09:25-00:02:46]  (Global) -> [Z]MrAguacate: valeria
[2020:09:25-00:02:47]  (Local) -> (LOCAL)[4]2cb'JuanPablo: esta la tuve
[2020:09:25-00:02:48]  (Global) -> 2cbPABLO: 2
[2020:09:25-00:02:48]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000KevinOcampo: XD
[2020:09:25-00:02:49]  (Local) -> (LOCAL)[11]_SEMDS_: amigo kevin
[2020:09:25-00:02:49]  (Local) -> (LOCAL)[3]2cB*PipeHpta: pero me aburri
[2020:09:25-00:02:50]  (Local) -> (LOCAL)[3]ZetasValeria: q
[2020:09:25-00:02:51]  (Local) -> (LOCAL)[3][Z]MrAguacate: oe valeria pone bombas
[2020:09:25-00:02:51]  (Local) -> (LOCAL)[11]_SEMDS_: no me responde
[2020:09:25-00:02:54]  (Global) -> 2cbPABLO: 3
[2020:09:25-00:02:55]  (Local) -> (LOCAL)[3][Z]Lil.Dream: ya puse
[2020:09:25-00:02:56]  (Global) -> melito: a la estacion de policia
[2020:09:25-00:02:57]  (Local) -> (LOCAL)[3]ZetasValeria: ya se va el man
[2020:09:25-00:02:58]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000KevinOcampo: abramonos
[2020:09:25-00:02:58]  (Global) -> (BGW)camilop202: VALERIA RE GG 
[2020:09:25-00:02:59]  (Local) -> (LOCAL)[1]GTJhojan: ok
[2020:09:25-00:03:01]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000KevinOcampo: esa mujer no lo merece
[2020:09:25-00:03:02]  (Phone:SMS) -> From ELDANDYDEBARCELONA | To: 2cb'Diomedes777 | Message: con mucho guhto!!
[2020:09:25-00:03:02]  (Global) -> (BGW)camilop202: MIS RESPETOS XDE
[2020:09:25-00:03:03]  (Local) -> (LOCAL)[3]ZetasValeria: acabó de decir
[2020:09:25-00:03:11]  (Global) -> ZetasValeria: dale bro
[2020:09:25-00:03:12]  (Global) -> XxANDRESxX: T
[2020:09:25-00:03:13]  (Global) -> ZetasValeria: <3
[2020:09:25-00:03:13]  (Local) -> (LOCAL)[3][Z]MrAguacate: bueno gano la perseverancia
[2020:09:25-00:03:14]  (Local) -> (LOCAL)[3][Z]Lil.Dream: nice
[2020:09:25-00:03:16]  (Global) -> GT|OLAVE: a
[2020:09:25-00:03:16]  (Team - Unemployed) -> (TEAM)ELDANDYDEBARCELONA: i 
[2020:09:25-00:03:17]  (Local) -> (LOCAL)[1]2cb'SingleChamber: xd
[2020:09:25-00:03:18]  (Global) -> (Z)IceWipe: LOLI?
[2020:09:25-00:03:18]  (Local) -> (LOCAL)[1][GT]|~[ArturoCortez]~: Te encano y me voy a clases xD
[2020:09:25-00:03:20]  (Local) -> (LOCAL)[3][Zetas]Tempo.xD: <3
[2020:09:25-00:03:20]  (Global) -> _SEMDS_: nunca me amo
[2020:09:25-00:03:22]  (Local) -> (LOCAL)[1]AlonsoAlzate: breve
[2020:09:25-00:03:22]  (Local) -> (LOCAL)[3]ZetasValeria: buena muchachos
[2020:09:25-00:03:23]  (Global) -> _SEMDS_: yo nunca la ame
[2020:09:25-00:03:23]  (Local) -> (LOCAL)[3]YEICI: gracias
[2020:09:25-00:03:24]  (Local) -> (LOCAL)[3]2cB*PipeHpta: tiene vip y no sabe utilizar la doble escopeta
[2020:09:25-00:03:25]  (Local) -> (LOCAL)[3]ZetasValeria: <3
