This file was generated by Console at 2020:10:11-00:00:00



[2020:10:11-00:00:00]  (Global) -> |2cb|dilan: a
[2020:10:11-00:00:02]  (Local) -> (LOCAL)[1]SelfMade: como me quito esta skin que visaje
[2020:10:11-00:00:03]  (Local) -> (LOCAL)[1]AndresCanson: te piensas cambiar el nombre??
[2020:10:11-00:00:05]  (Local) -> (LOCAL)[5][GT]FranciscoBY: quietese el job
[2020:10:11-00:00:05]  (Local) -> (LOCAL)[12]2cb'Ander07: bienvenidooo
[2020:10:11-00:00:06]  (Global) -> GT|OLAVE: wow ni le pegue y lo cogi
[2020:10:11-00:00:08]  (Local) -> (LOCAL)[13]2cb'ELpepe: A
[2020:10:11-00:00:09]  (Local) -> (LOCAL)[13]2cb'LILPUSSY: SAPOOOOO OMEEEEEEE
[2020:10:11-00:00:11]  (Global) -> lLRl-Austin-lGTl: admin+
[2020:10:11-00:00:14]  (Local) -> (LOCAL)[1]AndresCanson: ehh, comprandote una nueva XD
[2020:10:11-00:00:15]  (Local) -> (LOCAL)[1]$oltec: ola
[2020:10:11-00:00:17]  (Global) -> Diomedes777: oleee
[2020:10:11-00:00:19]  (Local) -> (LOCAL)[1]rocho: holi
[2020:10:11-00:00:21]  (Local) -> (LOCAL)[1]-->pan: qeu
[2020:10:11-00:00:25]  (Local) -> (LOCAL)[1]AndresCanson: mentira
[2020:10:11-00:00:27]  (Local) -> (LOCAL)[17][ZETAS]CRIS: sech
[2020:10:11-00:00:28]  (Global) -> [GT]FranciscoBY: QUIEN VENDE FLASH
[2020:10:11-00:00:29]  (Local) -> (LOCAL)[1]AndresCanson: bajate
[2020:10:11-00:00:30]  (Local) -> (LOCAL)[1][GT]CARRANCHO: oe vea que cada rato me saca del juego
[2020:10:11-00:00:32]  (Local) -> (LOCAL)[1]-->pan: uya
[2020:10:11-00:00:32]  (Local) -> (LOCAL)[1]SelfMade: AAA tras de que ando sin plata
[2020:10:11-00:00:40]  (Global) -> Wili: oe
[2020:10:11-00:00:40]  (Local) -> (LOCAL)[1]AndresCanson: dele /resign
[2020:10:11-00:00:41]  (Local) -> (LOCAL)[1][GT]~CARDING: los graficos
[2020:10:11-00:00:45]  (Local) -> (LOCAL)[1]$oltec: vemos me voy a laburar
[2020:10:11-00:00:46]  (Local) -> (LOCAL)[2][GT]Jhojan: ole fransisco
[2020:10:11-00:00:46]  (Local) -> (LOCAL)[1][GT]CARRANCHO: sera
[2020:10:11-00:00:48]  (Global) -> lLRl-Austin-lGTl: admin se puede encarcelar siendo medico?
[2020:10:11-00:00:49]  (Local) -> (LOCAL)[1][GT]~CARDING: siii
