This file was generated by Console at 2020:10:12-00:00:00



[2020:10:12-00:00:00]  (Local) -> (LOCAL)[17][EVG]Orgalor: Chys
[2020:10:12-00:00:02]  (Local) -> (LOCAL)[4]2cb'palomo: patron mire o que le hice
[2020:10:12-00:00:02]  (Local) -> (LOCAL)[4]Wilthor: permiso
[2020:10:12-00:00:03]  (Local) -> (LOCAL)[17]LOKILLO: EU PASO AQUI
[2020:10:12-00:00:04]  (Local) -> (LOCAL)[17]Chys: nuevo esta como a 300
[2020:10:12-00:00:05]  (Local) -> (LOCAL)[5]2cb'pablitopai: y mantiene con ellas
[2020:10:12-00:00:06]  (Local) -> (LOCAL)[17]|GT|~La_Loli~: q evacion
[2020:10:12-00:00:06]  (Local) -> (LOCAL)[17]#7F7F7F|CVR|#FF7C00 Zllanerito: cual evacion tiene algun reporte
[2020:10:12-00:00:06]  (Local) -> (LOCAL)[17][EVG]Orgalor: presio
[2020:10:12-00:00:07]  (Local) -> (LOCAL)[17]|GT|ArturoCortez: Evasión?
[2020:10:12-00:00:11]  (Local) -> (LOCAL)[16]|GT|~La_Loli~: manco
[2020:10:12-00:00:12]  (Local) -> (LOCAL)[17][EVG]Orgalor: me gusta
[2020:10:12-00:00:14]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF7C00 Zllanerito: haga el tikect
[2020:10:12-00:00:14]  (Local) -> (LOCAL)[19][EVG]Orgalor: es sin skin
[2020:10:12-00:00:15]  (Global) -> rocho: me cago en todo
[2020:10:12-00:00:18]  (Local) -> (LOCAL)[19]2cb'FabiusxGaming: luego veo
[2020:10:12-00:00:18]  (Local) -> (LOCAL)[1]2cb'SingleChamber: oe
[2020:10:12-00:00:20]  (Global) -> TUERTO: COMPRO HELICOPTERO
[2020:10:12-00:00:21]  (Local) -> (LOCAL)[2]2cB*PapiChamberUwU: ola
[2020:10:12-00:00:22]  (Local) -> (LOCAL)[5]2cb'palomo: nbo ve mi graffiti?
[2020:10:12-00:00:22]  (Local) -> (LOCAL)[1]2cb'SingleChamber: como hace pa caminar
[2020:10:12-00:00:24]  (Local) -> (LOCAL)[5]2cb'pablitopai: a
[2020:10:12-00:00:25]  (Local) -> (LOCAL)[19][EVG]Orgalor: sin skin es mera chimbaaa
[2020:10:12-00:00:26]  (Local) -> (LOCAL)[1]$oltec: q
[2020:10:12-00:00:29]  (Local) -> (LOCAL)[1]2cb'SingleChamber: haci
[2020:10:12-00:00:29]  (Local) -> (LOCAL)[19]|GT|~La_Loli~: soy el pavo
[2020:10:12-00:00:37]  (Local) -> (LOCAL)[16](CTA)BAZUCO[GT]: ñerooo
[2020:10:12-00:00:39]  (Local) -> (LOCAL)[1]$oltec: normal?
[2020:10:12-00:00:43]  (Local) -> (LOCAL)[1]$oltec: o q
[2020:10:12-00:00:44]  (Local) -> (LOCAL)[16][EVG]Orgalor: DIME
[2020:10:12-00:00:45]  (Local) -> (LOCAL)[15][EVG]Orgalor: sooo
[2020:10:12-00:00:46]  (Local) -> (LOCAL)[15](CTA)BAZUCO[GT]: ese carro cuanto vale?
[2020:10:12-00:00:46]  (Local) -> (LOCAL)[1]2cb'SingleChamber: es q ud camina
[2020:10:12-00:00:47]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: vendiste el carro?
[2020:10:12-00:00:48]  (Local) -> (LOCAL)[5]2cb'pablitopai: patron
[2020:10:12-00:00:49]  (Local) -> (LOCAL)[1]2cb'SingleChamber: haci como esta
[2020:10:12-00:00:51]  (Local) -> (LOCAL)[13][EVG]Orgalor: pana no lo venden
[2020:10:12-00:00:53]  (Local) -> (LOCAL)[2](ZETA)michael-giovanny: nop
[2020:10:12-00:00:54]  (Local) -> (LOCAL)[5]2cb'pablitopai: vamos en avion
[2020:10:12-00:00:54]  (Local) -> (LOCAL)[15][EVG]Orgalor: es exclusivo
[2020:10:12-00:00:56]  (Local) -> (LOCAL)[1]2cb'SingleChamber: como hace
[2020:10:12-00:00:58]  (Local) -> (LOCAL)[14][EVG]Orgalor: de un grupo
[2020:10:12-00:00:58]  (Local) -> (LOCAL)[14]|GT|ArturoCortez: F
[2020:10:12-00:00:58]  (Local) -> (LOCAL)[1]$oltec: normal
[2020:10:12-00:01:00]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: cuantos años tienes
[2020:10:12-00:01:01]  (Phone:SMS) -> From TOPO | To: (POPEYE) | Message: DONDE ESTAN?
[2020:10:12-00:01:03]  (Local) -> (LOCAL)[5]2cb|Popeye: no se suban en los techos
[2020:10:12-00:01:04]  (Local) -> (LOCAL)[13][EVG]Orgalor: ellos pagaron
[2020:10:12-00:01:06]  (Local) -> (LOCAL)[1]2cb'SingleChamber: vea
[2020:10:12-00:01:06]  (Local) -> (LOCAL)[13](CTA)BAZUCO[GT]: yo soy de gt
[2020:10:12-00:01:07]  (Local) -> (LOCAL)[4]2cb'pablitopai: en helicoptero
[2020:10:12-00:01:09]  (Local) -> (LOCAL)[12][EVG]Orgalor: 180k por el
[2020:10:12-00:01:10]  (Local) -> (LOCAL)[2](ZETA)michael-giovanny: tengo 16
[2020:10:12-00:01:10]  (Local) -> (LOCAL)[1]2cb'SingleChamber: me voy
[2020:10:12-00:01:13]  (Local) -> (LOCAL)[1]$oltec: pues puse modo de camionar normal
[2020:10:12-00:01:15]  (Local) -> (LOCAL)[13]|GT|ArturoCortez: aaaa
[2020:10:12-00:01:16]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF7C00 Zllanerito: me quede bugggg
[2020:10:12-00:01:16]  (Local) -> (LOCAL)[13][EVG]Orgalor: aa eso si no c dile a arturo
[2020:10:12-00:01:17]  (Local) -> (LOCAL)[13]|GT|~La_Loli~: ff al fin me agarran
[2020:10:12-00:01:18]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF7C00 Zllanerito: ahashahahha
[2020:10:12-00:01:18]  (Global) -> TUERTO: COMPRO HELICOPTERO
[2020:10:12-00:01:18]  (Local) -> (LOCAL)[14][EVG]Orgalor: el lider
[2020:10:12-00:01:19]  (Local) -> (LOCAL)[5]2cb'pablitopai: ey ey
[2020:10:12-00:01:20]  (Local) -> (LOCAL)[13]|GT|ArturoCortez: Se me bugeo el taser
[2020:10:12-00:01:21]  (Local) -> (LOCAL)[5]2cb|Popeye: yo menejo
[2020:10:12-00:01:22]  (Global) -> ChockysYT: naide se llevo el pato
[2020:10:12-00:01:22]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF7C00 Zllanerito: matenmeeeeeeeeee
[2020:10:12-00:01:23]  (Local) -> (LOCAL)[14]2cbcarlos: casi que no malparida
[2020:10:12-00:01:24]  (Local) -> (LOCAL)[14](CTA)BAZUCO[GT]: re poquito mk
[2020:10:12-00:01:25]  (Local) -> (LOCAL)[1]2cb'SingleChamber: puso
[2020:10:12-00:01:26]  (Local) -> (LOCAL)[5]2cb'pablitopai: no yo
[2020:10:12-00:01:26]  (Local) -> (LOCAL)[14][EVG]Orgalor: no soygt
[2020:10:12-00:01:27]  (Local) -> (LOCAL)[5]2cb|Popeye: ??
[2020:10:12-00:01:28]  (Local) -> (LOCAL)[14]|GT|~La_Loli~: jajajajja
[2020:10:12-00:01:28]  (Local) -> (LOCAL)[1]2cb'SingleChamber: stopanim?
[2020:10:12-00:01:30]  (Local) -> (LOCAL)[13][EVG]Orgalor: :c
[2020:10:12-00:01:31]  (Local) -> (LOCAL)[13]|GT|~La_Loli~: lleveme rapido
[2020:10:12-00:01:32]  (Local) -> (LOCAL)[1]$oltec: no
[2020:10:12-00:01:33]  (Local) -> (LOCAL)[13](CTA)BAZUCO[GT]: apenas 180k?
[2020:10:12-00:01:33]  (Local) -> (LOCAL)[15]|GT|~La_Loli~: pa devolverme
