This file was generated by Console at 2020:10:15-00:00:03



[2020:10:15-00:00:03]  (Global) -> [Z]_VALLUNITO_:  
[2020:10:15-00:00:05]  (Team - Services) -> (TEAM)[S.A.S][S]Drogota: pagan mejor no?
[2020:10:15-00:00:05]  (Global) -> [Z]XhnGuaracha: claro el mas
[2020:10:15-00:00:06]  (Global) -> [GT]LEANDRO: cual es el discord de los gt
[2020:10:15-00:00:07]  (Global) -> [GT]FranciscoBY: Berda demostrado ser el staff mas toxico que novedad
[2020:10:15-00:00:07]  (Global) -> herreblos: berna mecago en ti noob
[2020:10:15-00:00:10]  (Global) -> |GT|~SubditoDeSatanas: berna se volvio un bobo hpta desde que nicole lo dejo
[2020:10:15-00:00:12]  (Global) -> 2cb'diilan: ya se acabo? ez 
[2020:10:15-00:00:12]  (Global) -> #7F7F7F|CVR|#FF00002cBerna: berda duerma
[2020:10:15-00:00:13]  (Global) -> 2cb'diilan: XDD
[2020:10:15-00:00:15]  (Global) -> herreblos: berna mecago en ti noob
[2020:10:15-00:00:17]  (Global) -> Jabon: claro
[2020:10:15-00:00:18]  (Global) -> [Z]_VALLUNITO_: Uy marica
[2020:10:15-00:00:20]  (Local) -> (LOCAL)[2][Z]XhnGuaracha: noooo
[2020:10:15-00:00:22]  (Global) -> #7F7F7F|CVR|#FF00002cBerna: nicole vuelve t.t
[2020:10:15-00:00:24]  (Global) -> #7F7F7F|CVR|#FF00002cBerna: :T.T
[2020:10:15-00:00:26]  (Global) -> [Z]_VALLUNITO_: SubditoXDD
[2020:10:15-00:00:27]  (Global) -> herreblos: feo hppp
[2020:10:15-00:00:28]  (Global) -> Jabon: jksajskj
[2020:10:15-00:00:33]  (Global) -> herreblos: berna udes re feo
[2020:10:15-00:00:46]  (Global) -> [Z]_VALLUNITO_: Sbudito es muy chimbo XD
[2020:10:15-00:00:49]  (Global) -> #7F7F7F|CVR|#FF00002cBerna: algun dia sere hokage 
[2020:10:15-00:00:51]  (Global) -> #7F7F7F|CVR|#FF00002cBerna: de veras
[2020:10:15-00:00:53]  (Global) -> [Z]_VALLUNITO_: De simp a incel
[2020:10:15-00:00:55]  (Global) -> herreblos: feo
[2020:10:15-00:01:03]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: q significa incel
[2020:10:15-00:01:03]  (Local) -> (LOCAL)[2][LR]Uniqua[GT]: gales
[2020:10:15-00:01:07]  (Global) -> herreblos: das asco tio
[2020:10:15-00:01:07]  (Global) -> 2cb'diilan: ya se acabo? ez 
[2020:10:15-00:01:09]  (Local) -> (LOCAL)[3]lGTl-Austin-lLRl: HOLI
[2020:10:15-00:01:15]  (Global) -> |GT|~SubditoDeSatanas: si ya se acabo
[2020:10:15-00:01:19]  (Global) -> 2cb'diilan: Ez XD
[2020:10:15-00:01:25]  (Global) -> #7F7F7F|CVR|#FF00002cBerna: incel es que las viejas no le copean
[2020:10:15-00:01:25]  (Local) -> (LOCAL)[1]2cb'Python: bugiado
[2020:10:15-00:01:29]  (Global) -> herreblos: dilan a mimir niño
[2020:10:15-00:01:32]  (Global) -> #7F7F7F|CVR|#FF00002cBerna: asi trate
[2020:10:15-00:01:32]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: literalmente yo
[2020:10:15-00:01:35]  (Local) -> (LOCAL)[4]2cb'tussy: anda a turfear
[2020:10:15-00:01:36]  (Global) -> Luna_gil:  
[2020:10:15-00:01:36]  (Local) -> (LOCAL)[4]2cb'tussy: hp
[2020:10:15-00:01:37]  (Global) -> 2cb'diilan: Beo sapo ya no te doy plata
[2020:10:15-00:01:40]  (Global) -> [Z]_VALLUNITO_: literalmente yo
[2020:10:15-00:01:41]  (Local) -> (LOCAL)[7]|GT|~SubditoDeSatanas: eres muy bueno
[2020:10:15-00:01:41]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: Beo sapo no se burle de el Nacional o lo mando a matar
[2020:10:15-00:01:43]  (Local) -> (LOCAL)[1]Jabon: ammu
[2020:10:15-00:01:46]  (Local) -> (LOCAL)[5]|GT|~SubditoDeSatanas: pailas no puedo
[2020:10:15-00:01:46]  (Global) -> CAPU|~CapuCurioso~|:  (　-_･) ︻デ═一 ▸ 2cB
[2020:10:15-00:01:48]  (Local) -> (LOCAL)[4]|GT|~SubditoDeSatanas: ir a turfear
[2020:10:15-00:01:49]  (Global) -> herreblos: samuel marmolejo semds
[2020:10:15-00:01:49]  (Local) -> (LOCAL)[1]2cb'diilan: bnio
[2020:10:15-00:01:52]  (Global) -> (CT.S)Elcarlitos: naciopan
[2020:10:15-00:01:53]  (Global) -> Jabon: santiago el mejor de soacha
[2020:10:15-00:01:53]  (Local) -> (LOCAL)[5]2cb'tussy: yo se
[2020:10:15-00:01:55]  (Local) -> (LOCAL)[6]2cb'tussy: pero intentalo
[2020:10:15-00:01:57]  (Local) -> (LOCAL)[6]2cb'tussy: q me aburro
[2020:10:15-00:01:57]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: YOOO
[2020:10:15-00:01:59]  (Local) -> (LOCAL)[6]|GT|~SubditoDeSatanas: pero enseñame
[2020:10:15-00:01:59]  (Global) -> herreblos: cayate
[2020:10:15-00:01:59]  (Local) -> (LOCAL)[2][GT]LEANDRO: otra zona
[2020:10:15-00:02:00]  (Local) -> (LOCAL)[6]|GT|~SubditoDeSatanas: un poco
[2020:10:15-00:02:03]  (Local) -> (LOCAL)[6]|GT|~SubditoDeSatanas: no?
