This file was generated by Console at 2020:10:18-00:00:10



[2020:10:18-00:00:10]  (Global) -> Arango: 3
[2020:10:18-00:00:12]  (Global) -> Arango: 2
[2020:10:18-00:00:14]  (Global) -> Arango: 1
[2020:10:18-00:00:18]  (Global) -> SebLS: ¿Qué paso?
[2020:10:18-00:00:20]  (Global) -> [CAPU]_JuanDa10: uyyy!
[2020:10:18-00:00:29]  (Global) -> Elreybobert: señores
[2020:10:18-00:00:37]  (Global) -> Elreybobert: me entrego a ustedes
[2020:10:18-00:00:45]  (Local) -> (LOCAL)[2]2cb'SingleChamber: ey ey
[2020:10:18-00:00:50]  (Local) -> (LOCAL)[3]2cb'SingleChamber: XD
[2020:10:18-00:00:54]  (Local) -> (LOCAL)[3]2cb'SingleChamber: andaba afk
[2020:10:18-00:00:56]  (Local) -> (LOCAL)[3][Z]DanielFly: me la debias
[2020:10:18-00:01:01]  (Local) -> (LOCAL)[1]2cb'SingleChamber: q va
[2020:10:18-00:01:10]  (Local) -> (LOCAL)[1]2cb'SingleChamber: tenias 1 estrella
[2020:10:18-00:01:15]  (Local) -> (LOCAL)[1]2cb'SingleChamber: yo 6 :(
[2020:10:18-00:01:19]  (Local) -> (LOCAL)[1]2cb'SingleChamber: 600 segundos
[2020:10:18-00:01:25]  (Local) -> (LOCAL)[1][Z]DanielFly: vip
[2020:10:18-00:01:27]  (Local) -> (LOCAL)[1]2cb'SingleChamber: vendeme esta moto
[2020:10:18-00:01:33]  (Local) -> (LOCAL)[1][GT]Santiago: cuanto le queda
[2020:10:18-00:01:36]  (Local) -> (LOCAL)[1][GT]Santiago: ???
[2020:10:18-00:01:36]  (Local) -> (LOCAL)[3][Z]DanielFly: es la unica q tengo
[2020:10:18-00:01:39]  (Global) -> Arango: 34
[2020:10:18-00:01:41]  (Local) -> (LOCAL)[4]2cb'SingleChamber: ash
[2020:10:18-00:01:43]  (Local) -> (LOCAL)[1]Arango: 34
[2020:10:18-00:01:45]  (Local) -> (LOCAL)[1]2cb'SingleChamber: no me metas
[2020:10:18-00:01:46]  (Local) -> (LOCAL)[1][GT]Santiago: 55
[2020:10:18-00:01:47]  (Local) -> (LOCAL)[2]2cb'SingleChamber: :)
[2020:10:18-00:01:54]  (Local) -> (LOCAL)[3]2cb'SingleChamber: t amo
[2020:10:18-00:01:55]  (Local) -> (LOCAL)[3][Z]DanielFly: no c
[2020:10:18-00:02:04]  (Local) -> (LOCAL)[1]2cb'SingleChamber: hagale pa q le pagen
[2020:10:18-00:02:10]  (Local) -> (LOCAL)[1]2cb'SingleChamber: igual me tengo q ir
[2020:10:18-00:02:11]  (Local) -> (LOCAL)[1][GT]Santiago: gane
[2020:10:18-00:02:12]  (Local) -> (LOCAL)[1]2cb'SingleChamber: tobo bien
[2020:10:18-00:02:15]  (Local) -> (LOCAL)[1]2cb'SingleChamber: cojeme
[2020:10:18-00:02:16]  (Local) -> (LOCAL)[1]Arango: GG
[2020:10:18-00:02:24]  (Local) -> (LOCAL)[2]2cb'SingleChamber: cojame
[2020:10:18-00:02:27]  (Local) -> (LOCAL)[4]2cb'SingleChamber: todo bien
[2020:10:18-00:02:28]  (Local) -> (LOCAL)[3][Z]DanielFly: XDD
[2020:10:18-00:02:35]  (Global) -> Cornizo: Beo sapo no se burle de el Nacional o lo mando a matar
[2020:10:18-00:02:36]  (Local) -> (LOCAL)[1][GT]Santiago: a trabajar
[2020:10:18-00:02:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Zllanerito: epa que
[2020:10:18-00:02:37]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: Beo sapo no se burle de el Nacional o lo mando a matar
[2020:10:18-00:02:40]  (Local) -> (LOCAL)[3]2cb'SingleChamber: bn bn
[2020:10:18-00:02:46]  (Global) -> Elreybobert: t
[2020:10:18-00:02:47]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Zllanerito: volando
[2020:10:18-00:02:47]  (Local) -> (LOCAL)[1][GT]~CARDING~SICARIO: ra lo del caballo
[2020:10:18-00:02:49]  (Local) -> (LOCAL)[1][Z]DanielFly: GRASIAS
[2020:10:18-00:02:50]  (Global) -> 2cb'dilan: gg
[2020:10:18-00:02:52]  (Local) -> (LOCAL)[3]2cb'SingleChamber: bno
[2020:10:18-00:02:53]  (Local) -> (LOCAL)[1][GT]~CARDING~SICARIO: se me pego+
[2020:10:18-00:02:53]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Zllanerito: en otro carro
[2020:10:18-00:02:55]  (Local) -> (LOCAL)[0][GT]Santiago: pa donde
[2020:10:18-00:02:59]  (Local) -> (LOCAL)[1](BGW)CHOCORRAMOCAMILOP: tenes gang?
[2020:10:18-00:03:01]  (Local) -> (LOCAL)[1][GT]~CARDING~SICARIO: no se como quitarlo
[2020:10:18-00:03:05]  (Local) -> (LOCAL)[1]Arango: en la mierda
[2020:10:18-00:03:06]  (Global) -> 2cb*care_loco: mk pare un momento y me monto arriba y si lo mato partimos por la mitad elñ premio
[2020:10:18-00:03:08]  (Local) -> (LOCAL)[1][GT]~CARDING~SICARIO: enserio
[2020:10:18-00:03:08]  (Global) -> PrettySunlamp38: nada
[2020:10:18-00:03:10]  (Global) -> JhonJairo: quiero un trabajo donde gane mucha plata
[2020:10:18-00:03:13]  (Local) -> (LOCAL)[1][GT]~CARDING~SICARIO: como se quita
[2020:10:18-00:03:13]  (Global) -> GT|OLAVE: jjjja
[2020:10:18-00:03:15]  (Global) -> JhonJairo: donde o con quien
[2020:10:18-00:03:21]  (Global) -> [GT]~CARDING~SICARIO: llanerito como se quita
[2020:10:18-00:03:22]  (Local) -> (LOCAL)[1](BGW)CHOCORRAMOCAMILOP: le gustaria unirse a la mia
[2020:10:18-00:03:23]  (Local) -> (LOCAL)[3]$oltec: subs
[2020:10:18-00:03:25]  (Global) -> [GT]~CARDING~SICARIO: me ayudas
[2020:10:18-00:03:25]  (Local) -> (LOCAL)[1][GT]Santiago: que ase
[2020:10:18-00:03:25]  (Local) -> (LOCAL)[2]$oltec: a
[2020:10:18-00:03:26]  (Local) -> (LOCAL)[1]|MZ|GasterHDZ: ai
[2020:10:18-00:03:27]  (Global) -> Arango: hago este y voy a comprar armas
[2020:10:18-00:03:28]  (Global) -> PrettySunlamp38: de una
[2020:10:18-00:03:29]  (Local) -> (LOCAL)[1]2cb[MAURO]: perro malparido
[2020:10:18-00:03:34]  (Local) -> (LOCAL)[1](BGW)CHOCORRAMOCAMILOP: agg a discord
[2020:10:18-00:03:34]  (Local) -> (LOCAL)[1][GT]Santiago: no
[2020:10:18-00:03:35]  (Global) -> [GT]~CARDING~SICARIO: llanerito
[2020:10:18-00:03:37]  (Local) -> (LOCAL)[1]|MZ|GasterHDZ: sapa gonorrienta
[2020:10:18-00:03:37]  (Global) -> [GT]~CARDING~SICARIO: ww
[2020:10:18-00:03:38]  (Global) -> #7F7F7F|CVR|#FF0000Zllanerito: mano no se , si quieres reconecta un momento
[2020:10:18-00:03:38]  (Global) -> Lauriita: OCAMPO DE MIERDA
[2020:10:18-00:03:39]  (Local) -> (LOCAL)[1]Arango: no uqe
[2020:10:18-00:03:39]  (Local) -> (LOCAL)[1](BGW)Danilo: no creo que se pueda
[2020:10:18-00:03:47]  (Local) -> (LOCAL)[1][GT]Santiago: por ese pedaje no
[2020:10:18-00:03:49]  (Global) -> Cornizo: Beo sapo no se burle de el Nacional o lo mando a matar
[2020:10:18-00:03:58]  (Local) -> (LOCAL)[1][Z]DanielFly: a patrullar
[2020:10:18-00:03:59]  (Local) -> (LOCAL)[1]Arango: el que
[2020:10:18-00:04:01]  (Local) -> (LOCAL)[1]GT|-PABLO-|LR: xd
[2020:10:18-00:04:03]  (Local) -> (LOCAL)[1]Arango: aaaaaaaaa
[2020:10:18-00:04:06]  (Global) -> JhonJairo: DONDE PUEDO GANAR MUCHA PLATA SIN TRABAJAR?
[2020:10:18-00:04:07]  (Local) -> (LOCAL)[1]GT|-Benson-|LR: lka
