This file was generated by Console at 2020:10:23-00:00:01



[2020:10:23-00:00:01]  (Local) -> (LOCAL)[2]noviaderoyal: ashh
[2020:10:23-00:00:02]  (Local) -> (LOCAL)[2]BART: ta melo
[2020:10:23-00:00:03]  (Global) -> 2cb-SuPerraMadre: ayyyyyyyyyyy
[2020:10:23-00:00:05]  (Local) -> (LOCAL)[5]C4rtex: ese la vendia en 25
[2020:10:23-00:00:06]  (Local) -> (LOCAL)[3]Katalina*_*P*: primero el tullo y despues el mio
[2020:10:23-00:00:08]  (Global) -> 2cb-SuPerraMadre: a ella le gusta vacilar
[2020:10:23-00:00:08]  (Local) -> (LOCAL)[2]noviaderoyal: se buheo xd
[2020:10:23-00:00:10]  (Global) -> 2cb'pablitopai: uy
[2020:10:23-00:00:11]  (Global) -> Radial: temaa
[2020:10:23-00:00:12]  (Global) -> 2cb'pablitopai: q tema
[2020:10:23-00:00:12]  (Local) -> (LOCAL)[1]2cb'Chirretico: quedese pegado
[2020:10:23-00:00:13]  (Local) -> (LOCAL)[2]noviaderoyal: veo como conductor
[2020:10:23-00:00:13]  (Local) -> (LOCAL)[1]CAPU|Pajizo: ey
[2020:10:23-00:00:14]  (Local) -> (LOCAL)[2][Z]Lil.Dream: dani
[2020:10:23-00:00:15]  (Global) -> 2cb'pablitopai: aaaaaaaaaaaaaa
[2020:10:23-00:00:16]  (Local) -> (LOCAL)[2]2cb'Escobar: como pillo a mi nuevo bb
[2020:10:23-00:00:16]  (Local) -> (LOCAL)[1]2cb'Chirretico: cuando yo le diga a
[2020:10:23-00:00:19]  (Local) -> (LOCAL)[1]2cb'Chirretico: hppp
[2020:10:23-00:00:19]  (Team - Services) -> (TEAM)juan: VENGA PAGEME
[2020:10:23-00:00:20]  (Local) -> (LOCAL)[2]Katalina*_*P*: bb recibelos
[2020:10:23-00:00:20]  (Global) -> 2cb'pablitopai: mucho tema
[2020:10:23-00:00:22]  (Local) -> (LOCAL)[1]2cb-SuPerraMadre: donde
[2020:10:23-00:00:22]  (Local) -> (LOCAL)[1]2cb'Chirretico: que se quede pegado
[2020:10:23-00:00:22]  (Local) -> (LOCAL)[2]BART: bonito
[2020:10:23-00:00:23]  (Local) -> (LOCAL)[2]2cb'Royal: yo veo como el que recoje
[2020:10:23-00:00:24]  (Local) -> (LOCAL)[2][Z]Lil.Dream: noquiero
[2020:10:23-00:00:24]  (Local) -> (LOCAL)[2]noviaderoyal: ya se le quito el rojo?
[2020:10:23-00:00:25]  (Global) -> Radial: como se llama este DJ?
[2020:10:23-00:00:25]  (Local) -> (LOCAL)[3][GT]LEANDRO: dale pa ptra parce
[2020:10:23-00:00:28]  (Local) -> (LOCAL)[1]Katalina*_*P*: shi
[2020:10:23-00:00:30]  (Local) -> (LOCAL)[1][Z]Lil.Dream: mm
[2020:10:23-00:00:30]  (Local) -> (LOCAL)[1]2cb'Chirretico: al hp carro
[2020:10:23-00:00:31]  (Local) -> (LOCAL)[1]2cb'pablitopai: uy dilan
[2020:10:23-00:00:31]  (Local) -> (LOCAL)[1]Katalina*_*P*: o me enojo
[2020:10:23-00:00:31]  (Local) -> (LOCAL)[2]BART: un mustang
[2020:10:23-00:00:33]  (Local) -> (LOCAL)[2]2cb'Royal: no se yo solo veo el circulo verde xde
[2020:10:23-00:00:34]  (Local) -> (LOCAL)[2]2cb'Escobar: ?
[2020:10:23-00:00:34]  (Local) -> (LOCAL)[1]2cb'pablitopai: q chimba de dj
[2020:10:23-00:00:35]  (Local) -> (LOCAL)[1][Z]Lil.Dream: tabien
[2020:10:23-00:00:35]  (Team - Services) -> (TEAM)juan: PAGEME
[2020:10:23-00:00:35]  (Global) -> DonChimbo: le gusta lo kiki nasty
[2020:10:23-00:00:36]  (Local) -> (LOCAL)[2]noviaderoyal: hoota
[2020:10:23-00:00:36]  (Local) -> (LOCAL)[1]CAPU|Pajizo: esperate ome la pruebo eeee
[2020:10:23-00:00:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: tengo q peinarme xd
[2020:10:23-00:00:37]  (Local) -> (LOCAL)[2]BART: vea pues
[2020:10:23-00:00:37]  (Local) -> (LOCAL)[3]C4rtex: oe
[2020:10:23-00:00:39]  (Global) -> luisito: ey
[2020:10:23-00:00:39]  (Local) -> (LOCAL)[1]2cb-SuPerraMadre: ah klitso
[2020:10:23-00:00:40]  (Local) -> (LOCAL)[3]noviaderoyal: se buegeop
[2020:10:23-00:00:40]  (Local) -> (LOCAL)[3](EVG)TU_DIOSA: ?
[2020:10:23-00:00:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: xddddddddddddddddddddddddddd
[2020:10:23-00:00:42]  (Local) -> (LOCAL)[4]C4rtex: vamos mas bn al banco
[2020:10:23-00:00:44]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: vaguete
[2020:10:23-00:00:45]  (Local) -> (LOCAL)[2]Katalina*_*P*: amonos bb
[2020:10:23-00:00:45]  (Local) -> (LOCAL)[2](GT)MIGUEL1450: me habla ami?
[2020:10:23-00:00:45]  (Local) -> (LOCAL)[4]2cb'Royal: damos reconnect? xde
[2020:10:23-00:00:45]  (Local) -> (LOCAL)[1]2cb'Chirretico: tonto
[2020:10:23-00:00:47]  (Local) -> (LOCAL)[4]noviaderoyal: toco al reves
[2020:10:23-00:00:47]  (Local) -> (LOCAL)[1]2cb'Chirretico: asi
[2020:10:23-00:00:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: tienes el pelo largo?
[2020:10:23-00:00:50]  (Local) -> (LOCAL)[2][Z]Lil.Dream: vamos
[2020:10:23-00:00:51]  (Local) -> (LOCAL)[4]2cb'Royal: ajksjkasjk
[2020:10:23-00:00:52]  (Local) -> (LOCAL)[0]luisito: ey
[2020:10:23-00:00:52]  (Local) -> (LOCAL)[2]2cb'Escobar: lo puse en piloto automatico
[2020:10:23-00:00:52]  (Local) -> (LOCAL)[3][GT]TiroFijo420: reportelo
[2020:10:23-00:00:54]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: nao
[2020:10:23-00:00:55]  (Local) -> (LOCAL)[1]2cb'Chirretico: x
[2020:10:23-00:00:56]  (Local) -> (LOCAL)[1]2cb'Chirretico: eso
[2020:10:23-00:00:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: yosi :v
[2020:10:23-00:00:58]  (Local) -> (LOCAL)[4]C4rtex: guardalo
[2020:10:23-00:00:58]  (Local) -> (LOCAL)[1]2cb-SuPerraMadre: ay
[2020:10:23-00:01:00]  (Local) -> (LOCAL)[4][GT]TiroFijo420: fue omar
[2020:10:23-00:01:00]  (Local) -> (LOCAL)[1]2cb'Chirretico: cuando yo diga ya
[2020:10:23-00:01:00]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: xD
[2020:10:23-00:01:01]  (Local) -> (LOCAL)[1]2cb-SuPerraMadre: pa que
[2020:10:23-00:01:02]  (Local) -> (LOCAL)[1]luisito: ey
[2020:10:23-00:01:03]  (Global) -> Radial: no me sirvio lo del celular, aún asi gracias
[2020:10:23-00:01:03]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: mechudo hpta
[2020:10:23-00:01:04]  (Local) -> (LOCAL)[2](GT)MIGUEL1450: xd
[2020:10:23-00:01:06]  (Local) -> (LOCAL)[4]noviaderoyal: mucha mema nea
[2020:10:23-00:01:07]  (Local) -> (LOCAL)[1]2cb'Chirretico: ud espicha x
[2020:10:23-00:01:07]  (Local) -> (LOCAL)[1]2cb-SuPerraMadre: ya q
[2020:10:23-00:01:08]  (Local) -> (LOCAL)[2]BART: XD
[2020:10:23-00:01:09]  (Local) -> (LOCAL)[1][Z]Lil.Dream: ven miremos algo
[2020:10:23-00:01:10]  (Global) -> Radial: voy a seguir intentando
