This file was generated by Console at 2020:10:24-00:00:00



[2020:10:24-00:00:00]  (Global) -> JhonatanTree: ok
[2020:10:24-00:00:01]  (Global) -> 2cB'Santi:): se lo cambio por este moco royal
[2020:10:24-00:00:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: mire atras
[2020:10:24-00:00:02]  (Local) -> (LOCAL)[10]2cb'JuanPablo: fabius
[2020:10:24-00:00:03]  (Global) -> shadow00hero293: nboooo
[2020:10:24-00:00:03]  (Local) -> (LOCAL)[10]PapuCaliche: meinvitan a 2cb
[2020:10:24-00:00:05]  (Global) -> JhonatanTree: si ya lei eso
[2020:10:24-00:00:06]  (Local) -> (LOCAL)[10]2cb'FabiusxK: oe
[2020:10:24-00:00:07]  (Global) -> 2cb'Royal: de una
[2020:10:24-00:00:07]  (Local) -> (LOCAL)[10]2cb'Radial: callese
[2020:10:24-00:00:08]  (Global) -> GT/MiguelM: SOY EL QUE MAS ARIIBA ESTÁ
[2020:10:24-00:00:09]  (Local) -> (LOCAL)[2]2cb.MCLOVIN007: oe y catre?
[2020:10:24-00:00:09]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: ok
[2020:10:24-00:00:11]  (Local) -> (LOCAL)[10]2cb'Radial: vamos
[2020:10:24-00:00:12]  (Global) -> JhonatanTree: gracias
[2020:10:24-00:00:12]  (Local) -> (LOCAL)[10]2cb'Lovell: noteimvitamos
[2020:10:24-00:00:15]  (Local) -> (LOCAL)[1][GT]AriasPai: Que pasa?
[2020:10:24-00:00:16]  (Local) -> (LOCAL)[9]2cb'Radial: jJJAJAJJAJJAJ
[2020:10:24-00:00:16]  (Local) -> (LOCAL)[2]2cb.MCLOVIN007: pero hablen
[2020:10:24-00:00:17]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: habla en local por la U
[2020:10:24-00:00:18]  (Local) -> (LOCAL)[9]2cb'FabiusxK: ya estoy descargando red dead xd
[2020:10:24-00:00:19]  (Local) -> (LOCAL)[9]2cb'JuanPablo: alfin averiguo lo de hitman
[2020:10:24-00:00:21]  (Local) -> (LOCAL)[9]2cb'FabiusxK: mañana lo tengo
[2020:10:24-00:00:22]  (Global) -> DonHector: ay si niño ya sabemos, bajese que se aporrea
[2020:10:24-00:00:22]  (Local) -> (LOCAL)[9]2cb'Radial: no tengo silenciada
