This file was generated by Console at 2020:10:28-00:00:02



[2020:10:28-00:00:02]  (Local) -> (LOCAL)[4]C4rtex: veni
[2020:10:28-00:00:05]  (Local) -> (LOCAL)[2]GT|Jhojan: veloo
[2020:10:28-00:00:07]  (Global) -> Maco132: CONMIGO QUE GNRA XDD
[2020:10:28-00:00:12]  (Global) -> #7D0093|#DE76F0DJ#7D0093|#B10CCE[Z]_VALLUNITO_DOKI: xdd
[2020:10:28-00:00:15]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Francine98: hasta donde llega el ser humano
[2020:10:28-00:00:18]  (Global) -> #7D0093|#DE76F0DJ#7D0093|#B10CCE[Z]_VALLUNITO_DOKI: Me asustó XD
[2020:10:28-00:00:19]  (Global) -> CurvedLegumes81: como veo quien tiene estrallas?
[2020:10:28-00:00:19]  (Local) -> (LOCAL)[4]zLoli: son 20 k
[2020:10:28-00:00:20]  (Global) -> Maco132: CASI NOS MATAMOS
[2020:10:28-00:00:24]  (Local) -> (LOCAL)[4][EVG]Soltec: ush
[2020:10:28-00:00:25]  (Local) -> (LOCAL)[4]C4rtex: oigan esta ajajjaja
[2020:10:28-00:00:25]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: ay coño
[2020:10:28-00:00:26]  (Local) -> (LOCAL)[1][Z]Osama: xdd
[2020:10:28-00:00:29]  (Local) -> (LOCAL)[1][Z]Osama: parchao
[2020:10:28-00:00:30]  (Local) -> (LOCAL)[4]C4rtex: pero labios de oro?
[2020:10:28-00:00:31]  (Local) -> (LOCAL)[1][CAPU]Gallo_Pepe: xdd
[2020:10:28-00:00:31]  (Global) -> #7D0093|#DE76F0DJ#7D0093|#B10CCE[Z]_VALLUNITO_DOKI: XD
[2020:10:28-00:00:31]  (Global) -> 2cb'Escobar: amd
[2020:10:28-00:00:31]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: se me acbo el vip XDDDDDDDDDDDDDDDDDDDDDD
[2020:10:28-00:00:32]  (Global) -> .: khausu donde te fuiste?
[2020:10:28-00:00:35]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: noooooo
[2020:10:28-00:00:35]  (Global) -> 2cb'Escobar: papi arcangel
[2020:10:28-00:00:36]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Khausu: XDDDDDDDDDDDDDDDDD
