This file was generated by Console at 2020:11:05-00:00:02



[2020:11:05-00:00:02]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: que
[2020:11:05-00:00:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: quiero echar chisme contigo
[2020:11:05-00:00:05]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: daavid
[2020:11:05-00:00:07]  (Local) -> (LOCAL)[1]DoctorUribe: el banshe
[2020:11:05-00:00:07]  (Global) -> #7F7F7F|CVR|#FF5C00Megu: qn me manda 15k
[2020:11:05-00:00:08]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: va a parchar
[2020:11:05-00:00:08]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF0000Llanerito: xde
[2020:11:05-00:00:09]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: dejaste de entrar al disc
[2020:11:05-00:00:09]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: ?
[2020:11:05-00:00:12]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: me lo esta vendiendo?
[2020:11:05-00:00:13]  (Global) -> #7F7F7F|CVR|#FF5C00Megu: 8)
[2020:11:05-00:00:14]  (Local) -> (LOCAL)[3]Daaavd: no se me cole
[2020:11:05-00:00:14]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: con nosotros
[2020:11:05-00:00:15]  (Global) -> Taison: COMPAÑERO
[2020:11:05-00:00:15]  (Local) -> (LOCAL)[1]DoctorUribe: aja
[2020:11:05-00:00:18]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF0000Llanerito: lo admitio
[2020:11:05-00:00:18]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: a
[2020:11:05-00:00:18]  (Local) -> (LOCAL)[2]MZ/vendoArepas: manejo yo mejor?
[2020:11:05-00:00:18]  (Local) -> (LOCAL)[1][2cb]Cronos.PGLO: Digalo
[2020:11:05-00:00:19]  (Local) -> (LOCAL)[3]Daaavd: hagale
[2020:11:05-00:00:21]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF0000Llanerito: y todo
[2020:11:05-00:00:21]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: na yo no quiero eso
[2020:11:05-00:00:22]  (Global) -> |MZ|Pablobeta: Como se cambia la emisora?
[2020:11:05-00:00:22]  (Global) -> 2cb'ARETE: que le ayuden aque
[2020:11:05-00:00:22]  (Global) -> Taison: DONDE COJO LAS ARMAS?
[2020:11:05-00:00:22]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: tiene gang?
[2020:11:05-00:00:24]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: no me gusta jajaja
[2020:11:05-00:00:25]  (Local) -> (LOCAL)[1]|Z|~IceWipe: solo me alcanza
[2020:11:05-00:00:26]  (Local) -> (LOCAL)[1]DoctorUribe: nooo
[2020:11:05-00:00:26]  (Local) -> (LOCAL)[2]MZ/vendoArepas: no se nea
[2020:11:05-00:00:27]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00ReizerB: si
[2020:11:05-00:00:27]  (Local) -> (LOCAL)[2]|MZ|santi: ay no
[2020:11:05-00:00:29]  (Local) -> (LOCAL)[1][2cb]Cronos.PGLO: Aqui no dan armas, tiene que comprarlas
[2020:11:05-00:00:29]  (Global) -> #7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: quién está en la radio?
[2020:11:05-00:00:29]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF0000Llanerito: eso fue lo unico bueno
[2020:11:05-00:00:30]  (Local) -> (LOCAL)[1]|Z|~IceWipe: para e
[2020:11:05-00:00:30]  (Local) -> (LOCAL)[3]Daaavd: no por el momento
[2020:11:05-00:00:31]  (Local) -> (LOCAL)[1]|DJ|Satania: sii pero pues no se
[2020:11:05-00:00:31]  (Local) -> (LOCAL)[2]|MZ|santi: pa onde vamos
[2020:11:05-00:00:31]  (Global) -> [Z]Osama: SUPERELO SUPERELO SUPERELO
[2020:11:05-00:00:32]  (Local) -> (LOCAL)[2]MZ/vendoArepas: ande pues santi
[2020:11:05-00:00:33]  (Local) -> (LOCAL)[1]DoctorUribe: necesito plata
[2020:11:05-00:00:33]  (Local) -> (LOCAL)[1]|Z|~IceWipe: la sandking
[2020:11:05-00:00:34]  (Global) -> Taison: OK
[2020:11:05-00:00:34]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF0000Llanerito: que no lo oculto
[2020:11:05-00:00:35]  (Local) -> (LOCAL)[1]|Z|~IceWipe: 8)
[2020:11:05-00:00:35]  (Local) -> (LOCAL)[2]MZ/vendoArepas: siga a gaster
[2020:11:05-00:00:36]  (Local) -> (LOCAL)[2][2cb]Cronos.PGLO: Vamos para que merque el taser
[2020:11:05-00:00:37]  (Local) -> (LOCAL)[1]|Z|~La_Loli~: jajaja xd
[2020:11:05-00:00:38]  (Local) -> (LOCAL)[2][2cb]Cronos.PGLO: Subase
[2020:11:05-00:00:38]  (Local) -> (LOCAL)[5]|MZ|Gaster|LD|: se quiere unir a mz=
[2020:11:05-00:00:39]  (Local) -> (LOCAL)[5]|MZ|Gaster|LD|: ?
[2020:11:05-00:00:42]  (Local) -> (LOCAL)[1]DoctorUribe: y nadie compra hppp
[2020:11:05-00:00:42]  (Local) -> (LOCAL)[1]|DJ|Satania: me esta pasando lo mismo que death soul
[2020:11:05-00:00:42]  (Local) -> (LOCAL)[10]e: oigan q hicieron
[2020:11:05-00:00:43]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: yo tambien jajaja
[2020:11:05-00:00:47]  (Local) -> (LOCAL)[5]Daaavd: pues como se hace o que?
[2020:11:05-00:00:49]  (Global) -> Taison: I COMO REQUISO ETC,SOY NUEVO
[2020:11:05-00:00:49]  (Local) -> (LOCAL)[1]|Z|~La_Loli~: ya guarde esa plata
[2020:11:05-00:00:49]  (Local) -> (LOCAL)[10]e: no me banearon
[2020:11:05-00:00:49]  (Global) -> |MZ|Pablobeta: Alguien sabe como se cambia la emisora?
[2020:11:05-00:00:52]  (Global) -> 2cb'ARETE: tiene que trabajar y comprarlas
[2020:11:05-00:00:53]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: como asi
[2020:11:05-00:00:53]  (Global) -> |Z|~La_Loli~: amonos a sf
[2020:11:05-00:00:55]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Llanerito: como asi
[2020:11:05-00:00:56]  (Local) -> (LOCAL)[1][2cb]Cronos.PGLO: No hay requisito
[2020:11:05-00:00:56]  (Local) -> (LOCAL)[1]|Z|~La_Loli~: amonos a sf
[2020:11:05-00:00:59]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Llanerito: usted quien es
[2020:11:05-00:01:01]  (Local) -> (LOCAL)[1]|Z|~IceWipe: pere
[2020:11:05-00:01:01]  (Local) -> (LOCAL)[10]e: JAJAJAJAJAJA
[2020:11:05-00:01:04]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00ReizerB: uy espere lo baneo yo
[2020:11:05-00:01:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: que ya no te sientes comodo con el grupo?
[2020:11:05-00:01:04]  (Local) -> (LOCAL)[1]|DJ|Satania: ess como mmm
[2020:11:05-00:01:05]  (Local) -> (LOCAL)[2]MZ/vendoArepas: pegue pal area 51
[2020:11:05-00:01:06]  (Local) -> (LOCAL)[10]e: pues laura bobo
[2020:11:05-00:01:16]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: jajjajaa
[2020:11:05-00:01:16]  (Local) -> (LOCAL)[2]MZ/vendoArepas: si sabe adonde es?
[2020:11:05-00:01:17]  (Global) -> |DJ|2cb'Royal: VENDO ROADTRAIN
[2020:11:05-00:01:17]  (Local) -> (LOCAL)[10]e: no llanerito que estamos ahciendo
[2020:11:05-00:01:20]  (Global) -> Omar25: mi bazuquito inutil
[2020:11:05-00:01:21]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: troleados 2cb
[2020:11:05-00:01:21]  (Local) -> (LOCAL)[2]|DJ|Satania: me encanta zetas y todo pero siento que es mejor distanciarme
[2020:11:05-00:01:22]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000Llanerito: aparecio
[2020:11:05-00:01:26]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: xq
[2020:11:05-00:01:26]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: daavid
[2020:11:05-00:01:29]  (Local) -> (LOCAL)[2]|MZ|santi: sisasw
[2020:11:05-00:01:29]  (Global) -> [Zetas]Matachivos: smash666
[2020:11:05-00:01:30]  (Local) -> (LOCAL)[3]Daaavd: ?
[2020:11:05-00:01:31]  (Global) -> Taison: ESPEREME
[2020:11:05-00:01:32]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Llanerito: el ban que raro
[2020:11:05-00:01:32]  (Local) -> (LOCAL)[2]MZ/vendoArepas: melo
[2020:11:05-00:01:34]  (Local) -> (LOCAL)[2]MZ/vendoArepas: andando
[2020:11:05-00:01:34]  (Local) -> (LOCAL)[5]|MZ|Gaster|LD|: rotemes wsu whats
[2020:11:05-00:01:37]  (Global) -> Maquiritoz: ee
[2020:11:05-00:01:37]  (Global) -> [Z]Smash666: que
[2020:11:05-00:01:39]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: y hablamos
[2020:11:05-00:01:40]  (Global) -> 2cb'pinina: compro hustler
[2020:11:05-00:01:41]  (Global) -> [Zetas]Matachivos: ya tiene vip
[2020:11:05-00:01:41]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Llanerito: nooo el jugo
[2020:11:05-00:01:43]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00ReizerB: creo que uso VPN
[2020:11:05-00:01:43]  (Global) -> ProductiveDagger70: hey suba
[2020:11:05-00:01:44]  (Global) -> [Zetas]Matachivos: aprete las z
[2020:11:05-00:01:45]  (Local) -> (LOCAL)[3]Daaavd: ahorita se lo paso xd
[2020:11:05-00:01:46]  (Local) -> (LOCAL)[1]|DJ|Satania: ni idea son ideas tontas
[2020:11:05-00:01:47]  (Global) -> [Z]Smash666: sisa
[2020:11:05-00:01:49]  (Local) -> (LOCAL)[3]|MZ|Gaster|LD|: listo
[2020:11:05-00:01:51]  (Local) -> (LOCAL)[1]DoctorUribe: mañana hago mi especial decembrino :D
[2020:11:05-00:01:52]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Llanerito: minimo pa
[2020:11:05-00:01:54]  (Local) -> (LOCAL)[1]DoctorUribe: añañai
[2020:11:05-00:01:55]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Llanerito: por que aparecio
[2020:11:05-00:01:56]  (Local) -> (LOCAL)[6]Diaz: Oe, soy 2cb
[2020:11:05-00:01:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: deberíamos hacer llamadita un dia de estos
[2020:11:05-00:01:59]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00ReizerB: no ve que entro con otro nombre
[2020:11:05-00:02:02]  (Local) -> (LOCAL)[4]Diaz: suelteme .l.
[2020:11:05-00:02:02]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: a
[2020:11:05-00:02:03]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF0000Llanerito: si
[2020:11:05-00:02:04]  (Global) -> [Zetas]Matachivos: vaya a la armeria y compra las escopetas dobles
[2020:11:05-00:02:04]  (Global) -> [2cb]Cronos.PGLO: Compruebelo
[2020:11:05-00:02:09]  (Local) -> (LOCAL)[1][ZETAS]Petrosky: ola bb
[2020:11:05-00:02:09]  (Local) -> (LOCAL)[2]MZ/vendoArepas: papi anda dormido jaja?
[2020:11:05-00:02:11]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: y asi me cuentas todo eso
[2020:11:05-00:02:12]  (Local) -> (LOCAL)[2]|DJ|Satania: si quieres aunque sabes que no soy bueno hablando
[2020:11:05-00:02:13]  (Global) -> Maquiritoz: curo gente 
[2020:11:05-00:02:13]  (Local) -> (LOCAL)[6]Diaz: Qué hago?
[2020:11:05-00:02:14]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Llanerito: esperemos un momento
[2020:11:05-00:02:14]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00ReizerB: esperemos aca entonces
[2020:11:05-00:02:15]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: tal vez mañana ni el viernes me conecte
[2020:11:05-00:02:16]  (Local) -> (LOCAL)[5][2cb]Cronos.PGLO: Con /gc
[2020:11:05-00:02:17]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00ReizerB: sisas
[2020:11:05-00:02:17]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: shim
[2020:11:05-00:02:17]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Llanerito: a ver si entra
[2020:11:05-00:02:18]  (Local) -> (LOCAL)[2]|MZ|santi: no me servia la w xd
[2020:11:05-00:02:18]  (Global) -> Omar25: loli de mi vida
[2020:11:05-00:02:21]  (Local) -> (LOCAL)[1]DoctorUribe: uy pq
[2020:11:05-00:02:22]  (Local) -> (LOCAL)[2]MZ/vendoArepas: ah
[2020:11:05-00:02:25]  (Global) -> [Z]Smash666: matachivos ya
[2020:11:05-00:02:26]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FFFF00~Piskero~: esta entrando
[2020:11:05-00:02:27]  (Global) -> ProductiveDagger70: vamos}
[2020:11:05-00:02:28]  (Local) -> (LOCAL)[3]Diaz: a
[2020:11:05-00:02:29]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FFFF00~Piskero~: "e"
[2020:11:05-00:02:29]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: el viernes cumplo años
[2020:11:05-00:02:32]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: y quiero salir
[2020:11:05-00:02:33]  (Global) -> Haski_Scott: Que 10 minutos tan largos
[2020:11:05-00:02:33]  (Local) -> (LOCAL)[6][Zetas]'Londo: pa onde joven
[2020:11:05-00:02:36]  (Local) -> (LOCAL)[1]DoctorUribe: epa
[2020:11:05-00:02:38]  (Local) -> (LOCAL)[3]Diaz: XDDDDDDDDDDDDDDDDD
[2020:11:05-00:02:39]  (Global) -> #7F7F7F|CVR|#FFFF00~Piskero~: XD
[2020:11:05-00:02:40]  (Global) -> #005F55|#00D3BDLG#005F55|#FF5C00[Zetas]Candonga: tt
[2020:11:05-00:02:42]  (Global) -> #005F55|#00D3BDLG#005F55|#FF5C00[Zetas]Candonga: tt
[2020:11:05-00:02:42]  (Local) -> (LOCAL)[3][Z]Smash666: rela
[2020:11:05-00:02:43]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: tengo 3 lukas que hay pa hacer
[2020:11:05-00:02:46]  (Local) -> (LOCAL)[1]DoctorUribe: ojo le da covid como a jimenez
[2020:11:05-00:02:46]  (Local) -> (LOCAL)[1]|DJ|Satania: sera mejor ir antes de que se enoje
[2020:11:05-00:02:46]  (Local) -> (LOCAL)[3][Z]Smash666: lo amo+
[2020:11:05-00:02:47]  (Global) -> Maquiritoz: curo gente
[2020:11:05-00:02:48]  (Global) -> [Z]Osama: SUPERELO SUPERELO SUPERELO
[2020:11:05-00:02:50]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: jajajaj si
[2020:11:05-00:02:51]  (Global) -> ProductiveDagger70: vamos
[2020:11:05-00:02:52]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00[Z]XhnGuaracha: pero pues podemos ponernos en llamada y tu me escribes
[2020:11:05-00:02:53]  (Global) -> 2cb'ViejoRichard: ah vea al socio
[2020:11:05-00:02:54]  (Local) -> (LOCAL)[2][Zetas]'Londo: no c yo voyn a sf
[2020:11:05-00:02:56]  (Global) -> Taison: COMPAÑERO
