This file was generated by Console at 2020:11:11-00:00:00



[2020:11:11-00:00:00]  (Global) -> 2cB'Sant:D: NA DJ CALLESE  HP
[2020:11:11-00:00:05]  (Global) -> 2cb|ZACK|: wii
[2020:11:11-00:00:06]  (Local) -> (LOCAL)[26]|MZ|Gurui: quiten los hptas bafles
[2020:11:11-00:00:08]  (Global) -> #7F7F7F|CVR|#FF8C002cb|Catre: Depende[3]
[2020:11:11-00:00:12]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: Q hacen aqui
[2020:11:11-00:00:13]  (Global) -> 2cb|ZACK|: vamos en ala camioneta
[2020:11:11-00:00:13]  (Local) -> (LOCAL)[27]2cb'Python: ola
[2020:11:11-00:00:14]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: XD
[2020:11:11-00:00:14]  (Global) -> #7F7F7F|CVR|#FF8C002cb|Catre: de comerzar evento 
[2020:11:11-00:00:16]  (Local) -> (LOCAL)[4]|DJ|DoctorUribe: orgalor
[2020:11:11-00:00:18]  (Global) -> 2cb|ZACK|: gracias hijo
[2020:11:11-00:00:22]  (Local) -> (LOCAL)[29]2cb'Python: quietos pues
[2020:11:11-00:00:24]  (Local) -> (LOCAL)[29]Papitass*2Cb: apu duo
[2020:11:11-00:00:24]  (Global) -> Depende: otra vez?????????????????????????????
[2020:11:11-00:00:27]  (Local) -> (LOCAL)[30]Papitass*2Cb: jajaja
[2020:11:11-00:00:28]  (Global) -> Depende: nooooo sean serios
[2020:11:11-00:00:28]  (Global) -> (BGW)TU_DIOSA: ESTE MK ESTA TODO DROGADO XDE
[2020:11:11-00:00:30]  (Local) -> (LOCAL)[30]#7F7F7F|CVR|#FF5C00FRANSINEVG|Orgalor: es sin udos
[2020:11:11-00:00:30]  (Global) -> [Zetas]Kayn: nea ajajajaj me bugie
[2020:11:11-00:00:35]  (Global) -> 2cB*Buitre: ADMIN ME AYUDAS PORFA
[2020:11:11-00:00:36]  (Global) -> 2cB*Buitre: ADMIN ME AYUDAS PORFA
[2020:11:11-00:00:37]  (Global) -> el_santi: pana
[2020:11:11-00:00:38]  (Local) -> (LOCAL)[28]#7F7F7F|CVR|#FF5C00FRANSINEVG|Orgalor: si veo duos lse funan
[2020:11:11-00:00:38]  (Global) -> 2cB*Buitre: ADMIN ME AYUDAS PORFAT
[2020:11:11-00:00:39]  (Local) -> (LOCAL)[28]Papitass*2Cb: mmm un secretito
[2020:11:11-00:00:39]  (Global) -> [Zetas]Kayn: aiudaaa
[2020:11:11-00:00:40]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: BUITRE
[2020:11:11-00:00:40]  (Global) -> 2cB*Buitre: ADMIN ME AYUDAS PORFA
[2020:11:11-00:00:41]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: Q PASÓ
[2020:11:11-00:00:42]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:00:42]  (Global) -> 2cB*Buitre: ADMIN ME AYUDAS PORFAT
[2020:11:11-00:00:42]  (Global) -> 2cB'Sant:D: DJ HP CALLATE
[2020:11:11-00:00:44]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:00:44]  (Global) -> 2cB*Buitre: ADMIN ME AYUDAS PORFA
[2020:11:11-00:00:44]  (Local) -> (LOCAL)[29]MontesSicario: tssy
[2020:11:11-00:00:45]  (Global) -> 2cB*Buitre: ADMIN ME AYUDAS PORFA
[2020:11:11-00:00:46]  (Local) -> (LOCAL)[29]MontesSicario: sacameee
[2020:11:11-00:00:46]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:00:46]  (Local) -> (LOCAL)[29]#7F7F7F|CVR|#FF5C00FRANSINEVG|Orgalor: comoo
[2020:11:11-00:00:46]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: BUITRE
[2020:11:11-00:00:47]  (Local) -> (LOCAL)[29]#005F55|#00D3BDLG#005F55|#FF8C002cb'tussy: a
[2020:11:11-00:00:48]  (Global) -> 2cB*Buitre: ADMIN ME AYUDAS PORF
[2020:11:11-00:00:48]  (Local) -> (LOCAL)[29]2cb-Apu_N: a
[2020:11:11-00:00:49]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:00:49]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: BUITRE
[2020:11:11-00:00:49]  (Local) -> (LOCAL)[29]MontesSicario: Bebe
[2020:11:11-00:00:49]  (Local) -> (LOCAL)[29]#005F55|#00D3BDLG#005F55|#FF8C002cb'tussy: no puedo
[2020:11:11-00:00:50]  (Global) -> #7F7F7F|CVR|#FF8C00Jimenez: Que paso buitre
[2020:11:11-00:00:52]  (Local) -> (LOCAL)[28]2cb'Fabius: ola
[2020:11:11-00:00:52]  (Local) -> (LOCAL)[28]Papitass*2Cb: jajaja
[2020:11:11-00:00:52]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:00:53]  (Local) -> (LOCAL)[2]Ivan17: gracias pelao
[2020:11:11-00:00:54]  (Local) -> (LOCAL)[29]2cb'Fabius: ola
[2020:11:11-00:00:54]  (Local) -> (LOCAL)[1]2cb|Skipper|: pa donde
[2020:11:11-00:00:56]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:00:56]  (Global) -> SANTANA: Admin
[2020:11:11-00:00:56]  (Global) -> 2cB*Buitre: KREATOR
[2020:11:11-00:00:58]  (Global) -> (Z)LOKILLO: tussi
[2020:11:11-00:00:59]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: Q
[2020:11:11-00:00:59]  (Global) -> 2cb|ZACK|: banco
[2020:11:11-00:01:02]  (Global) -> #7F7F7F|CVR|#FF8C00Jimenez: Dime santana
[2020:11:11-00:01:03]  (Local) -> (LOCAL)[29](Z)LOKILLO: em vana matar
[2020:11:11-00:01:04]  (Local) -> (LOCAL)[10]KawaiiConDulces: Bajate que los matas
[2020:11:11-00:01:05]  (Global) -> 2cB*Buitre: ME BUGIE ME MATE Y LA CAMARA SIGUE SUBIENDO
[2020:11:11-00:01:06]  (Local) -> (LOCAL)[29]Depende: u
[2020:11:11-00:01:06]  (Global) -> 2cb'gomelo: Dj panguanoo
[2020:11:11-00:01:09]  (Local) -> (LOCAL)[30]2cb*sumadre420: kiettooo
[2020:11:11-00:01:09]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:01:10]  (Local) -> (LOCAL)[30]2cb*sumadre420: nah
[2020:11:11-00:01:12]  (Local) -> (LOCAL)[31]#7F7F7F|CVR|#FF8C00FRANSINEVG|Orgalor: no c muevan ome
[2020:11:11-00:01:13]  (Local) -> (LOCAL)[31]|MZ|Gurui: HPTAS QUEDENSE QUIETOS EGH
[2020:11:11-00:01:15]  (Local) -> (LOCAL)[34]Papitass*2Cb: fisque fransimp evg
[2020:11:11-00:01:16]  (Local) -> (LOCAL)[33]#7F7F7F|CVR|#FF8C002cb|Catre: solo es que se suban
[2020:11:11-00:01:21]  (Local) -> (LOCAL)[32](Z)LOKILLO: quierooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
[2020:11:11-00:01:23]  (Global) -> 2cB*Buitre: KREATOR
[2020:11:11-00:01:23]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:01:25]  (Global) -> 2cB*Buitre: ME BUGIE ME MATE Y LA CAMARA SIGUE SUBIENDO
[2020:11:11-00:01:25]  (Local) -> (LOCAL)[28][2cb]JuanConG: ole ya vuelvo
[2020:11:11-00:01:26]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: SEÑOR
[2020:11:11-00:01:26]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:01:28]  (Local) -> (LOCAL)[34]Papitass*2Cb: hey pa estan pegando y quitan chalec
[2020:11:11-00:01:29]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
