This file was generated by Console at 2020:11:14-00:00:00



[2020:11:14-00:00:00]  (Local) -> (LOCAL)[1]2cb'ratix: xd
[2020:11:14-00:00:01]  (Local) -> (LOCAL)[1]HeadyOstrich75: amigo
[2020:11:14-00:00:04]  (Local) -> (LOCAL)[3]2cb'ratix: con g
[2020:11:14-00:00:05]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: QUIERO UN HANDLEO TAMBIEN, GRACIAS
[2020:11:14-00:00:07]  (Local) -> (LOCAL)[3]Radial[2cb]: XD
[2020:11:14-00:00:07]  (Local) -> (LOCAL)[3]2cb'ratix: a oc
[2020:11:14-00:00:07]  (Local) -> (LOCAL)[1][FEC][G]Daniels: OE PA
[2020:11:14-00:00:07]  (Global) -> |DJ|Pastelo:(: Nadie se acerca en un carro de policia así de fast 
[2020:11:14-00:00:09]  (Local) -> (LOCAL)[0]2cb~gomelo: llevame
[2020:11:14-00:00:09]  (Local) -> (LOCAL)[3]Radial[2cb]: aaa
[2020:11:14-00:00:10]  (Global) -> |DJ|Pastelo:(: Y sigue como si nada hp
[2020:11:14-00:00:11]  (Local) -> (LOCAL)[4]Radial[2cb]: ajajsjasjkjasjkas
[2020:11:14-00:00:16]  (Local) -> (LOCAL)[5]PATRON: oink
[2020:11:14-00:00:16]  (Local) -> (LOCAL)[1]Radial[2cb]: la costumbre pa
[2020:11:14-00:00:17]  (Local) -> (LOCAL)[1]HeadyOstrich75: Parce ¿que es eso aca?
[2020:11:14-00:00:23]  (Global) -> Tartarus: MONTE
[2020:11:14-00:00:25]  (Local) -> (LOCAL)[6][Zetas]MAJACA: oe
[2020:11:14-00:00:25]  (Local) -> (LOCAL)[1]2cb'ratix: aa
[2020:11:14-00:00:27]  (Local) -> (LOCAL)[1]2cb'ratix: este toro
[2020:11:14-00:00:27]  (Local) -> (LOCAL)[2]|DJ|Pastelo:(: sisa
[2020:11:14-00:00:29]  (Local) -> (LOCAL)[5]Tartarus: oe bb
[2020:11:14-00:00:29]  (Local) -> (LOCAL)[5][Zetas]MAJACA: captureme
[2020:11:14-00:00:29]  (Local) -> (LOCAL)[1][FEC][G]Daniels: LA BASE MILITAR
[2020:11:14-00:00:31]  (Local) -> (LOCAL)[5]Tartarus: ale
[2020:11:14-00:00:32]  (Local) -> (LOCAL)[2]|DJ|Pastelo:(: ahorita le paso el perfil de isntagram
[2020:11:14-00:00:33]  (Local) -> (LOCAL)[1]Radial[2cb]: derrapa resto sioq
[2020:11:14-00:00:34]  (Local) -> (LOCAL)[2]|DJ|Pastelo:(: pa que lo pida
[2020:11:14-00:00:34]  (Local) -> (LOCAL)[10]2cb'.: olas
[2020:11:14-00:00:34]  (Local) -> (LOCAL)[8]Tartarus: monte amor
[2020:11:14-00:00:38]  (Local) -> (LOCAL)[2]HeadyOstrich75: parce que chimba
[2020:11:14-00:00:38]  (Local) -> (LOCAL)[2]2cb'ratix: sizasa
[2020:11:14-00:00:39]  (Local) -> (LOCAL)[3]|DJ|Pastelo:(: el envio dentro de tabogo es gratis
[2020:11:14-00:00:43]  (Local) -> (LOCAL)[2]HeadyOstrich75: la buena nea
[2020:11:14-00:00:48]  (Local) -> (LOCAL)[6]PATRON: oink
[2020:11:14-00:00:49]  (Local) -> (LOCAL)[2]#7F7F7F|CVR||DJ|#FFFF00Catalina420: de q
[2020:11:14-00:00:49]  (Local) -> (LOCAL)[11]2cb'.: ola jabon bn o q
[2020:11:14-00:00:51]  (Local) -> (LOCAL)[2]#7F7F7F|CVR||DJ|#FFFF00Catalina420: de q cosa
[2020:11:14-00:00:53]  (Local) -> (LOCAL)[2]#7F7F7F|CVR||DJ|#FFFF00Catalina420: envio de q
[2020:11:14-00:00:54]  (Global) -> {S.A.S}CABO}PAULO: OE
[2020:11:14-00:00:55]  (Local) -> (LOCAL)[2]|DJ|Pastelo:(: pa comprar pc
[2020:11:14-00:00:58]  (Local) -> (LOCAL)[12]2cb'Jabon: sip
[2020:11:14-00:01:00]  (Local) -> (LOCAL)[2]#7F7F7F|CVR||DJ|#FFFF00Catalina420: ush
[2020:11:14-00:01:00]  (Local) -> (LOCAL)[15]2cb'.: ale
[2020:11:14-00:01:01]  (Local) -> (LOCAL)[1][FEC][G]Daniels: OE
[2020:11:14-00:01:03]  (Global) -> COSTELAND|2cBDrStrange: ONLYFANS/2cBCuleandoZetas
[2020:11:14-00:01:03]  (Local) -> (LOCAL)[15]2cb'.: bn
[2020:11:14-00:01:06]  (Local) -> (LOCAL)[2]#7F7F7F|CVR||DJ|#FFFF00Catalina420: mucha plata
[2020:11:14-00:01:06]  (Local) -> (LOCAL)[17]|COSTELAND|Briham|2cB|: tussy
[2020:11:14-00:01:10]  (Local) -> (LOCAL)[17]2cb'Jabon: pirobo
[2020:11:14-00:01:13]  (Local) -> (LOCAL)[17]2cb'.: ERMANO
