This file was generated by Console at 2020:11:15-00:00:00



[2020:11:15-00:00:00]  (Local) -> (LOCAL)[2]2cb'Corozo: jajaja
[2020:11:15-00:00:06]  (Global) -> [MZ]Gaster: n 0
[2020:11:15-00:00:12]  (Global) -> [MZ]Gaster: era una carrera
[2020:11:15-00:00:13]  (Local) -> (LOCAL)[2](LDS)bellaqueohpt: ap estoy arrestando mmmmmmmmmmmm
[2020:11:15-00:00:14]  (Global) -> [MZ]Gaster: nimodo
[2020:11:15-00:00:18]  (Local) -> (LOCAL)[5][EVG].DJ-NICO-PRESTIGE: kevin
[2020:11:15-00:00:22]  (Local) -> (LOCAL)[1]Retto: bueno, vamos al conce para que lo pongaen venta
[2020:11:15-00:00:28]  (Global) -> LIan: respete los rangos pirobo
[2020:11:15-00:00:29]  (Local) -> (LOCAL)[2][BGW]CARDING: ajjaja
[2020:11:15-00:00:31]  (Local) -> (LOCAL)[4]ElKevinnPai: dime
[2020:11:15-00:00:32]  (Global) -> [MZ]santi: pero me cai
[2020:11:15-00:00:34]  (Global) -> |DJ|Feid:(: Gente pidan temas
[2020:11:15-00:00:36]  (Global) -> [MZ]Gaster: xd
[2020:11:15-00:00:41]  (Local) -> (LOCAL)[5][EVG].DJ-NICO-PRESTIGE: tienes un sunrise a la venta ??
[2020:11:15-00:00:45]  (Local) -> (LOCAL)[4]2cb'gomelo: te amooooooooooo
[2020:11:15-00:00:47]  (Global) -> Chenchoenp: ponga medellin del kr todo bien
[2020:11:15-00:00:51]  (Global) -> [MZ]santi: el condor herido version nea
[2020:11:15-00:00:52]  (Local) -> (LOCAL)[4]2cb'Zaramay: Te amo mas UWU
[2020:11:15-00:00:52]  (Global) -> [MZ]Gaster: ponga usuario desconocido de buhodermia
[2020:11:15-00:00:52]  (Global) -> |DJ|Feid:(: bno
[2020:11:15-00:00:54]  (Local) -> (LOCAL)[5]ElKevinnPai: no bb pero cuanto ofreces un pana lo tiene
[2020:11:15-00:00:56]  (Global) -> [MZ]santi: esa
[2020:11:15-00:01:02]  (Local) -> (LOCAL)[4]2cb'Zaramay: tombo hpta
