This file was generated by Console at 2020:11:16-00:00:00



[2020:11:16-00:00:00]  (Local) -> (LOCAL)[1][Z]Maicke: xde
[2020:11:16-00:00:03]  (Local) -> (LOCAL)[3][Zetas]'Londo: nd relajao
[2020:11:16-00:00:03]  (Local) -> (LOCAL)[2]Z~|Loli|~: tuneasela xd
[2020:11:16-00:00:04]  (Local) -> (LOCAL)[2]Diaz: jajajajaj
[2020:11:16-00:00:04]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: a
[2020:11:16-00:00:05]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: matame
[2020:11:16-00:00:06]  (Local) -> (LOCAL)[2]Z~|Loli|~: ah la quito
[2020:11:16-00:00:08]  (Local) -> (LOCAL)[2]Z-IceWipe: pa que le dijo
[2020:11:16-00:00:10]  (Local) -> (LOCAL)[5]Z-IceWipe: jajaj
[2020:11:16-00:00:13]  (Local) -> (LOCAL)[1]PATRON: hp
[2020:11:16-00:00:13]  (Local) -> (LOCAL)[3]Z~|Loli|~: na
[2020:11:16-00:00:14]  (Local) -> (LOCAL)[1]Diaz: Y este ping q
[2020:11:16-00:00:15]  (Global) -> {c.o.p.e.s}PAULO: melleba
[2020:11:16-00:00:16]  (Local) -> (LOCAL)[3]Z~|Loli|~: no sabia
[2020:11:16-00:00:17]  (Global) -> WOS: oe
[2020:11:16-00:00:17]  (Local) -> (LOCAL)[2]Diaz: xddddddddddddddddddddddddd
[2020:11:16-00:00:18]  (Local) -> (LOCAL)[2]|CAPU|Milplones666: nao
[2020:11:16-00:00:19]  (Local) -> (LOCAL)[4]Z~|Loli|~: que llegarias
[2020:11:16-00:00:23]  (Local) -> (LOCAL)[1]Akua: voy entrando a esa cuenta, vale?
[2020:11:16-00:00:25]  (Local) -> (LOCAL)[2]WOS: vamos por un man
[2020:11:16-00:00:25]  (Local) -> (LOCAL)[2]zaresDJ: oe
[2020:11:16-00:00:26]  (Local) -> (LOCAL)[9][NAZI]C4rtex: hp
[2020:11:16-00:00:29]  (Local) -> (LOCAL)[1]Akua: esperame aquí
[2020:11:16-00:00:31]  (Local) -> (LOCAL)[7]Z-IceWipe: ey
[2020:11:16-00:00:32]  (Global) -> WOS: tiene 6 estrellas
[2020:11:16-00:00:35]  (Local) -> (LOCAL)[5]Z-IceWipe: busca en el tab
[2020:11:16-00:00:35]  (Local) -> (LOCAL)[1]Akua: yo te aviso para q me des tp:3
[2020:11:16-00:00:38]  (Local) -> (LOCAL)[2]LDS-JuanPablo: subaseee
[2020:11:16-00:00:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00ReizerB: pero si yo entro en la suya
