This file was generated by Console at 2020:11:21-00:00:00



[2020:11:21-00:00:00]  (Global) -> 2cbScrimboy: briham
[2020:11:21-00:00:01]  (Local) -> (LOCAL)[6]LDSpablitogaviria: en f 2
[2020:11:21-00:00:02]  (Global) -> 2cbScrimboy: donde estas
[2020:11:21-00:00:03]  (Local) -> (LOCAL)[4]2cb'Python: uy ojo jaja+
[2020:11:21-00:00:04]  (Global) -> 2cB~>Walter: hay alguien en la radio?
[2020:11:21-00:00:06]  (Local) -> (LOCAL)[6]LDS-bellaqueohpt: pablo ya cuanto somos en la gang?????????
[2020:11:21-00:00:09]  (Global) -> #7F7F7F|CVR|#FF0000FUMARATTO: no
[2020:11:21-00:00:11]  (Global) -> #7F7F7F|CVR|#FF0000FUMARATTO: usela
[2020:11:21-00:00:11]  (Global) -> |COSTELAND|Briham|2cB|: afuera del banco
[2020:11:21-00:00:11]  (Local) -> (LOCAL)[1][FEC][G]Daniels: TENIA UNA MALA CONFIGURACION PA JAJAJA
[2020:11:21-00:00:15]  (Global) -> #7F7F7F|CVR|#FF0000Megu: Julianmo69 trata de cambiar la resolucion del juego
[2020:11:21-00:00:15]  (Local) -> (LOCAL)[6]LDSpablitogaviria: vete a my invites
[2020:11:21-00:00:16]  (Global) -> 2cB~>Walter: breve
[2020:11:21-00:00:16]  (Local) -> (LOCAL)[6]LDS-JuanPablo: ponla en 1440 x32 x 900
[2020:11:21-00:00:17]  (Local) -> (LOCAL)[1]|Z|~IceWipe: que tenia?
[2020:11:21-00:00:19]  (Local) -> (LOCAL)[6]LDS-JuanPablo: 15bellaqueo
[2020:11:21-00:00:21]  (Global) -> #7F7F7F|CVR|#FF0000Megu: para que te aparezca la invitacion de la gang
[2020:11:21-00:00:30]  (Local) -> (LOCAL)[6]LDSpablitogaviria: peor juanpi
[2020:11:21-00:00:33]  (Local) -> (LOCAL)[6]LDS-JuanPablo: que fue
[2020:11:21-00:00:34]  (Local) -> (LOCAL)[1]LocaHP: coloca cantidad
[2020:11:21-00:00:35]  (Global) -> LDS-bellaqueohpt: ufff
[2020:11:21-00:00:37]  (Local) -> (LOCAL)[5]LDSpablitogaviria: tiene que reinciar
[2020:11:21-00:00:37]  (Local) -> (LOCAL)[1]LocaHP: y le da deposit
[2020:11:21-00:00:39]  (Local) -> (LOCAL)[5]LDS-JuanPablo: sisa
[2020:11:21-00:00:42]  (Local) -> (LOCAL)[0][FEC][G]Daniels: LA CARGA DEL STREEN ESTABA A LA MITAD
[2020:11:21-00:00:46]  (Global) -> #7F7F7F|CVR|#FF0000Megu: Satania Holam mim bimda
[2020:11:21-00:00:48]  (Local) -> (LOCAL)[1]LocaHP: y para sacar plata coloca cantidad y withdraw
[2020:11:21-00:00:49]  (Local) -> (LOCAL)[5]LDSpablitogaviria: legalmente somos 15
[2020:11:21-00:00:50]  (Local) -> (LOCAL)[0]|Z|~IceWipe: jumm
[2020:11:21-00:00:53]  (Local) -> (LOCAL)[6]LDS-JuanPablo: julian ponte /nick LDS-Julianmo69
[2020:11:21-00:00:55]  (Local) -> (LOCAL)[0]Cheverry: es bocato?
[2020:11:21-00:00:58]  (Local) -> (LOCAL)[0]-_[Santiago]_-: ok
[2020:11:21-00:01:00]  (Local) -> (LOCAL)[8]LDSpablitogaviria: pero tengo 3 polllos en la mira
[2020:11:21-00:01:05]  (Global) -> 2cbScrimboy: ey frnacine ???
[2020:11:21-00:01:10]  (Local) -> (LOCAL)[7]LDS-JuanPablo: breve
[2020:11:21-00:01:10]  (Local) -> (LOCAL)[0]|Z|~IceWipe: adelantame esos 15 palos, luego compras el hustler en 3palos
[2020:11:21-00:01:12]  (Global) -> #7F7F7F|CVR|#FF5C00Francine98: dime
[2020:11:21-00:01:16]  (Local) -> (LOCAL)[2]MontesSicario: los dos solos
[2020:11:21-00:01:16]  (Local) -> (LOCAL)[1][FEC][G]Daniels: PERO APENAS ESTA RECUPERANDO
[2020:11:21-00:01:20]  (Local) -> (LOCAL)[1]|Z|~IceWipe: de panitas
[2020:11:21-00:01:21]  (Team - Criminals) -> (TEAM)LDSpablitogaviria: ey mk yo creo que este man esta muy novato
[2020:11:21-00:01:23]  (Global) -> 2cbScrimboy: q pasa cwse anuncion q me sale
[2020:11:21-00:01:26]  (Global) -> [GDM]vayagif: hola
[2020:11:21-00:01:27]  (Local) -> (LOCAL)[8]LDS-changua21: socio 6 extrellas
[2020:11:21-00:01:29]  (Local) -> (LOCAL)[1][Z]Bocato: hola
