This file was generated by Console at 2020:11:27-00:00:00



[2020:11:27-00:00:00]  (Global) -> 2cb'ViejoRichard: si
[2020:11:27-00:00:01]  (Local) -> (LOCAL)[2]MZ-changua21: hay
[2020:11:27-00:00:03]  (Local) -> (LOCAL)[4]{2cb}francovillar: oe como
[2020:11:27-00:00:06]  (Global) -> |DJ||Cacorrin|PERCY: ALE TE AMOOOOOOOOOOOOOO
[2020:11:27-00:00:06]  (Global) -> #7F7F7F|CVR|#0064FF_SEMDS_: grasias
[2020:11:27-00:00:07]  (Local) -> (LOCAL)[1]2cb'sumadre420: le ponemos motor
[2020:11:27-00:00:08]  (Local) -> (LOCAL)[2]CAMILO: noo
[2020:11:27-00:00:09]  (Global) -> Vibra_Alegre_Games: HOLAAA A TODOS 
[2020:11:27-00:00:09]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): jajajaja
[2020:11:27-00:00:10]  (Local) -> (LOCAL)[1]2cb'sumadre420: haber como anda o q
[2020:11:27-00:00:10]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): vea eso
[2020:11:27-00:00:11]  (Global) -> 2cb'ViejoRichard: fino
[2020:11:27-00:00:12]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): que malo
[2020:11:27-00:00:13]  (Global) -> #7F7F7F|CVR|#FF0000XhnGuaracha: calalte percy
[2020:11:27-00:00:13]  (Local) -> (LOCAL)[5][Z]DanielFly: su mama
[2020:11:27-00:00:14]  ([Msg] de 2cb'tussy para {2cb}francovillar: no debe saberlo,) -> nil
[2020:11:27-00:00:15]  (Local) -> (LOCAL)[2]CAMILO: solo salte del heli
[2020:11:27-00:00:16]  (Local) -> (LOCAL)[1]2cb'sumadre420: si?
[2020:11:27-00:00:17]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: pues dicen que se tira el handelo
[2020:11:27-00:00:18]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FF_SEMDS_: hola
[2020:11:27-00:00:21]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: handleo
[2020:11:27-00:00:21]  (Local) -> (LOCAL)[5]Tartarus: en menos de 10 segundos me lo culeo
[2020:11:27-00:00:22]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Megu: ok
[2020:11:27-00:00:22]  (Local) -> (LOCAL)[1]2cb'sumadre420: q handleo
[2020:11:27-00:00:22]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FF_SEMDS_: me dejas mi lvl3
[2020:11:27-00:00:24]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: pero na creo
[2020:11:27-00:00:25]  (Local) -> (LOCAL)[2]CAMILO: saque el carro para no morir
[2020:11:27-00:00:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FF_SEMDS_: prometo comportarme
[2020:11:27-00:00:27]  (Local) -> (LOCAL)[1]2cb'sumadre420: yo lo siento normal
[2020:11:27-00:00:28]  (Global) -> Vibra_Alegre_Games: ALGUIEN PARA HACER ALGO ?
