This file was generated by Console at 2020:12:08-00:00:02



[2020:12:08-00:00:02]  (Global) -> 2cbfrancovillar: bamos
[2020:12:08-00:00:08]  (Local) -> (LOCAL)[5][2CB]KEVIN: tengo mari
[2020:12:08-00:00:16]  (Global) -> #7F7F7F|CVR|#FF5C00|!Megu: va prender velitas reizer?
[2020:12:08-00:00:16]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00ReizerB: pero no es la de F6
[2020:12:08-00:00:21]  (Global) -> |Z|BAZUCO[LP]: #401520 Salen_Luu en twitch
[2020:12:08-00:00:21]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00ReizerB: es la de F7
[2020:12:08-00:00:37]  (Local) -> (LOCAL)[4][2CB]KEVIN: esa donde la consigo
[2020:12:08-00:00:48]  (Global) -> [Z]stivenv28|LP: o
[2020:12:08-00:00:50]  (Local) -> (LOCAL)[4][Z]stivenv28|LP: quieto
[2020:12:08-00:00:55]  (Local) -> (LOCAL)[4]Dduquejh: claro
[2020:12:08-00:00:55]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00ReizerB: comprando o en el MC cuando lo abran
[2020:12:08-00:00:57]  (Local) -> (LOCAL)[4][Z]stivenv28|LP: rquiza
[2020:12:08-00:01:12]  (Global) -> 2cB"elTrakegunz_|DDF|: SALEN LUU EN DIRECTO
[2020:12:08-00:01:14]  (Local) -> (LOCAL)[3]2cbfrancovillar: ya
[2020:12:08-00:01:17]  (Local) -> (LOCAL)[4]Dduquejh: de una
[2020:12:08-00:01:19]  (Local) -> (LOCAL)[1]Diaz: no metieron skin de navidad :(
[2020:12:08-00:01:20]  (Local) -> (LOCAL)[3]|DJ|CAPU|DoctorUribe: vallu
[2020:12:08-00:01:24]  (Local) -> (LOCAL)[4][Z]stivenv28|LP: tiene droga
[2020:12:08-00:01:27]  (Local) -> (LOCAL)[3]|DJ|[Z]_VALLUCRISTO_: Esperate ya
[2020:12:08-00:01:28]  (Local) -> (LOCAL)[3]Dr.biscocho: como te quito estas esposas futuristas
[2020:12:08-00:01:29]  (Local) -> (LOCAL)[5][2CB]KEVIN: como puedo trabjar para hacer bastante dinero
[2020:12:08-00:01:31]  (Local) -> (LOCAL)[3]|DJ|CAPU|DoctorUribe: ale
[2020:12:08-00:01:32]  (Local) -> (LOCAL)[4]Dduquejh: nada
[2020:12:08-00:01:39]  (Local) -> (LOCAL)[5][2CB]KEVIN: porque piloto ya no sirve
[2020:12:08-00:01:41]  (Local) -> (LOCAL)[4][Z]stivenv28|LP: ish
[2020:12:08-00:01:44]  (Local) -> (LOCAL)[4]2cb|Woch: requisen el camion
[2020:12:08-00:01:47]  (Team - Unemployed) -> (TEAM)2cbfrancovillar: espere 
[2020:12:08-00:01:49]  (Local) -> (LOCAL)[4]Dduquejh: de una
[2020:12:08-00:01:50]  (Local) -> (LOCAL)[4][Z]stivenv28|LP: plata o carcel
[2020:12:08-00:01:53]  (Local) -> (LOCAL)[4]Dduquejh: se los abro
[2020:12:08-00:01:56]  (Local) -> (LOCAL)[5]2cbLocaHp: xd
[2020:12:08-00:01:59]  (Local) -> (LOCAL)[4]2cb|Woch: hagale
[2020:12:08-00:02:01]  (Local) -> (LOCAL)[4]Dduquejh: si miran ando ando con 0
[2020:12:08-00:02:02]  (Global) -> [Z]stivenv28|LP: #288228 Salen_Luu en twitch
[2020:12:08-00:02:11]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: uy kieto jajaj
[2020:12:08-00:02:12]  (Global) -> Salomierda: CÁSEMONOS MÁS TARDE TR4K36
[2020:12:08-00:02:13]  (Local) -> (LOCAL)[1]Dr.biscocho: lo dejo en alguna parte?
[2020:12:08-00:02:13]  (Local) -> (LOCAL)[5]2cbLocaHp: como q piloto ya no sirve
[2020:12:08-00:02:26]  (Local) -> (LOCAL)[1]2cbfrancovillar: ospital
[2020:12:08-00:02:26]  (Global) -> [2CB]KEVIN: ya no pagan coo antes
[2020:12:08-00:02:27]  (Global) -> 2cB"elTrakegunz_|DDF|: OK
[2020:12:08-00:02:29]  (Local) -> (LOCAL)[4][Z]stivenv28|LP: curese
[2020:12:08-00:02:38]  (Local) -> (LOCAL)[4]2cb|Woch: no tiene nada
[2020:12:08-00:02:39]  (Local) -> (LOCAL)[1]Dr.biscocho: fue un placer ayudarnos mutuamente
[2020:12:08-00:02:40]  (Local) -> (LOCAL)[4]2cb|Woch: si ga
[2020:12:08-00:02:42]  (Global) -> [2CB]KEVIN: letoca auno esperar 4 minutos despues de cada vuelo
[2020:12:08-00:02:43]  (Local) -> (LOCAL)[4]Dduquejh: gracias
