This file was generated by Console at 2020:12:09-00:00:01



[2020:12:09-00:00:01]  (Global) -> _Juan_: jaaaaaaaaaaaaaaaaaaa
[2020:12:09-00:00:02]  (Local) -> (LOCAL)[2]LocaHp|2cb|: oe
[2020:12:09-00:00:03]  (Local) -> (LOCAL)[2]Bocato: xao
[2020:12:09-00:00:04]  (Local) -> (LOCAL)[5]2cb'Jolyne: vamos
[2020:12:09-00:00:04]  (Local) -> (LOCAL)[2]CAPU~Orion|LR: nea?
[2020:12:09-00:00:08]  (Local) -> (LOCAL)[2]LocaHp|2cb|: cartes
[2020:12:09-00:00:12]  (Local) -> (LOCAL)[2]C4rtex: qn
[2020:12:09-00:00:12]  (Local) -> (LOCAL)[1]|Z|BAZUCO[LP]: nose
[2020:12:09-00:00:13]  (Local) -> (LOCAL)[2]LocaHp|2cb|: haceme un favor porfa
[2020:12:09-00:00:15]  (Global) -> _jimenez: vamoss
[2020:12:09-00:00:15]  (Local) -> (LOCAL)[1]|Z|BAZUCO[LP]: que hay pa hacer
[2020:12:09-00:00:17]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: vamonos
[2020:12:09-00:00:17]  (Local) -> (LOCAL)[2]C4rtex: bno
[2020:12:09-00:00:17]  (Local) -> (LOCAL)[1]Z_M4Ta: no ps asi cualquiera pa
[2020:12:09-00:00:17]  (Local) -> (LOCAL)[2]LocaHp|2cb|: dejame bugear
[2020:12:09-00:00:19]  (Local) -> (LOCAL)[1]Z_M4Ta: jjjjjja
[2020:12:09-00:00:19]  (Local) -> (LOCAL)[2]LocaHp|2cb|: la zorra
[2020:12:09-00:00:20]  (Local) -> (LOCAL)[2]C4rtex: ale
[2020:12:09-00:00:21]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: ahi vemos
[2020:12:09-00:00:23]  (Local) -> (LOCAL)[1]2cB"elTrakegunz_|DDF|: uf
[2020:12:09-00:00:28]  (Local) -> (LOCAL)[1]2cB"elTrakegunz_|DDF|: mero viaje
[2020:12:09-00:00:29]  (Local) -> (LOCAL)[2]LocaHp|2cb|: desaparezcala
[2020:12:09-00:00:30]  (Global) -> _jimenez: bryan{}
[2020:12:09-00:00:30]  (Local) -> (LOCAL)[2]Bocato: pa donde?
[2020:12:09-00:00:30]  (Local) -> (LOCAL)[6]_Juan_: jjjjjjjjjjjjjjjjjjjjjja
[2020:12:09-00:00:35]  (Global) -> BryanConnor: diga
[2020:12:09-00:00:38]  (Global) -> _jimenez: montate
