This file was generated by Console at 2020:12:15-00:00:01



[2020:12:15-00:00:01]  (Local) -> (LOCAL)[5]|EVG|Soltec: ola
[2020:12:15-00:00:02]  (Local) -> (LOCAL)[3]LocaHp: buena
[2020:12:15-00:00:02]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: no se
[2020:12:15-00:00:04]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF8C00Orgalor: no se lo cambiamos ya
[2020:12:15-00:00:05]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00Jimenez: ola amigo soltec
[2020:12:15-00:00:06]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF00002cb'tussy: q
[2020:12:15-00:00:08]  (Local) -> (LOCAL)[3]2cb'SapoHP: cuandon tengan chaleco no cure
[2020:12:15-00:00:08]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: pero no lo veo como imitando el de staff
[2020:12:15-00:00:11]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: ajaa
[2020:12:15-00:00:15]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF8C00Orgalor: nah
[2020:12:15-00:00:16]  (Local) -> (LOCAL)[2]2cb'SapoHP: por que les baja el chaleco
[2020:12:15-00:00:16]  (Local) -> (LOCAL)[3]2cb'Petito: nose que paso hay XD
[2020:12:15-00:00:18]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF8C00Orgalor: se lo cambiamos
[2020:12:15-00:00:19]  (Global) -> |AK|PANCHO: OK
[2020:12:15-00:00:20]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF8C00Orgalor: si o q
[2020:12:15-00:00:22]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: yotampoco
[2020:12:15-00:00:22]  (Local) -> (LOCAL)[2]2cb'SapoHP: porque*
[2020:12:15-00:00:23]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: oe
[2020:12:15-00:00:23]  (Local) -> (LOCAL)[4]|EVG|Soltec: bien o q amigo jimenez
[2020:12:15-00:00:23]  (Local) -> (LOCAL)[2]|AK|PANCHO: PERDOND
[2020:12:15-00:00:26]  (Local) -> (LOCAL)[2]2cb'SapoHP: va
[2020:12:15-00:00:27]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: estamos comprando vips diamante a 8k
[2020:12:15-00:00:28]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: aproveche
[2020:12:15-00:00:29]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF8C00Orgalor: ola jimenes
[2020:12:15-00:00:32]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00Jimenez: ola
[2020:12:15-00:00:34]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF8C00Orgalor: señorita guaracha
[2020:12:15-00:00:37]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF8C00Orgalor: como estan
[2020:12:15-00:00:39]  (Local) -> (LOCAL)[2]2cb'Petito: no tengo platuka
[2020:12:15-00:00:42]  (Local) -> (LOCAL)[7][perico]: apre
[2020:12:15-00:00:44]  (Global) -> 2cb'pinina: guarachero miamor donde stas
[2020:12:15-00:00:46]  (Local) -> (LOCAL)[9][perico]: pare
[2020:12:15-00:00:47]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: entendible
[2020:12:15-00:00:52]  (Local) -> (LOCAL)[9]Jotapopo: ke?
[2020:12:15-00:00:55]  (Global) -> LocaHp: un worker disparando .-.
[2020:12:15-00:00:57]  (Global) -> LocaHp: simplemente
[2020:12:15-00:01:01]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF8C00Orgalor: peren
[2020:12:15-00:01:02]  (Global) -> #7F7F7F|CVR|#FF5C00CrudoMeansRaw: Quien
[2020:12:15-00:01:07]  (Local) -> (LOCAL)[1]Ragnarok: hey
[2020:12:15-00:01:11]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: a
[2020:12:15-00:01:18]  (Global) -> LocaHp: no c un pirobinho me solto un francaso
[2020:12:15-00:01:18]  (Local) -> (LOCAL)[1]NestorGaviria: buenas tardes patron
[2020:12:15-00:01:20]  (Global) -> LocaHp: y era worker
[2020:12:15-00:01:22]  (Local) -> (LOCAL)[9]Jotapopo: que paso?
[2020:12:15-00:01:23]  (Local) -> (LOCAL)[2]Ragnarok: me recluta a su gang? c:
[2020:12:15-00:01:27]  (Local) -> (LOCAL)[1]NestorGaviria: me deciende del vehiculo por favor
[2020:12:15-00:01:28]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00Jimenez: vamos a moderar un rato a ver
[2020:12:15-00:01:28]  (Local) -> (LOCAL)[9]2cb'Razzork: no patron yo vengo de trabajar
[2020:12:15-00:01:29]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: pero ud es bgw
[2020:12:15-00:01:32]  (Local) -> (LOCAL)[2]DIOMEDES: no lo esucho bien
[2020:12:15-00:01:33]  (Global) -> 2cb'SapoHP:  sisas
[2020:12:15-00:01:35]  (Global) -> LocaHp: ah
[2020:12:15-00:01:38]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: ey porq
[2020:12:15-00:01:39]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00Jimenez: lag
[2020:12:15-00:01:41]  (Global) -> LocaHp: Mz-Kedrose
[2020:12:15-00:01:41]  (Global) -> 2cb'SapoHP:  es un taxista
[2020:12:15-00:01:42]  (Local) -> (LOCAL)[1]Ragnarok: ya no
[2020:12:15-00:01:42]  (Global) -> LocaHp: ese
[2020:12:15-00:01:43]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: no me sale ese man en el panel
[2020:12:15-00:01:43]  (Local) -> (LOCAL)[2]NestorGaviria: no estoy hablando solo escribo
[2020:12:15-00:01:44]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF00002cb'tussy: suba q voi a salvar a un parce
[2020:12:15-00:01:44]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: oe
[2020:12:15-00:01:46]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: locahp
[2020:12:15-00:01:47]  (Local) -> (LOCAL)[9]2cb'Razzork: soy vendedor de frutas
[2020:12:15-00:01:48]  (Local) -> (LOCAL)[5]|EVG|Soltec: ui zonas 30 fps
