This file was generated by Console at 2020:12:16-00:00:03



[2020:12:16-00:00:03]  (Local) -> (LOCAL)[1]2cb'ratix: oe
[2020:12:16-00:00:04]  (Local) -> (LOCAL)[5]2cbcapojuan: me falta 300 k pa mi moto
[2020:12:16-00:00:05]  (Local) -> (LOCAL)[1]2cb'ratix: pa
[2020:12:16-00:00:10]  (Local) -> (LOCAL)[1](EVG)GustavoPetro: OE
[2020:12:16-00:00:11]  (Local) -> (LOCAL)[1]2cb'ratix: ud tiene vip ?
[2020:12:16-00:00:13]  (Global) -> [2cB]~Briham~[CTL]: (ง︡'-'︠)ง
[2020:12:16-00:00:13]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: ya quisiera tener los 300k
[2020:12:16-00:00:15]  (Local) -> (LOCAL)[4](BGW)CHOCORRAMOCAMILOP: no
[2020:12:16-00:00:15]  (Local) -> (LOCAL)[1](EVG)GustavoPetro: NADA
[2020:12:16-00:00:16]  (Local) -> (LOCAL)[7]NeutroPimp2cb: ñerd
[2020:12:16-00:00:16]  (Local) -> (LOCAL)[1]2cb'pinina: ?
[2020:12:16-00:00:17]  (Local) -> (LOCAL)[1]2cB"Trakegunz: yo voy soplao pa abajo y me estampo contra la barda
[2020:12:16-00:00:18]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: gaste todo en carros
[2020:12:16-00:00:18]  (Local) -> (LOCAL)[4](BGW)CHOCORRAMOCAMILOP: solo con un camion
[2020:12:16-00:00:18]  (Local) -> (LOCAL)[1]2cb'ratix: bre
[2020:12:16-00:00:19]  (Local) -> (LOCAL)[7]2cbcapojuan: jaja
[2020:12:16-00:00:20]  (Local) -> (LOCAL)[6]2cb|BarrySeal: patron prosedamos a movernos de aqui hay que manejar bajo perfil
[2020:12:16-00:00:22]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: no tengo ni mil en el banco
[2020:12:16-00:00:23]  (Local) -> (LOCAL)[1]2cB"Trakegunz: de alli
[2020:12:16-00:00:25]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: solo estos 17k jajajaja
[2020:12:16-00:00:26]  (Global) -> Bocat0: ey copion vos qw
[2020:12:16-00:00:32]  (Local) -> (LOCAL)[2]2cb'pinina: cual?
[2020:12:16-00:00:34]  (Local) -> (LOCAL)[2]2cB"Trakegunz: entonces ud va y me recoge
[2020:12:16-00:00:35]  (Global) -> Bocato: sapa hagase
[2020:12:16-00:00:36]  (Local) -> (LOCAL)[7]2cbcapojuan: oe co vendo micarro
[2020:12:16-00:00:43]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: en la tienda de usados
[2020:12:16-00:00:48]  (Local) -> (LOCAL)[6]NeutroPimp2cb: trebol
[2020:12:16-00:00:50]  (Local) -> (LOCAL)[1]2cB"Trakegunz: pum aqui
[2020:12:16-00:00:50]  (Local) -> (LOCAL)[6]robertoesco0bar: SI TOCARA
[2020:12:16-00:00:51]  (Local) -> (LOCAL)[6][CAPU]Mohamed: cuanto?
[2020:12:16-00:00:51]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: o en el cel le da sell
[2020:12:16-00:00:54]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: y le dan el 50%
[2020:12:16-00:00:54]  (Local) -> (LOCAL)[6]TREBOOL: que
[2020:12:16-00:00:55]  (Local) -> (LOCAL)[4]AK|Fear: hagale
[2020:12:16-00:00:55]  (Local) -> (LOCAL)[6]NeutroPimp2cb: le vendo carro del nacional
[2020:12:16-00:00:57]  (Local) -> (LOCAL)[1]2cb'pinina: sizas
[2020:12:16-00:00:57]  (Global) -> Bocat0: hp
[2020:12:16-00:00:58]  (Local) -> (LOCAL)[2]CAPU~!Algarete: hey pa
[2020:12:16-00:01:02]  (Local) -> (LOCAL)[2]Bocato: a
[2020:12:16-00:01:03]  (Local) -> (LOCAL)[1]CAPU~!Algarete: ud no es z
[2020:12:16-00:01:04]  (Local) -> (LOCAL)[1]2cB"Trakegunz: hagase en la ambulancia pues
[2020:12:16-00:01:05]  (Local) -> (LOCAL)[1]CAPU~!Algarete: ?
[2020:12:16-00:01:05]  (Local) -> (LOCAL)[5]2cb'ratix: a
[2020:12:16-00:01:06]  (Local) -> (LOCAL)[6]TREBOOL: cual
[2020:12:16-00:01:07]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Lopez: hola espera q voy a hacer alhgo xddd
[2020:12:16-00:01:07]  (Local) -> (LOCAL)[5]2cb'ratix: mucho tombo
[2020:12:16-00:01:09]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Lopez: ya vengo
[2020:12:16-00:01:09]  (Local) -> (LOCAL)[1]Bocato: sisas
[2020:12:16-00:01:11]  (Local) -> (LOCAL)[6]2cb|BarrySeal: vamos al aeropuerto
[2020:12:16-00:01:13]  (Local) -> (LOCAL)[5]2cb'ratix: que miedo
[2020:12:16-00:01:16]  (Local) -> (LOCAL)[6]2cbcapojuan: esta tueneado con turbo y tdo
[2020:12:16-00:01:18]  (Local) -> (LOCAL)[1]2cb'pinina: y cuándo se estampe q
[2020:12:16-00:01:19]  (Local) -> (LOCAL)[6]robertoesco0bar: ES HAORITA
[2020:12:16-00:01:19]  (Local) -> (LOCAL)[3]2cb'ratix: hola papi briham
[2020:12:16-00:01:19]  (Local) -> (LOCAL)[1]CAPU~!Algarete: entonces pq me va a encanar
[2020:12:16-00:01:20]  (Local) -> (LOCAL)[6]2cb|BarrySeal: y nos vamos en jeet
[2020:12:16-00:01:23]  (Local) -> (LOCAL)[3]2cb'ratix: na que tombo patoo ese
[2020:12:16-00:01:24]  (Local) -> (LOCAL)[6]NeutroPimp2cb: vendo
[2020:12:16-00:01:24]  (Local) -> (LOCAL)[1]2cb'pinina: bajo en la amblancia?
