This file was generated by Console at 2020:12:18-00:00:04



[2020:12:18-00:00:04]  (Local) -> (LOCAL)[11]COMANDANTEEE: bn
[2020:12:18-00:00:06]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: yo ahora le echo
[2020:12:18-00:00:10]  (Local) -> (LOCAL)[3][Z]ElPropioVegediondo: oe
[2020:12:18-00:00:10]  (Global) -> OZM4ST3R: Que decis vos flesh
[2020:12:18-00:00:11]  ([Msg] de Sargento para [Perico]: Ei es la carcel de ls o la casa q queda arriba de banco?) -> nil
[2020:12:18-00:00:13]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFe: a
[2020:12:18-00:00:14]  (Local) -> (LOCAL)[4][Z]ElPropioVegediondo: ayudeme
[2020:12:18-00:00:15]  (Local) -> (LOCAL)[3]CAPU'Julian_SkiGg: xd
[2020:12:18-00:00:18]  (Local) -> (LOCAL)[11]COMANDANTEEE: no pero ya le eche
[2020:12:18-00:00:18]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFe: como hace
[2020:12:18-00:00:19]  (Global) -> ChupaCucas: añañao
[2020:12:18-00:00:20]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFe: eso
[2020:12:18-00:00:20]  (Local) -> (LOCAL)[3]2cb'LILPUSSY: yyyyyyyyyy el parcero evitando arrestros
[2020:12:18-00:00:22]  (Global) -> KEDROSE: maneje hasta el otro lado la otr aciudad
[2020:12:18-00:00:22]  (Local) -> (LOCAL)[4]NombresAsiKick_a: qcosa
[2020:12:18-00:00:23]  (Local) -> (LOCAL)[3]CAPU'Julian_SkiGg: ajajajajaja
[2020:12:18-00:00:23]  (Local) -> (LOCAL)[4]NombresAsiKick_a: >:)
[2020:12:18-00:00:23]  (Local) -> (LOCAL)[3][Z]ElPropioVegediondo: ayudeme
[2020:12:18-00:00:26]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFe: le pega con enter?
[2020:12:18-00:00:27]  (Local) -> (LOCAL)[3][Z]ElPropioVegediondo: estoy bug
[2020:12:18-00:00:27]  ([Msg] de Sargento para [Perico]: Ei es la carcel de ls o la casa q queda arriba de banco?) -> nil
[2020:12:18-00:00:29]  (Local) -> (LOCAL)[4]XqCL: bolivianos be like: lmao
[2020:12:18-00:00:30]  (Local) -> (LOCAL)[3]CAPU'Julian_SkiGg: vegediondo
[2020:12:18-00:00:31]  (Global) -> OZM4ST3R: ve
[2020:12:18-00:00:32]  (Local) -> (LOCAL)[1]2cb'Jolyne: dime
