This file was generated by Console at 2020:12:22-00:00:02



[2020:12:22-00:00:02]  (Global) -> |MZ|Omar: JOKEEEEEEERRRRRRRR
[2020:12:22-00:00:03]  (Local) -> (LOCAL)[3][MZ]JuanDa: oe
[2020:12:22-00:00:09]  (Local) -> (LOCAL)[3]ISMAELITO: dime
[2020:12:22-00:00:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: prueba si tenes nitro
[2020:12:22-00:00:14]  (Local) -> (LOCAL)[5]Elpuerta47: Juan Puerta
[2020:12:22-00:00:14]  (Global) -> Joker.: eoooooooooooooooo
[2020:12:22-00:00:15]  (Local) -> (LOCAL)[2]GohanStark!~: xd
[2020:12:22-00:00:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: XD
[2020:12:22-00:00:17]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Jimenez: xD
[2020:12:22-00:00:18]  (Global) -> [MZ]cagaleto: A
[2020:12:22-00:00:19]  (Global) -> Villa: jajajaja
[2020:12:22-00:00:21]  (Local) -> (LOCAL)[3][MZ]JuanDa: 30 mil no
[2020:12:22-00:00:24]  (Local) -> (LOCAL)[5]2cb'~#[F]abius^MP5: hppp
[2020:12:22-00:00:25]  (Global) -> |MZ|Omar: aja la toyota a cuanto joker?
[2020:12:22-00:00:25]  (Local) -> (LOCAL)[3]ISMAELITO: si bro
[2020:12:22-00:00:26]  (Local) -> (LOCAL)[3][MZ]JuanDa: ??
[2020:12:22-00:00:27]  (Local) -> (LOCAL)[2]2cb'~#[F]abius^MP5: no tengo plata
[2020:12:22-00:00:27]  (Local) -> (LOCAL)[2]Juan: jjjjjjj
[2020:12:22-00:00:29]  (Local) -> (LOCAL)[1]Juan: :C
[2020:12:22-00:00:32]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Jimenez: Trabajar como criminal e ir a la casa etc aunque es poco complicado
[2020:12:22-00:00:34]  (Global) -> 2cb'Jolyne: great man
[2020:12:22-00:00:34]  (Local) -> (LOCAL)[2]GohanStark!~: solo jugas al cvr?
[2020:12:22-00:00:37]  (Local) -> (LOCAL)[5]Elpuerta47: melo
[2020:12:22-00:00:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Jimenez: Casi no hago eso xD
[2020:12:22-00:00:41]  (Local) -> (LOCAL)[3]PATRON: le gusto la motico?
[2020:12:22-00:00:43]  (Global) -> Joker.: pere
[2020:12:22-00:00:47]  (Local) -> (LOCAL)[6]Elpuerta47: manrique
[2020:12:22-00:00:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: es q con este bicho re grande si es duro bajar sin salir del camino
[2020:12:22-00:00:50]  (Global) -> [ak]jimenez.gaviria: sisas
[2020:12:22-00:00:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Jimenez: Na , lol, warzone etc
[2020:12:22-00:00:53]  (Local) -> (LOCAL)[7]|MZ|Omar: el pablo cachon
[2020:12:22-00:00:54]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: a
[2020:12:22-00:00:54]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: ajaja
[2020:12:22-00:00:54]  (Local) -> (LOCAL)[4]PATRON: enerio
[2020:12:22-00:00:55]  (Local) -> (LOCAL)[2][MZ]JuanDa: listo
[2020:12:22-00:00:56]  (Local) -> (LOCAL)[4]Joker.: ole
[2020:12:22-00:00:57]  (Local) -> (LOCAL)[1]GohanStark!~: ah vale igual ahare drogas porque es dificil pelear contra recorteros
[2020:12:22-00:00:58]  (Local) -> (LOCAL)[4]PATRON: la verdad
[2020:12:22-00:00:58]  (Local) -> (LOCAL)[4][EVG]BOMBITA: ole
[2020:12:22-00:00:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: asjdjasja
