This file was generated by Console at 2020:12:28-00:00:01



[2020:12:28-00:00:01]  (Local) -> (LOCAL)[8]PATRON: HPTA
[2020:12:28-00:00:04]  (Local) -> (LOCAL)[6]PATRON: CALLAOS
[2020:12:28-00:00:04]  (Team - Fuerzas Armadas) -> (TEAM)2cb/MINI: de una pa la base
[2020:12:28-00:00:05]  (Global) -> 2cb'DrStrange: noooo JJAJJ
[2020:12:28-00:00:05]  (Global) -> CAPU|Algarete!: pq
[2020:12:28-00:00:08]  (Local) -> (LOCAL)[3](PEPESTFA)pablito2100: deme mi plata
[2020:12:28-00:00:09]  (Global) -> elmarihuanero: kieto
[2020:12:28-00:00:10]  (Team - Fuerzas Armadas) -> (TEAM)2cb/MINI: no dispaern
[2020:12:28-00:00:12]  (Local) -> (LOCAL)[0]CAPU|Algarete!: uy kieto
[2020:12:28-00:00:14]  (Global) -> 2cb'DrStrange: no se funen al parsero
[2020:12:28-00:00:15]  (Local) -> (LOCAL)[3](PEPESTFA)pablito2100: vamos de una
[2020:12:28-00:00:16]  (Global) -> CAPU|Algarete!: 20 fps
[2020:12:28-00:00:16]  (Local) -> (LOCAL)[3]LocaHp: go
[2020:12:28-00:00:18]  (Global) -> CAPU|Algarete!: melos
[2020:12:28-00:00:21]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Megu/?: utilizare laser ahora
[2020:12:28-00:00:23]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Megu/?: xddd
[2020:12:28-00:00:23]  ([Msg] de [AC]YuX para |EVG|ReizerB: oe reizer soy walter me podes poner el vip) -> nil
[2020:12:28-00:00:30]  (Local) -> (LOCAL)[2]LocaHp: nda
[2020:12:28-00:00:33]  ([Msg] de [AC]YuX para |EVG|ReizerB: no digas quien soy) -> nil
[2020:12:28-00:00:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Megu/?: que vean el color y digan don megu
[2020:12:28-00:00:38]  (Global) -> [CAPU]Santi:D: Reizer a quien van a banear?
[2020:12:28-00:00:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Megu/?: si o q
[2020:12:28-00:00:39]  (Local) -> (LOCAL)[2]2cBriham: entonces?
[2020:12:28-00:00:42]  (Local) -> (LOCAL)[1]?'ffa#00017?: ai
[2020:12:28-00:00:45]  (Global) -> #7F7F7F|CVR|#FF0000|EVG|ReizerB: a un [CAPU]Santi:D
[2020:12:28-00:00:45]  (Local) -> (LOCAL)[1]?'ffa#00017?: si
[2020:12:28-00:00:47]  (Local) -> (LOCAL)[2]LocaHp: ahorita mate a bala traba
[2020:12:28-00:00:48]  (Global) -> #7F7F7F|CVR|#FF5C00EVG|~Orgalor~|: XDD
[2020:12:28-00:00:49]  (Global) -> [CAPU]Santi:D: uy
[2020:12:28-00:00:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Megu/?: XD
[2020:12:28-00:00:51]  (Local) -> (LOCAL)[2]LocaHp: y le dio rabia
[2020:12:28-00:00:51]  (Global) -> [CAPU]Santi:D: gracias
[2020:12:28-00:00:52]  (Local) -> (LOCAL)[2]2cBriham: aaaa naaa
[2020:12:28-00:00:56]  (Local) -> (LOCAL)[2]2cBriham: que webonada
[2020:12:28-00:00:57]  (Local) -> (LOCAL)[6]PATRON: CALLAOS
[2020:12:28-00:00:57]  (Global) -> C4rtex: B AN
[2020:12:28-00:01:00]  (Local) -> (LOCAL)[2](PEPESTFA)pablito2100: y me queria hacer banear a mi
[2020:12:28-00:01:01]  (Local) -> (LOCAL)[2]2cBriham: me voy pa ls ps
[2020:12:28-00:01:07]  (Local) -> (LOCAL)[2]LocaHp: y le voy a dar 600k al pelado
[2020:12:28-00:01:10]  (Local) -> (LOCAL)[2]LocaHp: por matarlo XD
[2020:12:28-00:01:15]  (Local) -> (LOCAL)[1][AC]YuX: oe
[2020:12:28-00:01:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|ReizerB: nea espere a bala
[2020:12:28-00:01:18]  (Local) -> (LOCAL)[2]Groow: xd
[2020:12:28-00:01:18]  (Team - Fuerzas Armadas) -> (TEAM)2cb/MINI: jaja se callo
[2020:12:28-00:01:21]  (Local) -> (LOCAL)[5]2cb"AXION: SE NOS QUEDO 1
[2020:12:28-00:01:24]  (Local) -> (LOCAL)[1][AC]YuX: tranquilo
[2020:12:28-00:01:28]  (Local) -> (LOCAL)[1][AC]YuX: me quiero quedar
[2020:12:28-00:01:29]  (Local) -> (LOCAL)[1][AC]YuX: esta cuenta
[2020:12:28-00:01:31]  (Global) -> 2cB"elTrakegunz: uy que chimba aqui hay bebidas
[2020:12:28-00:01:33]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Megu/?: pongase algun nombre
[2020:12:28-00:01:38]  (Local) -> (LOCAL)[1][AC]YuX: aunque la otra la necesito
[2020:12:28-00:01:39]  (Local) -> (LOCAL)[1]?'ffa#00017?: pq
[2020:12:28-00:01:41]  (Local) -> (LOCAL)[1]?'ffa#00017?: ?
[2020:12:28-00:01:45]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00|EVG|ReizerB: usted ya es otro user so
[2020:12:28-00:01:47]  (Local) -> (LOCAL)[1](PEPESTFA)pablito2100: jajajjajaaj
[2020:12:28-00:01:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Megu/?: pues por que eso se ve feo :v
[2020:12:28-00:01:52]  (Local) -> (LOCAL)[1][AC]YuX: la otra
[2020:12:28-00:01:53]  (Local) -> (LOCAL)[1](PEPESTFA)pablito2100: ojala no me banen
[2020:12:28-00:01:53]  (Local) -> (LOCAL)[1]?'ffa#00017?: XD
[2020:12:28-00:01:54]  (Global) -> 2cB"elTrakegunz: presiona h para comprar una bebida
