This file was generated by Console at 2021:01:08-00:00:01



[2021:01:08-00:00:01]  (Local) -> (LOCAL)[5]Mr.Nea: ya
[2021:01:08-00:00:03]  (Team - Unemployed) -> (TEAM)2cb,francovillar'pato}: ba
[2021:01:08-00:00:04]  (Local) -> (LOCAL)[5]Yesid: no
[2021:01:08-00:00:04]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFOrgalor: 10 segundos
[2021:01:08-00:00:05]  (Local) -> (LOCAL)[3]AK_GOMITA0810: ya la tengo
[2021:01:08-00:00:06]  (Global) -> manchita: no
[2021:01:08-00:00:08]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFOrgalor: 9
[2021:01:08-00:00:10]  (Global) -> CJ27: admin no reaparezco!!
[2021:01:08-00:00:10]  (Local) -> (LOCAL)[3]2cb'Anselmo: a ese nooo
[2021:01:08-00:00:10]  (Global) -> Skippers: TIROFIJO CUANDO ES LA BODA OME
[2021:01:08-00:00:10]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFOrgalor: me abro
[2021:01:08-00:00:11]  (Local) -> (LOCAL)[1]Valduvino: a
[2021:01:08-00:00:12]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000BERNARATO: a que hora hace stream fabius
[2021:01:08-00:00:12]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFOrgalor: 8
[2021:01:08-00:00:12]  (Local) -> (LOCAL)[1]Sayayin"Chaman: quiere ser un saya?
[2021:01:08-00:00:12]  (Local) -> (LOCAL)[5]Sayayin'Chamber: ROTEN SUS DISCORD
[2021:01:08-00:00:14]  (Local) -> (LOCAL)[3]AK_GOMITA0810: eso gasten balas
[2021:01:08-00:00:14]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFOrgalor: 7
[2021:01:08-00:00:15]  (Local) -> (LOCAL)[5]Sayayin'Lufero: pasen todos el discord
[2021:01:08-00:00:17]  (Global) -> manchita: breve
[2021:01:08-00:00:17]  (Local) -> (LOCAL)[3]AK_GOMITA0810: hpts
[2021:01:08-00:00:18]  (Local) -> (LOCAL)[2][Z]ZEUS: 900
[2021:01:08-00:00:19]  (Global) -> (SAY)Guacho: PASEN DISCORD
[2021:01:08-00:00:19]  (Local) -> (LOCAL)[6]2cb'Fabius: ya casi
[2021:01:08-00:00:22]  (Global) -> #7F7F7F|CVR|#0064FFOrgalor: 950
[2021:01:08-00:00:22]  (Local) -> (LOCAL)[7]2cb'Fabius: pero de gta iv
[2021:01:08-00:00:23]  (Global) -> (RCA)HimeXD: oe estoy bug
[2021:01:08-00:00:23]  (Global) -> [POPPER]: PERO YO SI ME MORI PORQUE ME MATE
[2021:01:08-00:00:24]  (Global) -> (RCA)HimeXD: oe estoy bug
[2021:01:08-00:00:24]  (Local) -> (LOCAL)[1]Sayayin"Chaman: subase si quiere
[2021:01:08-00:00:25]  (Global) -> (RCA)HimeXD: pls help
[2021:01:08-00:00:26]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000BERNARATO: uy kieto
[2021:01:08-00:00:27]  (Local) -> (LOCAL)[2][Z]ZEUS: 850
[2021:01:08-00:00:29]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000BERNARATO: modo historia?
[2021:01:08-00:00:30]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFOrgalor: uy q
[2021:01:08-00:00:30]  (Local) -> (LOCAL)[3]2cBuitre: veo
[2021:01:08-00:00:32]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFOrgalor: no sr
[2021:01:08-00:00:32]  (Local) -> (LOCAL)[1]2cb'Anselmo: los que digan 2cb' en el nombre no jajaja
[2021:01:08-00:00:33]  (Global) -> CJ27: orgalor ando bug!!!
[2021:01:08-00:00:33]  (Local) -> (LOCAL)[5]Yesid: yesid#3227
[2021:01:08-00:00:34]  (Local) -> (LOCAL)[6]2cb'Fabius: si
[2021:01:08-00:00:34]  (Local) -> (LOCAL)[5]ForegoingIris58: COMO SE HACE ESA VERGA
[2021:01:08-00:00:34]  (Local) -> (LOCAL)[3]2cBuitre: camine allí
[2021:01:08-00:00:35]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor: 900
[2021:01:08-00:00:37]  (Local) -> (LOCAL)[2][Z]ZEUS: venga lo veo
