This file was generated by Console at 2021:01:11-00:00:00



[2021:01:11-00:00:00]  (Local) -> (LOCAL)[1]Royal2cb: pere
[2021:01:11-00:00:01]  (Local) -> (LOCAL)[4]GT|~SubditoDeSatanas: que cosa?
[2021:01:11-00:00:02]  (Local) -> (LOCAL)[4]Cheverry: les paso las ubicaciones
[2021:01:11-00:00:03]  (Local) -> (LOCAL)[3]2cb/MINI: susas
[2021:01:11-00:00:03]  (Local) -> (LOCAL)[4]GT|~PABLO: que le dieron?
[2021:01:11-00:00:04]  (Local) -> (LOCAL)[1]Royal2cb: kite
[2021:01:11-00:00:06]  (Local) -> (LOCAL)[4]Cheverry: dorga
[2021:01:11-00:00:07]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|EVG|Catre: digale a un lvl 4 que le meta al man
[2021:01:11-00:00:08]  (Local) -> (LOCAL)[4]Cheverry: droga
[2021:01:11-00:00:08]  (Global) -> jambyelloco: jajajaja
[2021:01:11-00:00:09]  (Local) -> (LOCAL)[2]3fj.francovilla,pato: pero si le llego
[2021:01:11-00:00:11]  (Local) -> (LOCAL)[1]2cb~SamanthaOwO: que hacs??
[2021:01:11-00:00:11]  (Global) -> ENANOHP_: DELE
[2021:01:11-00:00:13]  (Local) -> (LOCAL)[4]GT|~PABLO: cual droga?
[2021:01:11-00:00:14]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|EVG|Catre: que siiii
[2021:01:11-00:00:18]  (Local) -> (LOCAL)[4]GT|~SubditoDeSatanas: que quiere por la ubicacion
[2021:01:11-00:00:19]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|EVG|Catre: obvio
[2021:01:11-00:00:20]  (Local) -> (LOCAL)[4]Cheverry: 3 de cada una
[2021:01:11-00:00:20]  (Local) -> (LOCAL)[4]GT|-Benson: SI COPIA BIEN ME LO PIENSO XD
[2021:01:11-00:00:20]  (Local) -> (LOCAL)[3](RCA)GustavoPetro: CHICO GEL VENGA PUES
[2021:01:11-00:00:24]  (Local) -> (LOCAL)[3]ChicoGel: q
[2021:01:11-00:00:24]  (Local) -> (LOCAL)[1]ak*don_jimenez: sueltemee
[2021:01:11-00:00:26]  (Global) -> LivelyVegetables88: VEO LO LLEVO 
[2021:01:11-00:00:26]  (Local) -> (LOCAL)[4]GT|~SubditoDeSatanas: si solo nos falta 1
[2021:01:11-00:00:27]  (Local) -> (LOCAL)[4]Cheverry: es poco
[2021:01:11-00:00:27]  (Local) -> (LOCAL)[3]2cb/MINI: se los dejor en 750 tan tuneados
[2021:01:11-00:00:27]  (Local) -> (LOCAL)[4]GT|~PABLO: ish
[2021:01:11-00:00:29]  (Local) -> (LOCAL)[2]3fj.francovilla,pato: por que luque esnvito son lus nuebos
[2021:01:11-00:00:30]  (Team - Criminals) -> (TEAM)ak*don_jimenez: estoy en directo
[2021:01:11-00:00:30]  (Global) -> Jusef16: como hago para no tener lag?
[2021:01:11-00:00:30]  (Local) -> (LOCAL)[0]2cb~SamanthaOwO: 1106858
[2021:01:11-00:00:32]  (Local) -> (LOCAL)[3](RCA)GustavoPetro: PON LA MOTO
[2021:01:11-00:00:36]  (Team - Law Enforcement) -> (TEAM)DAVID_SIMVON: aya
[2021:01:11-00:00:36]  (Local) -> (LOCAL)[2]ak*don_jimenez: quiere qu elo baneen
[2021:01:11-00:00:37]  (Local) -> (LOCAL)[4]Cheverry: yo me se 4
[2021:01:11-00:00:38]  (Global) -> LivelyVegetables88: OE
[2021:01:11-00:00:38]  (Global) -> Royal2cb: comprarse una mejor pc
[2021:01:11-00:00:39]  (Local) -> (LOCAL)[4]Alvaro_Uribe_Velez: apagar música
[2021:01:11-00:00:41]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: ando lukiao
[2021:01:11-00:00:41]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|EVG|Catre: nea no te entiendo
[2021:01:11-00:00:45]  (Local) -> (LOCAL)[4]GT|~SubditoDeSatanas: ud dijo que eran 3 jm
[2021:01:11-00:00:45]  (Global) -> Royal2cb: uy semds
[2021:01:11-00:00:45]  (Global) -> AndresElBazukero300: usted
[2021:01:11-00:00:46]  (Local) -> (LOCAL)[3](RCA)GustavoPetro: TE LO CAMBIO POR ESTE
[2021:01:11-00:00:47]  (Global) -> AndresElBazukero300: va
[2021:01:11-00:00:47]  (Local) -> (LOCAL)[2]3fj.francovilla,pato: yase xd
[2021:01:11-00:00:48]  (Global) -> Royal2cb: me regalar 1 millon?
[2021:01:11-00:00:49]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: bro
[2021:01:11-00:00:49]  (Local) -> (LOCAL)[2]3fj.francovilla,pato: ajajaja
[2021:01:11-00:00:50]  (Local) -> (LOCAL)[4]Alvaro_Uribe_Velez: apagar música
[2021:01:11-00:00:50]  (Global) -> AndresElBazukero300: directo a la carcel
[2021:01:11-00:00:51]  (Local) -> (LOCAL)[4]Cheverry: esta es nueva
[2021:01:11-00:00:53]  (Global) -> AndresElBazukero300: bobohp
[2021:01:11-00:00:53]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: oe
[2021:01:11-00:00:55]  (Local) -> (LOCAL)[2]3fj.francovilla,pato: miyo
[2021:01:11-00:00:56]  (Global) -> Sayayin"Guacho: rpe
[2021:01:11-00:00:56]  (Local) -> (LOCAL)[0]DeadpanWasp83: ytpmnfb bffffwf}
[2021:01:11-00:00:58]  (Global) -> Sayayin"Guacho: como es
[2021:01:11-00:00:59]  (Local) -> (LOCAL)[4]Cheverry: la de vinewood
[2021:01:11-00:01:00]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: me enseñas lo del trruco porfa
[2021:01:11-00:01:01]  (Global) -> Jusef16: Dios quiera xd
[2021:01:11-00:01:02]  (Local) -> (LOCAL)[1]surimc30: AJAJA
[2021:01:11-00:01:02]  (Local) -> (LOCAL)[4]DelightfulCap70: aaasssssssssssssssssssssssssssssssssssssssssssssssssssssssssssw addadd
[2021:01:11-00:01:04]  (Local) -> (LOCAL)[1]ak*don_jimenez: si yo soy youtuber de facebook
[2021:01:11-00:01:04]  (Global) -> PATRULLERO_MADERA: lleveme a la estacion
[2021:01:11-00:01:04]  ([Msg] de #DDA0DD2cb~SamanthaOwO para #1B8B302cBuitre.: 1106958) -> nil
[2021:01:11-00:01:05]  (Global) -> Sayayin"Guacho: cual¿
[2021:01:11-00:01:06]  (Local) -> (LOCAL)[4]GT|~SubditoDeSatanas: y las otras?
[2021:01:11-00:01:08]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: del trailer
[2021:01:11-00:01:09]  (Local) -> (LOCAL)[2]3fj.francovilla,pato: aaa listo
[2021:01:11-00:01:12]  (Global) -> jambyelloco: no pappi
[2021:01:11-00:01:13]  (Team - Unemployed) -> (TEAM)3fj.francovilla,pato: grasias oa
[2021:01:11-00:01:16]  (Local) -> (LOCAL)[4]Cheverry: queda en un edificio
[2021:01:11-00:01:17]  (Local) -> (LOCAL)[2]ak*don_jimenez: bueno mañana esta baneado jajaja a
[2021:01:11-00:01:17]  (Local) -> (LOCAL)[3]ChicoGel: ya
[2021:01:11-00:01:18]  (Local) -> (LOCAL)[3]2cb/MINI: ey tiene motos
[2021:01:11-00:01:19]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|EVG|Catre: un lvl 4 le ayuda nea
[2021:01:11-00:01:20]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: pa usar este
[2021:01:11-00:01:22]  (Global) -> AndresElBazukero300: r
[2021:01:11-00:01:23]  (Local) -> (LOCAL)[5]2cB'IBIZA: 3
[2021:01:11-00:01:24]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|EVG|Catre: le mete los manes a la gang
[2021:01:11-00:01:25]  (Global) -> Sayayin"Guacho: valla al circulo verde
[2021:01:11-00:01:28]  (Local) -> (LOCAL)[2]2cb/MINI: negociemos esa que saco
[2021:01:11-00:01:28]  (Local) -> (LOCAL)[2](RCA)GustavoPetro: TENGO UNA RX115
[2021:01:11-00:01:29]  (Global) -> 2cB|JulianGg|:D: surimc30[1]
[2021:01:11-00:01:29]  (Local) -> (LOCAL)[2]Drogba: jajajajaj
[2021:01:11-00:01:30]  (Local) -> (LOCAL)[4]GT|~SubditoDeSatanas: cual?
[2021:01:11-00:01:30]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF5C00|EVG|RicardoJorge: Reizer, Berna o Lopez
[2021:01:11-00:01:33]  (Global) -> [KP]ElBichoo: pa a trabajar
[2021:01:11-00:01:34]  (Local) -> (LOCAL)[4]Cheverry: jajja
[2021:01:11-00:01:35]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: cual}
[2021:01:11-00:01:35]  (Global) -> EL_FLACO_BRS: quien anda conmigo ps}
[2021:01:11-00:01:35]  (Local) -> (LOCAL)[2]ChicoGel: tengo esta
[2021:01:11-00:01:35]  (Local) -> (LOCAL)[2]2cb/MINI: nocas esa no
[2021:01:11-00:01:37]  (Global) -> Sayayin"Guacho: ya lo tiene?
[2021:01:11-00:01:38]  (Global) -> ENANOHP_: HOLA TOMBO
[2021:01:11-00:01:39]  (Local) -> (LOCAL)[4]Cheverry: negociemos
[2021:01:11-00:01:39]  (Local) -> (LOCAL)[2]ChicoGel: xd
[2021:01:11-00:01:39]  (Local) -> (LOCAL)[3]ak*don_jimenez: que
[2021:01:11-00:01:40]  (Local) -> (LOCAL)[4][CDG]COSCULLUELA: mm
[2021:01:11-00:01:40]  (Local) -> (LOCAL)[2]2cb/MINI: y la otra
[2021:01:11-00:01:43]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: no es que
[2021:01:11-00:01:45]  (Local) -> (LOCAL)[2]2cb/MINI: dejeme la en 4 palos
[2021:01:11-00:01:46]  (Global) -> EL_FLACO_BRS: oe
[2021:01:11-00:01:47]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA disculpen la alegria
[2021:01:11-00:01:47]  (Local) -> (LOCAL)[4]Cheverry: 1 palo por ubicacion
[2021:01:11-00:01:47]  (Local) -> (LOCAL)[4]GT|~SubditoDeSatanas: pa eso las buscamos ya sabemos 5 xd
[2021:01:11-00:01:48]  (Local) -> (LOCAL)[2]ChicoGel: el pelao la pidio xd
[2021:01:11-00:01:50]  (Local) -> (LOCAL)[4]Glizzy_: perros hpas
[2021:01:11-00:01:50]  (Global) -> EL_FLACO_BRS: lo llevo
[2021:01:11-00:01:51]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: AHORA NO SE puede con camion
[2021:01:11-00:01:52]  (Team - Services) -> (TEAM)LikeableTeacher34: amwww ddddddawew
[2021:01:11-00:01:53]  (Local) -> (LOCAL)[4]Cheverry: ajjajaa
[2021:01:11-00:01:54]  (Global) -> EL_FLACO_BRS: andemos
[2021:01:11-00:01:54]  (Local) -> (LOCAL)[2]2cb/MINI: aaa la vendio
[2021:01:11-00:01:54]  (Global) -> 3fj.francovilla,pato: pero yo no puedo
[2021:01:11-00:01:55]  (Local) -> (LOCAL)[4]Cheverry: noo
[2021:01:11-00:01:56]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: comprado u.u
[2021:01:11-00:01:56]  (Local) -> (LOCAL)[2][POPPER]: aSAMI
[2021:01:11-00:01:59]  (Local) -> (LOCAL)[2]ChicoGel: ahi esta
[2021:01:11-00:02:00]  (Global) -> ENANOHP_: TRANQUILO
[2021:01:11-00:02:02]  (Local) -> (LOCAL)[2]ChicoGel: el q primero la compre
[2021:01:11-00:02:03]  (Global) -> EL_FLACO_BRS: masamelo
[2021:01:11-00:02:04]  (Local) -> (LOCAL)[2]2cb~SamanthaOwO: q
[2021:01:11-00:02:04]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: toca con los del juego
[2021:01:11-00:02:06]  (Local) -> (LOCAL)[2]ChicoGel: yo no se xd
[2021:01:11-00:02:06]  (Global) -> 3fj.francovilla,pato: catre yo no puedo
[2021:01:11-00:02:09]  (Global) -> TIROFIJO420: buitre robe un rato
[2021:01:11-00:02:09]  (Local) -> (LOCAL)[0]2cBuitre.: 1106858
[2021:01:11-00:02:09]  (Local) -> (LOCAL)[2][AK][Perico]: para donde
[2021:01:11-00:02:09]  (Local) -> (LOCAL)[4]ak*don_jimenez: fernando
[2021:01:11-00:02:11]  (Local) -> (LOCAL)[2]ChicoGel: esta en 4 palos
[2021:01:11-00:02:12]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|EVG|Catre: ay dios
[2021:01:11-00:02:14]  (Global) -> TIROFIJO420: pa que no diga que soy carpa
[2021:01:11-00:02:14]  (Local) -> (LOCAL)[1]surimc30: AYUDA,SAPO HPTA
[2021:01:11-00:02:14]  (Global) -> 2cBuitre.: na ñero
[2021:01:11-00:02:16]  (Local) -> (LOCAL)[2]ElSA_POHPTA: algun probelma señor agente
[2021:01:11-00:02:17]  (Global) -> EL_FLACO_BRS: oeeeee
[2021:01:11-00:02:17]  (Local) -> (LOCAL)[4]2cb~SamanthaOwO: a tienda
[2021:01:11-00:02:17]  (Local) -> (LOCAL)[1][KP]ElBichoo: todo bien
[2021:01:11-00:02:19]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF5C00|EVG|RicardoJorge: jssjajjsjajajsjsajaj
[2021:01:11-00:02:21]  (Local) -> (LOCAL)[2]ChicoGel: el q primero la compre se la lleva no se uwu
[2021:01:11-00:02:21]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: COMPRO HOTRING 3
[2021:01:11-00:02:21]  (Global) -> jambyelloco: la buena
[2021:01:11-00:02:22]  (Local) -> (LOCAL)[2](RCA)GustavoPetro: OE CHICOGEL VAMOS
[2021:01:11-00:02:24]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF5C00|EVG|RicardoJorge: digale chu
[2021:01:11-00:02:24]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: 30 PALOS
[2021:01:11-00:02:24]  (Global) -> #7F7F7F|LG|#0064FF|Ak|[g8]: TIRO
[2021:01:11-00:02:26]  (Local) -> (LOCAL)[4]Cheverry: bno me voy
[2021:01:11-00:02:28]  (Global) -> 3fj.francovilla,pato: TIROFIGO
[2021:01:11-00:02:31]  (Global) -> #7F7F7F|LG|#0064FF|Ak|[g8]: Ven a comisaria
[2021:01:11-00:02:32]  (Local) -> (LOCAL)[7]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: wenas
[2021:01:11-00:02:33]  (Local) -> (LOCAL)[4]FernanditoGAUCHO: 250 segundos
[2021:01:11-00:02:34]  (Global) -> Diablo: o megu
[2021:01:11-00:02:35]  (Global) -> Sayayin"Guacho: si
[2021:01:11-00:02:36]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: COMPRO HOTRING 3
[2021:01:11-00:02:39]  (Global) -> Jusef16: existe alguna forma de ver los comandos?
[2021:01:11-00:02:39]  (Global) -> 3fj.francovilla,pato: TIROFIJO
[2021:01:11-00:02:40]  (Local) -> (LOCAL)[3]2cBuitre.: ai
[2021:01:11-00:02:40]  (Global) -> EL_FLACO_BRS: oe vamos
[2021:01:11-00:02:40]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: dime Diablo
[2021:01:11-00:02:42]  (Local) -> (LOCAL)[3]2cBuitre.: perdon
[2021:01:11-00:02:42]  (Local) -> (LOCAL)[3][AK][Perico]: jaja la envidia
[2021:01:11-00:02:43]  (Local) -> (LOCAL)[4]Sayayin'TheAlvarez978: oigan setenta hptas
[2021:01:11-00:02:44]  (Local) -> (LOCAL)[2]ElSA_POHPTA: el pasajero tenia afan}
[2021:01:11-00:02:45]  (Global) -> Sayayin"Guacho: solo con los del juego
[2021:01:11-00:02:46]  (Local) -> (LOCAL)[3]2cb~SamanthaOwO: sanos todos
[2021:01:11-00:02:47]  (Local) -> (LOCAL)[3]2cBuitre.: no perdon
[2021:01:11-00:02:47]  (Local) -> (LOCAL)[8][Z]Petrosky: ez
[2021:01:11-00:02:47]  (Local) -> (LOCAL)[1](RCA)GustavoPetro: VAMOS AL BANCO
[2021:01:11-00:02:49]  (Global) -> Diablo: en el trabajo de pikar se puede subir de rango?
[2021:01:11-00:02:50]  (Local) -> (LOCAL)[1]Sayayin*ViejitaSexx: si}
[2021:01:11-00:02:51]  (Local) -> (LOCAL)[3]2cBuitre.: envidia de que
[2021:01:11-00:02:51]  (Global) -> EL_FLACO_BRS: jose vamos
[2021:01:11-00:02:55]  (Local) -> (LOCAL)[4]ak*don_jimenez: fernandooo
[2021:01:11-00:02:55]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: Rappi
[2021:01:11-00:02:56]  (Local) -> (LOCAL)[8]JoseCuellar: pa onde
[2021:01:11-00:02:56]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: si
[2021:01:11-00:02:56]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: si sr
[2021:01:11-00:02:58]  (Global) -> Diablo: si
[2021:01:11-00:03:00]  (Local) -> (LOCAL)[3]2cBuitre.: como si tuviera cosas chimbas
[2021:01:11-00:03:01]  (Global) -> PATRULLERO_MADERA: puedo prender las sirenas?
[2021:01:11-00:03:01]  (Global) -> Diablo: como se que rago
[2021:01:11-00:03:01]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#0064FF|Ak|[g8]: desaloje
[2021:01:11-00:03:02]  (Local) -> (LOCAL)[3]2cb~SamanthaOwO: que carro es ese?
[2021:01:11-00:03:03]  (Local) -> (LOCAL)[4]ak*don_jimenez: me la chupa
[2021:01:11-00:03:05]  (Global) -> Diablo: como se que rango soy
[2021:01:11-00:03:06]  (Global) -> EL_FLACO_BRS: montate
[2021:01:11-00:03:06]  (Local) -> (LOCAL)[2]ElSA_POHPTA: yo solo cumplo mi trabajo
[2021:01:11-00:03:06]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: dale TAB
[2021:01:11-00:03:10]  (Global) -> Diablo: aja
[2021:01:11-00:03:10]  (Global) -> 3fj.francovilla,pato: TIROFIJO
[2021:01:11-00:03:11]  (Local) -> (LOCAL)[1][CDG]COSCULLUELA: oee
[2021:01:11-00:03:11]  (Local) -> (LOCAL)[3]GT|~SubditoDeSatanas: d
[2021:01:11-00:03:12]  (Local) -> (LOCAL)[8]2cB'IBIZA: dices ez cuando me matas con chaleco
[2021:01:11-00:03:13]  (Local) -> (LOCAL)[3][AK][Perico]: jester
[2021:01:11-00:03:13]  (Local) -> (LOCAL)[2]ak*don_jimenez: si jjajaja
[2021:01:11-00:03:14]  (Team - Law Enforcement) -> (TEAM)[CDG]COSCULLUELA: ucomo lo lquito
[2021:01:11-00:03:15]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: mira el 2 
[2021:01:11-00:03:16]  (Local) -> (LOCAL)[2]ak*don_jimenez: le gusta
[2021:01:11-00:03:18]  (Local) -> (LOCAL)[1][CDG]COSCULLUELA: :V
[2021:01:11-00:03:19]  (Local) -> (LOCAL)[8]3fj.francovilla,pato: OE
[2021:01:11-00:03:20]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: de tu nombrw a la derecha
[2021:01:11-00:03:20]  (Global) -> Cheverry: PATRULLERO_MADERA si, con le bloq mayus las prende
[2021:01:11-00:03:22]  (Local) -> (LOCAL)[9]2cB'IBIZA: dices ez cuando me matas con chaleco
[2021:01:11-00:03:23]  (Local) -> (LOCAL)[1]SleepyHassock14: mano llevame al banco
[2021:01:11-00:03:23]  (Global) -> #7F7F7F|CVR|#FF0000!#Megu: esos son los rangos
[2021:01:11-00:03:24]  (Local) -> (LOCAL)[3]GT|~SubditoDeSatanas: vamos a farmear policias
