This file was generated by Console at 2021:01:13-00:00:00



[2021:01:13-00:00:00]  (Local) -> (LOCAL)[2]surimc30: ok
[2021:01:13-00:00:02]  (Local) -> (LOCAL)[1]HeavyOars16: a entiendo no es con t
[2021:01:13-00:00:03]  (Global) -> faby: no llegan 
[2021:01:13-00:00:03]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: gracias
[2021:01:13-00:00:04]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: O sea no todo el chat general ve tu mensaje, solo los que estan cerca
[2021:01:13-00:00:08]  (Global) -> DearFondue95: HOLA
[2021:01:13-00:00:10]  (Global) -> faby:  todo el dia he estado llamando
[2021:01:13-00:00:10]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: La t es para chat general
[2021:01:13-00:00:11]  (Local) -> (LOCAL)[5]|EVG|<>ElParaco: voy a ir a por gasolina
[2021:01:13-00:00:11]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF0000CAPU|~Curiosin~|: grax
[2021:01:13-00:00:11]  (Local) -> (LOCAL)[2]Zeus_Garcia: ?
[2021:01:13-00:00:15]  (Global) -> 2cBHeladinho: KP|#0FA00FZhukov
[2021:01:13-00:00:16]  (Global) -> Leo: BRAHIAN ANDA GUARDA LA PUTA PLTA OME
[2021:01:13-00:00:18]  (Local) -> (LOCAL)[2]UniqueDavenport50: ESTOY PRESIONANDO /MODS Y /MOD Y NO SALE NADA
[2021:01:13-00:00:18]  (Global) -> KP|Zhukov: dime
[2021:01:13-00:00:22]  (Local) -> (LOCAL)[1]HeavyOars16: dale gracias
[2021:01:13-00:00:22]  (Local) -> (LOCAL)[2](CAPU).MR.MCLOVIN.3.0: aver si encontramos a alguien
[2021:01:13-00:00:22]  (Global) -> Juandi: admi tengo un ploblema 
[2021:01:13-00:00:25]  (Global) -> [AK]Art: kjimenes tengo una pregunta puede ayudarme?
[2021:01:13-00:00:26]  (Global) -> PATRON: quien quiere trabajar de basurero?
[2021:01:13-00:00:26]  (Local) -> (LOCAL)[1]|EVG|<>ElParaco: ale
[2021:01:13-00:00:28]  (Team - Services) -> (TEAM)PATRON: quien quiere trabajar de basurero?
