This file was generated by Console at 2021:01:19-00:00:00



[2021:01:19-00:00:00]  (Global) -> (RCA)DestrozaAnos: Admin
[2021:01:19-00:00:01]  (Local) -> (LOCAL)[1]2cb'Eusebio: pere
[2021:01:19-00:00:02]  (Local) -> (LOCAL)[4](RCA)ivanduque: oleeee
[2021:01:19-00:00:04]  (Global) -> CHUMY: ya salgo
[2021:01:19-00:00:04]  (Global) -> (RCA)DestrozaAnos: ADMIN
[2021:01:19-00:00:08]  (Local) -> (LOCAL)[2]TIROFIJO420: lo llevo afuera de armaria o q
[2021:01:19-00:00:09]  (Local) -> (LOCAL)[2]{ak},francovillar: oe tiene 100k para conprar
[2021:01:19-00:00:11]  (Team - Services) -> (TEAM)Biteeh.: cuantos viajes de pilito tengo que hacer para subir de aspirante?
[2021:01:19-00:00:13]  (Local) -> (LOCAL)[4]!JulianGg?|420$|2cB: A
[2021:01:19-00:00:13]  (Global) -> (SANTIAGO): admiiiiiiiiiiii
[2021:01:19-00:00:14]  (Local) -> (LOCAL)[2](RCA)GustavoPetro: oe
[2021:01:19-00:00:14]  (Global) -> Randyy: BUENO
[2021:01:19-00:00:16]  (Local) -> (LOCAL)[1]{ak},francovillar: la mita lus 2
[2021:01:19-00:00:21]  (Local) -> (LOCAL)[4](RCA)ivanduque: ole
[2021:01:19-00:00:22]  (Local) -> (LOCAL)[2](RCA)GustavoPetro: quierem plata?
[2021:01:19-00:00:22]  (Local) -> (LOCAL)[1]TIROFIJO420: mas tarde
[2021:01:19-00:00:23]  (Global) -> (SANTIAGO): donde ago el reporte en discord
[2021:01:19-00:00:24]  (Local) -> (LOCAL)[2]BANANANEGRA: ?
[2021:01:19-00:00:26]  (Global) -> #7F7F7F|DJ|#FFFF002cb'DJ_NICO: ruiz poneme medellin de kevin roldan
[2021:01:19-00:00:27]  (Local) -> (LOCAL)[5]{ak},francovillar: con un admin conpro
[2021:01:19-00:00:29]  (Local) -> (LOCAL)[4]2cb/MINI: que
[2021:01:19-00:00:31]  (Local) -> (LOCAL)[5]iMrSaiko|EVG|: PERRITO QUE TE COSTO LA SKINW?
[2021:01:19-00:00:33]  (Global) -> (Z)LOKILLO: b
[2021:01:19-00:00:35]  (Global) -> (RCA)DestrozaAnos: ADMIN
[2021:01:19-00:00:35]  (Local) -> (LOCAL)[3](RCA)ivanduque: le vendo bareta y lcd
[2021:01:19-00:00:35]  (Local) -> (LOCAL)[1](Z)LOKILLO: buenas
[2021:01:19-00:00:37]  (Local) -> (LOCAL)[3]BANANANEGRA: QUE HAY QUE HACER
[2021:01:19-00:00:39]  (Local) -> (LOCAL)[3](RCA)GustavoPetro: si quiere plata?
[2021:01:19-00:00:41]  (Local) -> (LOCAL)[2]A5hm3Dai: 0
[2021:01:19-00:00:42]  (Local) -> (LOCAL)[3](RCA)GustavoPetro: vender drogas
[2021:01:19-00:00:44]  (Local) -> (LOCAL)[1](Z)LOKILLO: q mas mijo
[2021:01:19-00:00:46]  (Global) -> Fedez:     
[2021:01:19-00:00:47]  (Team - Services) -> (TEAM)Biteeh.: cuantos viajes de pilito tengo que hacer para subir de aspirante?
[2021:01:19-00:00:48]  (Local) -> (LOCAL)[2](RCA)ivanduque: ole
[2021:01:19-00:00:48]  (Global) -> (SANTIAGO): admi parese que noy adm,i
[2021:01:19-00:00:52]  (Local) -> (LOCAL)[1](Z)LOKILLO: no andando desparchado cucho
[2021:01:19-00:00:55]  (Team - Criminals) -> (TEAM)KING_: SUBILEW
[2021:01:19-00:00:57]  (Local) -> (LOCAL)[1](Z)LOKILLO: q ahce la heroina papi
[2021:01:19-00:00:59]  (Global) -> (SANTIAGO): es admi
[2021:01:19-00:01:02]  (Local) -> (LOCAL)[1](Z)LOKILLO: q noentor hace ratos
[2021:01:19-00:01:03]  (Global) -> #7F7F7F|DJ|#FFFF002cb'DJ_NICO: ruiz poneme medellin de kevin roldan
[2021:01:19-00:01:03]  (Local) -> (LOCAL)[2](RCA)ivanduque: sisa
[2021:01:19-00:01:05]  (Local) -> (LOCAL)[4]2cb'SapoHP: me sale el cbug :(
[2021:01:19-00:01:07]  (Local) -> (LOCAL)[2](RCA)ivanduque: qe
[2021:01:19-00:01:07]  (Local) -> (LOCAL)[1](RCA)GustavoPetro: oeee
[2021:01:19-00:01:11]  (Global) -> (RCA)DestrozaAnos: ADMIN
[2021:01:19-00:01:15]  (Local) -> (LOCAL)[1](Z)LOKILLO: dejemela en 10 lukas
[2021:01:19-00:01:16]  (Global) -> (SANTIAGO): oye donde pongo los reportes
[2021:01:19-00:01:19]  (Local) -> (LOCAL)[1]2cb'Eusebio: vea hay varios
[2021:01:19-00:01:20]  (Global) -> KING_: SUBILE
[2021:01:19-00:01:20]  (Local) -> (LOCAL)[0]HumorousGiant58: OE PERDONAME
[2021:01:19-00:01:21]  (Global) -> (SANTIAGO): en dicsor
[2021:01:19-00:01:24]  (Local) -> (LOCAL)[1]2cb'Eusebio: pero este es el que más me ha dado
[2021:01:19-00:01:27]  (Global) -> (SANTIAGO): disco0tr
