This file was generated by Console at 2021:01:23-00:00:00



[2021:01:23-00:00:00]  (Local) -> (LOCAL)[7][Ak]Its_Garz: oka
[2021:01:23-00:00:01]  (Global) -> DJ_NICO_2cb: admin 
[2021:01:23-00:00:02]  (Local) -> (LOCAL)[8]#7F7F7F|ADM||LG|#FF5C00|El[Gocho]|: voy a hacer el evento
[2021:01:23-00:00:04]  (Global) -> #7F7F7F|ADM|#FF8C00CrudoMeansRawEVG: Con F11 AheadCoonskin59
[2021:01:23-00:00:05]  (Local) -> (LOCAL)[3]MR.MCLOVIN.3.0(CAPU: no mera rata
[2021:01:23-00:00:05]  (Local) -> (LOCAL)[4]Jolines|2cb: escribile vibra
[2021:01:23-00:00:06]  (Local) -> (LOCAL)[8][I]ceWipe~|AK|: bueni
[2021:01:23-00:00:06]  (Local) -> (LOCAL)[4]LocaHp: ajjj
[2021:01:23-00:00:06]  (Local) -> (LOCAL)[8]#7F7F7F|ADM||LG|#FF5C00|El[Gocho]|: TODOS JUNTOS
[2021:01:23-00:00:07]  (Local) -> (LOCAL)[8][I]ceWipe~|AK|: qn pa pvp
[2021:01:23-00:00:07]  (Global) -> #7F7F7F|ADM|#FF8C00CrudoMeansRawEVG: q
[2021:01:23-00:00:08]  (Global) -> JuanFelipeVT[GT]: funciono?
[2021:01:23-00:00:11]  (Local) -> (LOCAL)[8]#7F7F7F|ADM||LG|#FF5C00|El[Gocho]|: ICE
[2021:01:23-00:00:13]  (Local) -> (LOCAL)[4]STTARLO: si
[2021:01:23-00:00:13]  (Local) -> (LOCAL)[3]DonPini: con w
[2021:01:23-00:00:13]  (Local) -> (LOCAL)[8]francovillar|AK|: OE
[2021:01:23-00:00:14]  (Local) -> (LOCAL)[8]#7F7F7F|ADM||LG|#FF5C00|El[Gocho]|: HARE EVENTO
[2021:01:23-00:00:15]  (Local) -> (LOCAL)[10]alfonso: monta
[2021:01:23-00:00:15]  (Global) -> Paula:3_2cb: solo marihuana aa xd
[2021:01:23-00:00:15]  (Local) -> (LOCAL)[4]Fear~2cb: jhajajaaj
[2021:01:23-00:00:15]  (Global) -> JuanFelipeVT[GT]: escribe con la T
[2021:01:23-00:00:16]  (Local) -> (LOCAL)[3]STTARLO: creo
[2021:01:23-00:00:16]  (Global) -> Satanael: espere
[2021:01:23-00:00:17]  (Local) -> (LOCAL)[8]#7F7F7F|ADM||LG|#FF5C00|El[Gocho]|: esperen
[2021:01:23-00:00:17]  (Local) -> (LOCAL)[8][I]ceWipe~|AK|: ahh
[2021:01:23-00:00:17]  (Local) -> (LOCAL)[4]LocaHp: ahora si hable
[2021:01:23-00:00:18]  (Local) -> (LOCAL)[8][I]ceWipe~|AK|: de pvp
[2021:01:23-00:00:19]  (Local) -> (LOCAL)[3]DonPini: y la flecha asi abajo
[2021:01:23-00:00:20]  (Global) -> DJ_NICO_2cb: nada ya se murio el queme queria matat anderson ak
[2021:01:23-00:00:20]  (Local) -> (LOCAL)[6][O]reo~|GT: ey
[2021:01:23-00:00:21]  (Team - Law Enforcement) -> (TEAM)Satanael: bajese un momento
[2021:01:23-00:00:21]  (Local) -> (LOCAL)[10]alfonso: ey
[2021:01:23-00:00:21]  (Local) -> (LOCAL)[3]STTARLO: ahora a donde voy?
[2021:01:23-00:00:22]  (Global) -> JuanFelipeVT[GT]: ok
[2021:01:23-00:00:23]  (Global) -> MORA[ak]: HABLAME
[2021:01:23-00:00:23]  (Local) -> (LOCAL)[4]Jolines|2cb: q te bajes pa
[2021:01:23-00:00:23]  (Local) -> (LOCAL)[8]francovillar|AK|: ABMOS ASER UN VENTO
[2021:01:23-00:00:24]  (Local) -> (LOCAL)[1]Buitre[2cB]: vida marica
[2021:01:23-00:00:24]  (Local) -> (LOCAL)[8]#7F7F7F|ADM||LG|#FF8C00|El[Gocho]|: QUEDENSE JUNTOOOOS
[2021:01:23-00:00:25]  (Local) -> (LOCAL)[8][I]ceWipe~|AK|: si no es de pvp tons no
[2021:01:23-00:00:25]  (Local) -> (LOCAL)[4]LocaHp: nosr
[2021:01:23-00:00:27]  (Local) -> (LOCAL)[7]RodrigoIAKI: cuando nos vuelves a pagar
[2021:01:23-00:00:28]  (Local) -> (LOCAL)[4]LocaHp: no soy violento
[2021:01:23-00:00:28]  (Local) -> (LOCAL)[7]francovillar|AK|: BAMOS
[2021:01:23-00:00:29]  (Global) -> alfonso: qn fue el hp q me abrio el baúl
[2021:01:23-00:00:31]  (Global) -> LocaHp:  ( ͡ ͡°  ͜ ʖ ͡ ͡°)
[2021:01:23-00:00:32]  (Local) -> (LOCAL)[4]Jolines|2cb: que te van a buscar droga en el ano
[2021:01:23-00:00:35]  (Global) -> MORA[ak]: YA VOY
[2021:01:23-00:00:35]  (Local) -> (LOCAL)[4]LocaHp: uy kieto
[2021:01:23-00:00:36]  (Local) -> (LOCAL)[7]2cbSamuelorland: costeño
[2021:01:23-00:00:38]  (Local) -> (LOCAL)[4]LocaHp: jjijiji
[2021:01:23-00:00:39]  (Local) -> (LOCAL)[7]RodrigoIAKI: donde
