This file was generated by Console at 2021:01:26-00:00:00



[2021:01:26-00:00:00]  (Local) -> (LOCAL)[1]SffOquez|6969.: x2
[2021:01:26-00:00:02]  (Local) -> (LOCAL)[6]Woch|2cb: vaya haga lo suup
[2021:01:26-00:00:03]  (Local) -> (LOCAL)[2]Wolfuser[GT]: que mas
[2021:01:26-00:00:05]  (Global) -> [Ak]ElFlechas: tombos hptas
[2021:01:26-00:00:06]  (Local) -> (LOCAL)[7]Woch|2cb: suyo
[2021:01:26-00:00:07]  (Global) -> (RCA)SrYanpool: ese hijueputa de ricardo estaba matando camelladores
[2021:01:26-00:00:08]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: bn y tu
[2021:01:26-00:00:08]  (Global) -> (Z)(SANTIAGO): uff
[2021:01:26-00:00:09]  (Local) -> (LOCAL)[2]Wolfuser[GT]: que hacen por aca jovenes
[2021:01:26-00:00:10]  (Global) -> (RCA)SrYanpool: tombo hijueputa tonto 
[2021:01:26-00:00:10]  (Local) -> (LOCAL)[5]La-Quica|SICARIO|2cb|: pero entran 4 aca pa
[2021:01:26-00:00:10]  (Local) -> (LOCAL)[5]|don|jimenez..|z|: quica vamos
[2021:01:26-00:00:11]  (Global) -> [Ak]ElFlechas: perrros remalparidos
[2021:01:26-00:00:12]  (Global) -> (Z)(SANTIAGO): uff
[2021:01:26-00:00:12]  (Global) -> DonChimbo|AUC: casi
[2021:01:26-00:00:13]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: a
[2021:01:26-00:00:14]  (Local) -> (LOCAL)[1]Kevin: epa
[2021:01:26-00:00:18]  (Local) -> (LOCAL)[7]La-Quica|SICARIO|2cb|: usted diga donde pa
[2021:01:26-00:00:18]  (Local) -> (LOCAL)[1]++++Spiff.Alqaedas: espera activo mods
[2021:01:26-00:00:19]  (Global) -> (Z)(SANTIAGO): xd
[2021:01:26-00:00:19]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: preparando un rodaje
[2021:01:26-00:00:21]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: y tu
[2021:01:26-00:00:22]  (Local) -> (LOCAL)[1]Kevin: dele pa
[2021:01:26-00:00:23]  (Local) -> (LOCAL)[5]2cb'dilan: ya me activo los hacks
[2021:01:26-00:00:24]  (Local) -> (LOCAL)[7]|don|jimenez..|z|: n impor ta vamosss
[2021:01:26-00:00:24]  (Local) -> (LOCAL)[2]ChintzierSky68|GT: buenos dias tardes o noches
[2021:01:26-00:00:25]  (Local) -> (LOCAL)[1]Kevin: relajado
[2021:01:26-00:00:25]  (Local) -> (LOCAL)[5]2cb'dilan: espereme
[2021:01:26-00:00:25]  (Local) -> (LOCAL)[1][Perico~|GT]: ufffff re lag espere
[2021:01:26-00:00:25]  (Local) -> (LOCAL)[2]Wolfuser[GT]: a ok ok
[2021:01:26-00:00:27]  (Global) -> (Z)(SANTIAGO): dele diler 1
[2021:01:26-00:00:27]  (Local) -> (LOCAL)[5]Pinino|AK|: a
[2021:01:26-00:00:29]  (Local) -> (LOCAL)[7]|don|jimenez..|z|: va,os rolar
[2021:01:26-00:00:30]  (Local) -> (LOCAL)[1]GOMITA0810: aja
[2021:01:26-00:00:30]  (Local) -> (LOCAL)[7]La-Quica|SICARIO|2cb|: esoo
[2021:01:26-00:00:31]  (Local) -> (LOCAL)[2]Wolfuser[GT]: esta mata de que es?
[2021:01:26-00:00:33]  (Local) -> (LOCAL)[4]Cagaleto[EVG]: Uy se esta entrecortando
[2021:01:26-00:00:38]  (Global) -> (Z)(SANTIAGO): jejeje
[2021:01:26-00:00:41]  (Local) -> (LOCAL)[1][Perico~|GT]: ff re lag
[2021:01:26-00:00:42]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Gocho|Ak|: pabl0
[2021:01:26-00:00:42]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: sabrá dios
[2021:01:26-00:00:44]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|~CuriosoParedAgachada: ArielPnot"sayayin ya?
[2021:01:26-00:00:44]  (Local) -> (LOCAL)[2]ChintzierSky68|GT: la de usted
[2021:01:26-00:00:44]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF8C00Gocho|Ak|: entrara?
[2021:01:26-00:00:45]  (Local) -> (LOCAL)[3]Cagaleto[EVG]: si ahi
[2021:01:26-00:00:46]  (Global) -> ArielPnot"sayayin: ya listo admi
[2021:01:26-00:00:46]  (Local) -> (LOCAL)[3]Andres~|GT: esta bien
[2021:01:26-00:00:48]  (Local) -> (LOCAL)[4]Weed'2cb: te van a volar xd
[2021:01:26-00:00:48]  (Local) -> (LOCAL)[3]Esteban|AK|: holas quieres ser mi amigo?
[2021:01:26-00:00:49]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: esto no es mio
[2021:01:26-00:00:49]  (Local) -> (LOCAL)[2]Wolfuser[GT]: ajaja
[2021:01:26-00:00:49]  (Local) -> (LOCAL)[2]ChintzierSky68|GT: yo lo escucho bien
