This file was generated by Console at 2021:02:04-00:00:00



[2021:02:04-00:00:00]  (Local) -> (LOCAL)[1]manuuwu: q
[2021:02:04-00:00:02]  (Global) -> jeferuwu'2cb: hola turfean?
[2021:02:04-00:00:03]  (Global) -> caliche0202: NRG-500
[2021:02:04-00:00:04]  (Local) -> (LOCAL)[2]Itachi: denoi
[2021:02:04-00:00:06]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Reizer|2cB: ya veo por que compran vip jaja
[2021:02:04-00:00:08]  (Local) -> (LOCAL)[5]Rossi: y mi novio? donde eesta ?
[2021:02:04-00:00:08]  (Local) -> (LOCAL)[2]Itachi: como se saca el cel?
[2021:02:04-00:00:09]  (Local) -> (LOCAL)[0]CrhnoCrusade: afuera hay 2 tipos esperandome
[2021:02:04-00:00:09]  (Global) -> MENORMAYOR$AK$: una pregunta donde llevo la moto pa que se mas rapida??
[2021:02:04-00:00:10]  (Global) -> caliche0202: NORMAL VALE 5 PALOS
[2021:02:04-00:00:12]  (Local) -> (LOCAL)[1]Strange|2cb: OBVIO
[2021:02:04-00:00:13]  (Local) -> (LOCAL)[2]DENII|CAPU|: f3
[2021:02:04-00:00:14]  (Local) -> (LOCAL)[3]Feid"_RCA): el patron está en el banco
[2021:02:04-00:00:14]  (Local) -> (LOCAL)[1]Strange|2cb: PERA
[2021:02:04-00:00:15]  (Global) -> Alexiss: SAPA HPTA
[2021:02:04-00:00:17]  (Local) -> (LOCAL)[1][ALQ]HorseMan: mire el whatsap pa
[2021:02:04-00:00:19]  (Global) -> Onomatopeya: Ya pegue el link, pero no suena ni nada
[2021:02:04-00:00:21]  (Local) -> (LOCAL)[1]El_cicatriz[ALQ]: ya
[2021:02:04-00:00:21]  (Local) -> (LOCAL)[3]Rossi: :(
[2021:02:04-00:00:21]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: MENORMAYOR$AK$ en los santos cumstons 
[2021:02:04-00:00:27]  (Local) -> (LOCAL)[1]manuuwu: hay dos q
[2021:02:04-00:00:27]  (Local) -> (LOCAL)[1]CrhnoCrusade: olvidalo se fueron xd
[2021:02:04-00:00:29]  (Local) -> (LOCAL)[3]RayoMcqueen: oe nea
[2021:02:04-00:00:34]  (Global) -> Flaco|2cb: Vendo lamboo por 9 millones
[2021:02:04-00:00:35]  (Local) -> (LOCAL)[1]El_cicatriz[ALQ]: pere y activo mods
[2021:02:04-00:00:35]  (Global) -> edv9: si se puede poner musica de youtube en los bafles?
[2021:02:04-00:00:36]  (Global) -> Alexiss: oe porque tanto lag ?
[2021:02:04-00:00:36]  (Phone:SMS) -> From C4M1L0PR0C4P | To: Itachi | Message: MLADITOOOOOOOOOOOOOO
[2021:02:04-00:00:38]  (Local) -> (LOCAL)[1]CrhnoCrusade: es que mate a uno por dinero
[2021:02:04-00:00:39]  (Local) -> (LOCAL)[2]Itachi: abrelo DX
[2021:02:04-00:00:40]  (Local) -> (LOCAL)[1][ALQ]HorseMan: ok
[2021:02:04-00:00:41]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Alexiss eres tu
[2021:02:04-00:00:48]  (Local) -> (LOCAL)[8]cabuyo-chirri: manes tan payasos
[2021:02:04-00:00:51]  (Local) -> (LOCAL)[6]andrye: este es el trabajo que mejr paga pato
