This file was generated by Console at 2021:02:09-00:00:01



[2021:02:09-00:00:01]  (Global) -> Jaguer_YT(RCA): parcero
[2021:02:09-00:00:02]  (Local) -> (LOCAL)[14]#7F7F7F|ADM|#FF5C00Orgalor|AUC: q paso?
[2021:02:09-00:00:02]  (Local) -> (LOCAL)[3]Loca.I."2cb: asi te sale el vip diamond a 8k
[2021:02:09-00:00:02]  (Local) -> (LOCAL)[10]ElFlechas[ak]: jack
[2021:02:09-00:00:03]  (Global) -> ColombianRobot[2cb]: tolo teli
[2021:02:09-00:00:04]  (Global) -> Jaguer_YT(RCA): lo mataron
[2021:02:09-00:00:06]  (Local) -> (LOCAL)[1]Buitre[2aucB]: que vuelta tan gay
[2021:02:09-00:00:07]  (Local) -> (LOCAL)[3]COSCULLUELA"2cb: amm
[2021:02:09-00:00:07]  (Local) -> (LOCAL)[1]SebasPB: ah
[2021:02:09-00:00:08]  (Global) -> UPRICEDGAMER: eso me laegra voy estar afk 2 min
[2021:02:09-00:00:08]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA): AHHHHHHHHHHHHHH
[2021:02:09-00:00:09]  (Local) -> (LOCAL)[14]#7F7F7F|ADM|#FF5C00Orgalor|AUC: :v
[2021:02:09-00:00:09]  (Local) -> (LOCAL)[1]Petrobb|2cb: xddd
[2021:02:09-00:00:09]  (Local) -> (LOCAL)[11]DIPOL|Sendobeta: a que lo reporto
[2021:02:09-00:00:09]  (Local) -> (LOCAL)[1]JACK: ta dura
[2021:02:09-00:00:11]  (Local) -> (LOCAL)[1]Petrobb|2cb: vamos ps
[2021:02:09-00:00:11]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA): YA Q
[2021:02:09-00:00:14]  (Local) -> (LOCAL)[15]#7F7F7F|ADM|#FF5C00Orgalor|AUC: solo lo abre bala
[2021:02:09-00:00:15]  (Local) -> (LOCAL)[5]COSCULLUELA"2cb: y cuando es eso
[2021:02:09-00:00:15]  (Local) -> (LOCAL)[1]Petrobb|2cb: oe que le mire pues la jeta
[2021:02:09-00:00:16]  (Local) -> (LOCAL)[5]Loca.I."2cb: ahora le preguntas a tussy el te explica mejor
[2021:02:09-00:00:16]  (Local) -> (LOCAL)[1]JACK: bueno
[2021:02:09-00:00:17]  (Local) -> (LOCAL)[1]piltrafa|2cb|: quiere entrar
[2021:02:09-00:00:18]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA): GRACIAS PAI
[2021:02:09-00:00:20]  (Local) -> (LOCAL)[5]COSCULLUELA"2cb: va
[2021:02:09-00:00:21]  (Global) -> Jaguer_YT(RCA): policia
[2021:02:09-00:00:22]  (Local) -> (LOCAL)[1]Buitre[2aucB]: voy
[2021:02:09-00:00:23]  (Global) -> (SANTIAGO)(Z): aqui
[2021:02:09-00:00:23]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA): MANO ANDO EN EL RCA
[2021:02:09-00:00:24]  (Global) -> Carlos_Escobar: oe
[2021:02:09-00:00:25]  (Local) -> (LOCAL)[5]Loca.I."2cb: ah
[2021:02:09-00:00:26]  (Local) -> (LOCAL)[4]Loca.I."2cb: y dale
[2021:02:09-00:00:27]  (Local) -> (LOCAL)[1]piltrafa|2cb|: y
[2021:02:09-00:00:29]  (Local) -> (LOCAL)[4]Loca.I."2cb: /skingang 2
[2021:02:09-00:00:30]  (Global) -> (SANTIAGO)(Z): es orgalor
[2021:02:09-00:00:30]  (Global) -> ZEUS: ADMIN VENI
[2021:02:09-00:00:31]  (Local) -> (LOCAL)[16]JACK: que valla
[2021:02:09-00:00:32]  (Global) -> #7F7F7F|ADM|#FF5C00Orgalor|AUC: solo puede abrirlo Balaclav
[2021:02:09-00:00:32]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA): SI ME FUERA DICHO PRIMERO SIKS
[2021:02:09-00:00:34]  (Global) -> Carlos_Escobar: donde queda el cine
[2021:02:09-00:00:36]  (Local) -> (LOCAL)[16]JACK: donde katy
[2021:02:09-00:00:37]  (Local) -> (LOCAL)[1]Orion||CAPU: ey pa
[2021:02:09-00:00:38]  (Local) -> (LOCAL)[1]Sou^lder]: soltame
[2021:02:09-00:00:38]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA): PERO YA NO
[2021:02:09-00:00:38]  (Global) -> ZEUS: CURIOSIN
[2021:02:09-00:00:39]  (Global) -> (SANTIAGO)(Z): jajajaja
[2021:02:09-00:00:41]  (Local) -> (LOCAL)[1]Orion||CAPU: lo voy a reportar
[2021:02:09-00:00:41]  (Global) -> #7F7F7F|ADM|#FF5C00Orgalor|AUC: yo no puedo ni ningun otro staff
[2021:02:09-00:00:42]  (Local) -> (LOCAL)[1]Buitre[2aucB]: ya voy
[2021:02:09-00:00:44]  (Global) -> (SANTIAGO)(Z): buena patron
[2021:02:09-00:00:45]  (Local) -> (LOCAL)[1]piltrafa|2cb|: aahhh
[2021:02:09-00:00:46]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA): GRACIAS AUN ASI
[2021:02:09-00:00:46]  (Local) -> (LOCAL)[14]JACK: nose patron
[2021:02:09-00:00:47]  (Local) -> (LOCAL)[1]Buitre[2aucB]: ay ome
[2021:02:09-00:00:49]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG|: 12 lucas ajaja
[2021:02:09-00:00:51]  (Global) -> #7F7F7F|ADM|#FF5C00Orgalor|AUC: ya que es un recurso del servido
[2021:02:09-00:00:52]  (Global) -> DemoliZM~|GT: bonitos admins tenemos
[2021:02:09-00:00:52]  (Global) -> ZEUS: CURIOSIN VENI PLIS
[2021:02:09-00:00:53]  (Local) -> (LOCAL)[1]Buitre[2aucB]: que pena
[2021:02:09-00:00:56]  (Local) -> (LOCAL)[1]Rossi: dejese conquistar de jack
[2021:02:09-00:00:58]  (Local) -> (LOCAL)[1]Rossi: plisss
[2021:02:09-00:01:00]  (Local) -> (LOCAL)[1]Buitre[2aucB]: no pa
[2021:02:09-00:01:00]  (Local) -> (LOCAL)[1]piltrafa|2cb|: bueno pero jum rechazo a 2cb jajajaj
[2021:02:09-00:01:03]  (Local) -> (LOCAL)[1]Rossi: tu sabes por que
[2021:02:09-00:01:07]  (Local) -> (LOCAL)[1]Petrobb|2cb: pena de k
