This file was generated by Console at 2021:02:10-00:00:01



[2021:02:10-00:00:01]  (Global) -> (SANTIAGO)(Z): ok´
[2021:02:10-00:00:02]  (Local) -> (LOCAL)[1]Cagaleto|EVG|: VENGA
[2021:02:10-00:00:04]  (Local) -> (LOCAL)[1]Petrobb|2cb: vea que con el vip esmeralda, esta chatarra guarachera cogeria 320
[2021:02:10-00:00:05]  (Local) -> (LOCAL)[5]DonCuadros[AK]: auch
[2021:02:10-00:00:08]  (Local) -> (LOCAL)[2]Cagaleto|EVG|: LE ENSEÑO UN TRUCO
[2021:02:10-00:00:10]  (Global) -> GustavoPetro(RCA): don pablo es aca al lado
[2021:02:10-00:00:11]  (Global) -> Popeye_Vasques(RCA):  oeee coscu venga
[2021:02:10-00:00:11]  (Local) -> (LOCAL)[6]DonCuadros[AK]: que es esa agresividad
[2021:02:10-00:00:11]  (Global) -> Spider-Man: que este amor todo lo que quiero darte 
[2021:02:10-00:00:11]  (Local) -> (LOCAL)[1]M01S|2cb: pa la cana entonces
[2021:02:10-00:00:12]  (Local) -> (LOCAL)[13]Brahian'2cb: deosen
[2021:02:10-00:00:13]  (Team - Criminals) -> (TEAM)DonChimbo|AUC: qqqq
[2021:02:10-00:00:13]  (Global) -> Popeye_Vasques(RCA): ahahahah
[2021:02:10-00:00:14]  (Global) -> Chirrete_Periquero: no me deja
[2021:02:10-00:00:14]  (Local) -> (LOCAL)[8]alias_topo[ELN]: tengo q ponerme la skin
[2021:02:10-00:00:15]  (Local) -> (LOCAL)[1]Petrobb|2cb: una bala queda
[2021:02:10-00:00:17]  (Local) -> (LOCAL)[14]Brahian'2cb: deosen veni
[2021:02:10-00:00:18]  (Local) -> (LOCAL)[5]SALCHIPAPERO(RCA): hpta ese
[2021:02:10-00:00:18]  (Global) -> (SANTIAGO)(Z): yo
[2021:02:10-00:00:19]  (Global) -> LonelyLeeks65: espera
[2021:02:10-00:00:20]  (Local) -> (LOCAL)[14]Brahian'2cb: deosen veni
[2021:02:10-00:00:23]  (Local) -> (LOCAL)[14]Brahian'2cb: porfa
[2021:02:10-00:00:25]  (Local) -> (LOCAL)[10]alias_topo[ELN]: pero no tengo plata para ella
[2021:02:10-00:00:25]  (Local) -> (LOCAL)[14]JACK: nos fuimos happy
[2021:02:10-00:00:26]  (Local) -> (LOCAL)[4]namepape163: que truco
[2021:02:10-00:00:27]  (Global) -> COSCULLUELA"2cb:  espere que no me deja mover esta chimbada
[2021:02:10-00:00:27]  (Local) -> (LOCAL)[2]manchita(2cb): uy sapo hp
[2021:02:10-00:00:28]  (Local) -> (LOCAL)[2]Randyy|Z|: subase
[2021:02:10-00:00:29]  (Global) -> SgtoBigotes: ahora si digame como hablo
[2021:02:10-00:00:29]  (Local) -> (LOCAL)[2]Mojarra: mijo
[2021:02:10-00:00:30]  (Local) -> (LOCAL)[2]Petrobb|2cb: sisa
[2021:02:10-00:00:31]  (Global) -> GustavoPetro(RCA): diganel a don pablo que es aca al lado
[2021:02:10-00:00:31]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF5C00Llanerito'ELN': te lo pongo o?
[2021:02:10-00:00:32]  (Local) -> (LOCAL)[5]SALCHIPAPERO(RCA): mano todos mis hptas carros se me dañaron
[2021:02:10-00:00:32]  (Local) -> (LOCAL)[5]Popeye_Vasques(RCA): malparido salchipapero
