This file was generated by Console at 2021:02:12-00:00:00



[2021:02:12-00:00:00]  (Global) -> AttractiveDunebuggy54: socio
[2021:02:12-00:00:01]  (Team - Services) -> (TEAM)piroberta666: /net
[2021:02:12-00:00:02]  (Local) -> (LOCAL)[1]G4(2cB): matemolo
[2021:02:12-00:00:02]  (Local) -> (LOCAL)[1]Oconner'2cb: cucho pero usted que carro ve
[2021:02:12-00:00:03]  (Local) -> (LOCAL)[8](!POPPER!)(GT): sias ago 3 palos diarios minimo 6 dias
[2021:02:12-00:00:06]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: a ud lo han baneado dos veces por ese caso
[2021:02:12-00:00:07]  (Local) -> (LOCAL)[1]NutritiousAnteater34: OS SABES
[2021:02:12-00:00:09]  (Global) -> Reyks: a donde voy?
[2021:02:12-00:00:09]  (Local) -> (LOCAL)[3]COSCULLUELA: algun reclutador del 2cb me sacaron :C
[2021:02:12-00:00:09]  (Local) -> (LOCAL)[1]YisussHDg: man
[2021:02:12-00:00:10]  (Global) -> Fabius'2cB: 12 negociables
[2021:02:12-00:00:11]  (Local) -> (LOCAL)[1]elHPdelNICO(RCA): US ESCUCHA LA MUSICA?
[2021:02:12-00:00:11]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: 1 por meterse con la novia
[2021:02:12-00:00:13]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': pero si el es un hpta indio juaibo
[2021:02:12-00:00:14]  (Local) -> (LOCAL)[9](!POPPER!)(GT): y si piedo hacer mas diario l ago
[2021:02:12-00:00:15]  (Local) -> (LOCAL)[1]Javi'ELN': hagale
[2021:02:12-00:00:15]  (Global) -> AttractiveDunebuggy54: nd
[2021:02:12-00:00:15]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': ay q
[2021:02:12-00:00:17]  (Local) -> (LOCAL)[9]Woch|2cb: en que lo haces
[2021:02:12-00:00:17]  (Global) -> Cagaleto|EVG|: VENDO HOTRING RACER 1 (LAMBO(
[2021:02:12-00:00:18]  (Global) -> NutritiousAnteater34: QUE?
[2021:02:12-00:00:18]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: y la 2 si no cual es
[2021:02:12-00:00:20]  (Global) -> JuanPablo?|2cB|: noo se me acabo el vip :,
[2021:02:12-00:00:21]  (Local) -> (LOCAL)[1]petrohp963: gracias socio
[2021:02:12-00:00:21]  (Global) -> JustFreseoo|ELN: oe perico
[2021:02:12-00:00:21]  (Global) -> Cagaleto|EVG|: A
[2021:02:12-00:00:23]  (Global) -> Samantha~2Aucb: donde estas pa verlo
[2021:02:12-00:00:24]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': si el le dice a cogoyin asi
[2021:02:12-00:00:24]  (Local) -> (LOCAL)[1]Oconner'2cb: que carro ve usted
[2021:02:12-00:00:25]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: nea pues sea o no
[2021:02:12-00:00:25]  (Local) -> (LOCAL)[2]Tabares[EVG]: muy lentos
[2021:02:12-00:00:27]  (Local) -> (LOCAL)[1]DarkMagicSF'ELN': todo bien perri
[2021:02:12-00:00:28]  (Local) -> (LOCAL)[3]JavierRD(AK): (SANTIAGO)(Z)
[2021:02:12-00:00:28]  (Global) -> maicol(RCA): jajajaja
[2021:02:12-00:00:28]  (Global) -> JustFreseoo|ELN: mostrame los rines del tuyo
[2021:02:12-00:00:30]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: no tienen porq meterse con el
[2021:02:12-00:00:30]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': nosotros tambien
[2021:02:12-00:00:30]  (Local) -> (LOCAL)[9]Woch|2cb: sisa entiendo
[2021:02:12-00:00:31]  (Phone:SMS) -> From phillip$Baby$ | To: Chancleta|$Baby$ | Message: oe mano
[2021:02:12-00:00:31]  (Local) -> (LOCAL)[1]JuanPablo?|2cB|: estan sin tunear
[2021:02:12-00:00:31]  (Local) -> (LOCAL)[9](!POPPER!)(GT): bro en busetero y en rappy
[2021:02:12-00:00:33]  (Global) -> NutritiousAnteater34: COMO ASI
[2021:02:12-00:00:33]  (Local) -> (LOCAL)[2]Marceljose: hola
[2021:02:12-00:00:34]  (Global) -> YisussHDg: donde estas?
[2021:02:12-00:00:36]  (Global) -> Fabius'2cB: veamonos en central
[2021:02:12-00:00:36]  (Local) -> (LOCAL)[2]Marceljose: paz
[2021:02:12-00:00:38]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': asi q decile a ese indio que deje de llorar
[2021:02:12-00:00:39]  (Local) -> (LOCAL)[9]Woch|2cb: yeah
[2021:02:12-00:00:39]  (Local) -> (LOCAL)[1]JuanPablo?|2cB|: ademas tu tienes vip esmeralda
[2021:02:12-00:00:40]  (Global) -> ALGARETE/CHIRRI/: q hizo
[2021:02:12-00:00:41]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: tonses el si puede meterse conmigo ?
[2021:02:12-00:00:41]  (Global) -> Aspiriina||2CB||: ish esta muy melisimo 
[2021:02:12-00:00:43]  (Local) -> (LOCAL)[2]Marceljose: bonito carro brod
[2021:02:12-00:00:43]  (Local) -> (LOCAL)[1]Javi'ELN': anda en un ferrari
[2021:02:12-00:00:43]  (Local) -> (LOCAL)[10]JustFreseoo|ELN: yo quiero probar me dejas?
[2021:02:12-00:00:43]  (Local) -> (LOCAL)[1]JuanPablo?|2cB|: puedes handlear
[2021:02:12-00:00:45]  (Local) -> (LOCAL)[1]JuanPablo?|2cB|: xd
[2021:02:12-00:00:46]  (Local) -> (LOCAL)[1]JavierRD(AK): oe
[2021:02:12-00:00:46]  (Global) -> COSCULLUELA: nose
[2021:02:12-00:00:48]  (Global) -> Carlos_Escobar: FEAR NIÑO RATA+
[2021:02:12-00:00:49]  (Global) -> Reyks: en la central 
[2021:02:12-00:00:49]  (Local) -> (LOCAL)[1]Tabares[EVG]: no me pareen muy raros
[2021:02:12-00:00:49]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: bueno entonces ud tambien puede reportar eso
[2021:02:12-00:00:50]  (Local) -> (LOCAL)[1]Oconner'2cb: bro cuando le vaya a hablar a los que esten cerquita
[2021:02:12-00:00:51]  (Local) -> (LOCAL)[8]Cristina-2cB: sali pues loka
[2021:02:12-00:00:51]  (Local) -> (LOCAL)[9](!POPPER!)(GT): entonces brother confias en mi o no
[2021:02:12-00:00:52]  (Global) -> COSCULLUELA:  de un momento a otro
[2021:02:12-00:00:52]  (Local) -> (LOCAL)[1]JorgeOchoa: Carlos Ticora
[2021:02:12-00:00:53]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: si le da mucha pereza
[2021:02:12-00:00:54]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': que ya esta lo demasiado grande para q se ''ofenda'' por decirle indio
[2021:02:12-00:00:55]  (Local) -> (LOCAL)[4]JuanPablo?|2cB|: ojo
[2021:02:12-00:00:55]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: abrir tiket
[2021:02:12-00:00:56]  (Global) -> COSCULLUELA: ya no estaba
[2021:02:12-00:00:56]  (Local) -> (LOCAL)[8](!POPPER!)(GT): yo soy palabra de hombre pss
[2021:02:12-00:00:56]  (Global) -> ALGARETE/CHIRRI/: vuelvase piloto
[2021:02:12-00:00:57]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': a un indio
[2021:02:12-00:00:57]  (Local) -> (LOCAL)[1]Oconner'2cb: abra el chat con la U no con la T
[2021:02:12-00:00:59]  (Phone:SMS) -> From Chancleta|$Baby$ | To: phillip$Baby$ | Message: dime?
[2021:02:12-00:01:00]  (Local) -> (LOCAL)[8]Woch|2cb: bueno mano
[2021:02:12-00:01:00]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: puede ver a un staff online
[2021:02:12-00:01:01]  (Local) -> (LOCAL)[9](!POPPER!)(GT): toma pantallasos pss
[2021:02:12-00:01:03]  (Phone:SMS) -> From Chancleta|$Baby$ | To: phillip$Baby$ | Message: ya tienes discord?
[2021:02:12-00:01:04]  (Local) -> (LOCAL)[1]NutritiousAnteater34: JAJAJA
[2021:02:12-00:01:04]  (Global) -> YisussHDg: voy alla
[2021:02:12-00:01:04]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: y comentarle el caso
[2021:02:12-00:01:04]  (Local) -> (LOCAL)[2]JuanPablo?|2cB|: si son rares
[2021:02:12-00:01:07]  (Global) -> Reyks: okas
[2021:02:12-00:01:07]  (Phone:SMS) -> From Chancleta|$Baby$ | To: phillip$Baby$ | Message: pasamlo por aquí
[2021:02:12-00:01:08]  (Local) -> (LOCAL)[2]JuanPablo?|2cB|: preguntale a un admin
[2021:02:12-00:01:09]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: si quiere expliqueme q es lo q pasa
[2021:02:12-00:01:11]  (Global) -> Carlos_Escobar: OE
[2021:02:12-00:01:11]  (Local) -> (LOCAL)[1]NutritiousAnteater34: QUE GAY YO
[2021:02:12-00:01:12]  (Local) -> (LOCAL)[2]JuanPablo?|2cB|: este hay pocos
[2021:02:12-00:01:14]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: y pongo manos en eso
[2021:02:12-00:01:14]  (Local) -> (LOCAL)[1]Oconner'2cb: con la T solo pa cuando vaya a poner comandos
[2021:02:12-00:01:17]  (Local) -> (LOCAL)[9](!POPPER!)(GT): pero no te voy a quedar mal
[2021:02:12-00:01:19]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: yo ya hable con gocho
[2021:02:12-00:01:19]  (Local) -> (LOCAL)[9]Woch|2cb: echese sangre
[2021:02:12-00:01:21]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: sobre eso
[2021:02:12-00:01:22]  (Local) -> (LOCAL)[1]Oconner'2cb: o a preguntar algo si sabe
[2021:02:12-00:01:24]  (Local) -> (LOCAL)[3]JuanPablo?|2cB|: y del otro tambi8en
[2021:02:12-00:01:25]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': es mejor explicar por llamda
[2021:02:12-00:01:25]  ([Msg] de eJdexxx-ELN para Levi: hagame tp) -> nil
[2021:02:12-00:01:26]  (Local) -> (LOCAL)[3]Aspiriina||2CB||: saquele el top
[2021:02:12-00:01:27]  (Local) -> (LOCAL)[10](!POPPER!)(GT): vamos pss
[2021:02:12-00:01:27]  (Local) -> (LOCAL)[1]JavierRD(AK): oe pa
[2021:02:12-00:01:29]  (Local) -> (LOCAL)[1]Pinina.(2cb): QUE DICE MI OAOA
[2021:02:12-00:01:29]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': entra a la llamda?
[2021:02:12-00:01:29]  (Local) -> (LOCAL)[4]Spcem'ELN: Soluciones no más problemas pls
[2021:02:12-00:01:30]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: nea porq es un juego de 2004 y que haya tanta peleadera es lo maluco
[2021:02:12-00:01:31]  (Local) -> (LOCAL)[1]NutritiousAnteater34: AHH BREE
[2021:02:12-00:01:32]  ([Msg] de eJdexxx-ELN para Levi: hagame tp) -> nil
[2021:02:12-00:01:32]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00JUAN_RUIZ[ELN]: oe
[2021:02:12-00:01:32]  (Local) -> (LOCAL)[3]JuanPablo?|2cB|: como fue
[2021:02:12-00:01:34]  (Local) -> (LOCAL)[9](!POPPER!)(GT): ven
[2021:02:12-00:01:35]  (Local) -> (LOCAL)[3]JuanPablo?|2cB|: entonces
[2021:02:12-00:01:35]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: peren ps
[2021:02:12-00:01:36]  (Local) -> (LOCAL)[1]Javi'ELN': donde estara
[2021:02:12-00:01:37]  (Local) -> (LOCAL)[3]JuanPablo?|2cB|: nada?
[2021:02:12-00:01:37]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00JUAN_RUIZ[ELN]: diga
[2021:02:12-00:01:38]  (Local) -> (LOCAL)[1]Oconner'2cb: yo creo q vos no tenes los mods activados
[2021:02:12-00:01:38]  (Local) -> (LOCAL)[1]JavierRD(AK): todo bien pa
[2021:02:12-00:01:38]  (Global) -> Randy'sayayin: awssmwa
[2021:02:12-00:01:39]  (Local) -> (LOCAL)[3]Perico-|GT]: le vendo este
[2021:02:12-00:01:39]  (Local) -> (LOCAL)[1]Pinina.(2cb): que se dice tiempo sin velo
[2021:02:12-00:01:40]  (Local) -> (LOCAL)[3]ElTrakegunz2cb: a
[2021:02:12-00:01:40]  (Local) -> (LOCAL)[4]JUAN-AA'ELN': ya lo inv
[2021:02:12-00:01:40]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: vean mientars tanto
[2021:02:12-00:01:44]  (Local) -> (LOCAL)[1]NutritiousAnteater34: Y LA FINCA?
[2021:02:12-00:01:44]  (Local) -> (LOCAL)[1]pulidusk'2cb: perdon
[2021:02:12-00:01:47]  (Local) -> (LOCAL)[1]Oconner'2cb: ust si pilla una toyota hilux??
[2021:02:12-00:01:48]  (Global) -> SffOquez6969: ey cris
[2021:02:12-00:01:48]  (Local) -> (LOCAL)[3]JustFreseoo|ELN: bb
[2021:02:12-00:01:50]  (Global) -> DesertedSunbonnet48: geronimo peña
[2021:02:12-00:01:50]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: les metere la sancioon por el rol
[2021:02:12-00:01:50]  (Local) -> (LOCAL)[3]Perico-|GT]: necesito luka
[2021:02:12-00:01:50]  (Local) -> (LOCAL)[1]JavierRD(AK): usted se pierde
[2021:02:12-00:01:51]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00JUAN_RUIZ[ELN]: en cuanto
[2021:02:12-00:01:52]  (Local) -> (LOCAL)[1]Pinina.(2cb): no me diga que esta con pablo jajaj
[2021:02:12-00:01:52]  (Local) -> (LOCAL)[1]ElTrakegunz2cb: a
[2021:02:12-00:01:53]  (Local) -> (LOCAL)[3]JustFreseoo|ELN: cuales son esos rines
[2021:02:12-00:01:53]  (Local) -> (LOCAL)[1]NutritiousAnteater34: NONAS
