This file was generated by Console at 2021:03:24-00:00:00



[2021:03:24-00:00:00]  (Local) -> (LOCAL)[3]Niche~CaPu: quitese
[2021:03:24-00:00:05]  (Local) -> (LOCAL)[1]COCO|CRAZ$: si mano
[2021:03:24-00:00:05]  (Local) -> (LOCAL)[4]Papo_Brr[RCA]: dime
[2021:03:24-00:00:06]  (Local) -> (LOCAL)[3]SALCHIPAPERO(RCA)[p]: papo pelalo
[2021:03:24-00:00:08]  (Local) -> (LOCAL)[3]Papo_Brr[RCA]: jsjs
[2021:03:24-00:00:08]  (Local) -> (LOCAL)[3]Machete_Loco: que pasa
[2021:03:24-00:00:10]  (Global) -> XxBastianoxX: ok voy a ir al hospital
[2021:03:24-00:00:11]  (Local) -> (LOCAL)[3]SALCHIPAPERO(RCA)[p]: al machete
[2021:03:24-00:00:13]  (Global) -> brandonjose: OCONNEEEEEEERR
[2021:03:24-00:00:14]  (Global) -> Peyeta[2cb]: VENDO WINDSOR
[2021:03:24-00:00:16]  (Local) -> (LOCAL)[3]Niche~CaPu: deje de molestar sapo
[2021:03:24-00:00:16]  (Local) -> (LOCAL)[5]Stivenv28~|PEPEGAN: no le dispare
[2021:03:24-00:00:17]  (Local) -> (LOCAL)[3]Papo_Brr[RCA]: aaa jsjsjs
[2021:03:24-00:00:20]  (Local) -> (LOCAL)[2]Soltec|EVG|: a
[2021:03:24-00:00:23]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: hacele
[2021:03:24-00:00:29]  (Local) -> (LOCAL)[2]Papo_Brr[RCA]: oe aca necesito ir al banco
[2021:03:24-00:00:30]  (Local) -> (LOCAL)[2]Soltec|EVG|: pere ya lo suelto mor
[2021:03:24-00:00:32]  (Global) -> XxBastianoxX: ok voy a ir al hospital
[2021:03:24-00:00:34]  (Local) -> (LOCAL)[4]COCO|CRAZ$: oe
[2021:03:24-00:00:35]  (Local) -> (LOCAL)[2]Papo_Brr[RCA]: la bna
[2021:03:24-00:00:36]  (Local) -> (LOCAL)[4]COCO|CRAZ$: oe
[2021:03:24-00:00:39]  (Global) -> Cibu|CApu|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: ok
[2021:03:24-00:00:44]  (Local) -> (LOCAL)[6]Stivenv28~|PEPEGAN: :3
[2021:03:24-00:00:45]  (Global) -> brandonjose: NECESITO UBER URGENTEEE
[2021:03:24-00:00:46]  (Local) -> (LOCAL)[1]Flaco'2cb: Pase el elegy pa colocarle eso
[2021:03:24-00:00:50]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: te estoy buscando pa regalar el carro pero no sale
[2021:03:24-00:00:50]  (Local) -> (LOCAL)[7]Stivenv28~|PEPEGAN: gracias
[2021:03:24-00:00:52]  (Team - Criminals) -> (TEAM)malo'2cb: /mods
[2021:03:24-00:00:55]  (Local) -> (LOCAL)[1]WolfUser'2cb: paw
[2021:03:24-00:00:58]  (Local) -> (LOCAL)[1]WolfUser'2cb: oe
[2021:03:24-00:01:01]  (Local) -> (LOCAL)[4]Rata|Z: XDDDD
[2021:03:24-00:01:03]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: ya te lo mande
