This file was generated by Console at 2021:03:29-00:00:12



[2021:03:29-00:00:12]  (Local) -> (LOCAL)[3]KiraOwO~Capu: agh
[2021:03:29-00:00:13]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: a
[2021:03:29-00:00:17]  (Local) -> (LOCAL)[1]Antarsia: mmm
[2021:03:29-00:00:18]  (Local) -> (LOCAL)[1]malo'2cb: jj
[2021:03:29-00:00:19]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000Balaclava: yo nose usar hand
[2021:03:29-00:00:20]  (Local) -> (LOCAL)[1]braiderandres: pere le digo pa donde
[2021:03:29-00:00:27]  (Local) -> (LOCAL)[2]TartarusZcB: ZZZ
[2021:03:29-00:00:28]  (Local) -> (LOCAL)[3]Antarsia: fijate algo
[2021:03:29-00:00:28]  (Global) -> TheCrazyPipeNeXus: donde anda flco
[2021:03:29-00:00:29]  (Local) -> (LOCAL)[3]GOMITA0810|Z: aaaaaaaaaaaa me encanta este aaaaaaaa
[2021:03:29-00:00:31]  (Local) -> (LOCAL)[2]PabloOwO~ELN: ?
[2021:03:29-00:00:36]  (Local) -> (LOCAL)[2]KiraOwO~Capu: ash
[2021:03:29-00:00:36]  (Global) -> naruto|AK47||#1914D7������: donde va ir señor
[2021:03:29-00:00:36]  (Global) -> #83FF00Flaco'2cb|#83FF00ʍđท: Ya le llego en central ?
[2021:03:29-00:00:37]  (Local) -> (LOCAL)[2]Antarsia: en suspencion
[2021:03:29-00:00:39]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: el bias está en 0.3
[2021:03:29-00:00:40]  (Local) -> (LOCAL)[2]Antarsia: upper limit
[2021:03:29-00:00:41]  (Global) -> TheCrazyPipeNeXus: si usted odne anda
[2021:03:29-00:00:44]  (Local) -> (LOCAL)[1]Antarsia: que tiene?
[2021:03:29-00:00:46]  (Global) -> SARA_SV: holi
[2021:03:29-00:00:48]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: .25
[2021:03:29-00:00:50]  (Local) -> (LOCAL)[3]Rakuten!#: xdsds
[2021:03:29-00:00:54]  (Local) -> (LOCAL)[2]braiderandres: camine le caemos a sarita
[2021:03:29-00:00:54]  (Local) -> (LOCAL)[2]~>CoGoYo-|AUC|: a estos bots
[2021:03:29-00:00:55]  (Local) -> (LOCAL)[1]Antarsia: y el low limit
[2021:03:29-00:00:57]  (Local) -> (LOCAL)[1]Antarsia: o algo asi
[2021:03:29-00:00:59]  (Global) -> Maracachafa|z|: VENDO HR 1 YAAAAAAAAAAAA
[2021:03:29-00:01:01]  (Local) -> (LOCAL)[1]braiderandres: a hacerle la vuelta mai
[2021:03:29-00:01:02]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: -0.1
[2021:03:29-00:01:03]  (Global) -> Flaco'2cb|#83FF00ʍđท: Lleguese al hospi de rappi
[2021:03:29-00:01:05]  (Global) -> GustavoEscobar|#FF8CE7✿: Caceres|AUC[4]
[2021:03:29-00:01:06]  (Global) -> santi|YK|: mono
[2021:03:29-00:01:06]  (Local) -> (LOCAL)[1]Antarsia: mmm
[2021:03:29-00:01:07]  (Global) -> GustavoEscobar|#FF8CE7✿: Carlos
[2021:03:29-00:01:14]  (Global) -> SARA_SV: uber
[2021:03:29-00:01:15]  (Local) -> (LOCAL)[1]Antarsia: aer sacale el menos
[2021:03:29-00:01:26]  (Local) -> (LOCAL)[1]braiderandres: pille esta pidiendo uber jajaaj
[2021:03:29-00:01:27]  (Global) -> santi|YK|: el_mono
[2021:03:29-00:01:29]  (Local) -> (LOCAL)[1]Antarsia: uh
[2021:03:29-00:01:30]  (Local) -> (LOCAL)[1]Antarsia: no peor
[2021:03:29-00:01:32]  (Local) -> (LOCAL)[1]Antarsia: djsadsa
[2021:03:29-00:01:37]  (Local) -> (LOCAL)[1]malo'2cb: dejame a qui
[2021:03:29-00:01:37]  (Global) -> el_mono(YK): santi
[2021:03:29-00:01:38]  (Local) -> (LOCAL)[1]Antarsia: ponele el menos como antes xd
[2021:03:29-00:01:42]  (Local) -> (LOCAL)[2]Flaco'2cb: bajate crv
[2021:03:29-00:01:44]  (Global) -> el_mono(YK): apareci en el pueblo
[2021:03:29-00:01:44]  (Global) -> SARA_SV: como trabajo
[2021:03:29-00:01:46]  (Local) -> (LOCAL)[2]malo'2cb: mas alante
[2021:03:29-00:01:46]  (Global) -> TheCrazyPipeNeXus: bala pone los tele gratis
[2021:03:29-00:01:47]  (Local) -> (LOCAL)[2]Flaco'2cb: uu
[2021:03:29-00:01:49]  ([Msg] de #00000000dilan para TartarusZcB: bro >:) -> nil
[2021:03:29-00:01:50]  (Global) -> TheCrazyPipeNeXus: pls
[2021:03:29-00:01:57]  (Local) -> (LOCAL)[1]Flaco'2cb: te tiras
[2021:03:29-00:02:00]  (Global) -> santi|YK|: en cual
[2021:03:29-00:02:01]  (Local) -> (LOCAL)[1]braiderandres: esta pesado el camello?
[2021:03:29-00:02:04]  (Local) -> (LOCAL)[3]Caceres|AUC: oe
[2021:03:29-00:02:04]  (Local) -> (LOCAL)[1]malo'2cb: para
[2021:03:29-00:02:06]  (Local) -> (LOCAL)[1]malo'2cb: aaaaaaaaaaaaaa
[2021:03:29-00:02:07]  (Local) -> (LOCAL)[5]Caceres|AUC: te amo
[2021:03:29-00:02:07]  (Local) -> (LOCAL)[5]PabloOwO~ELN: ?
[2021:03:29-00:02:10]  (Local) -> (LOCAL)[1]Flaco'2cb: tirate
[2021:03:29-00:02:10]  (Local) -> (LOCAL)[5]Caceres|AUC: jiji
[2021:03:29-00:02:11]  (Global) -> naruto|AK47||#1914D7������: sisas
[2021:03:29-00:02:11]  (Local) -> (LOCAL)[4]PabloOwO~ELN: ok
[2021:03:29-00:02:14]  (Local) -> (LOCAL)[0]el_mono(YK): en el que estavamos prac
[2021:03:29-00:02:15]  (Global) -> Flaco'2cb|#83FF00ʍđท: TheCrazyPipeNeXus donde prro
[2021:03:29-00:02:19]  (Local) -> (LOCAL)[4]Caceres|AUC: se mas lindo
[2021:03:29-00:02:21]  (Local) -> (LOCAL)[5]ROCO|AUC: agh
[2021:03:29-00:02:22]  (Local) -> (LOCAL)[1]Antarsia: el bias en 0.3 y el low limit en -0.15
[2021:03:29-00:02:22]  (Global) -> SuMadre: nea
[2021:03:29-00:02:26]  (Local) -> (LOCAL)[4]PabloOwO~ELN: nah
[2021:03:29-00:02:28]  (Global) -> el_mono(YK): en el que es tavamos prac
[2021:03:29-00:02:28]  (Local) -> (LOCAL)[1]Orion||CAPU: hola
[2021:03:29-00:02:28]  (Global) -> SuMadre: deje dar un rose
[2021:03:29-00:02:29]  (Local) -> (LOCAL)[5]Caceres|AUC: por fa
[2021:03:29-00:02:32]  (Global) -> Antarsia: deberia estar bien creo
[2021:03:29-00:02:32]  (Local) -> (LOCAL)[1]SARA_SV: hola
[2021:03:29-00:02:34]  (Local) -> (LOCAL)[6]Caceres|AUC: ush ya no le doy mas cudca
[2021:03:29-00:02:35]  (Local) -> (LOCAL)[6]PabloOwO~ELN: ?
[2021:03:29-00:02:37]  (Global) -> santi|YK|: ya voy
[2021:03:29-00:02:40]  (Local) -> (LOCAL)[2]Antarsia: ahh
[2021:03:29-00:02:40]  (Local) -> (LOCAL)[1]Orion||CAPU: que quiere trabajar?
[2021:03:29-00:02:41]  (Local) -> (LOCAL)[2]Antarsia: nice
[2021:03:29-00:02:42]  (Local) -> (LOCAL)[1]GustavoEscobar: ola
[2021:03:29-00:02:44]  (Local) -> (LOCAL)[1]Antarsia: ya no raspa
[2021:03:29-00:02:49]  (Global) -> SuMadre: deje dar un rsoe
[2021:03:29-00:02:50]  (Local) -> (LOCAL)[1]SARA_SV: no se que trabajos hay
[2021:03:29-00:02:51]  (Local) -> (LOCAL)[5]ROCO|AUC: cheverry
[2021:03:29-00:02:54]  (Local) -> (LOCAL)[1]Antarsia: capaz raspe en las subidas y bajadas igual
[2021:03:29-00:02:54]  (Local) -> (LOCAL)[5]ROCO|AUC: ey
[2021:03:29-00:02:55]  (Local) -> (LOCAL)[1]Orion||CAPU: ah mine le enseño
[2021:03:29-00:02:56]  (Local) -> (LOCAL)[5]PabloOwO~ELN: nada
[2021:03:29-00:02:57]  (Global) -> SuMadre: rose
[2021:03:29-00:02:57]  (Local) -> (LOCAL)[1]Antarsia: pero ta
[2021:03:29-00:02:59]  (Local) -> (LOCAL)[1]Orion||CAPU: si quiere parce
[2021:03:29-00:02:59]  (Local) -> (LOCAL)[4]ROCO|AUC: ese no es cogoyo
[2021:03:29-00:03:01]  (Global) -> Flaco'2cb|#83FF00ʍđท: TheCrazyPipeNeXus[MP]
[2021:03:29-00:03:02]  (Local) -> (LOCAL)[3]ROCO|AUC: soltalo
[2021:03:29-00:03:03]  (Local) -> (LOCAL)[1]Antarsia: esta mejor que antes xd
[2021:03:29-00:03:04]  (Local) -> (LOCAL)[1]SARA_SV: oki
[2021:03:29-00:03:09]  (Local) -> (LOCAL)[3]ROCO|AUC: lleguemos a un acuerdo
[2021:03:29-00:03:12]  (Local) -> (LOCAL)[2]~>CoGoYo-|AUC|: cuanto quieres
[2021:03:29-00:03:14]  (Local) -> (LOCAL)[2]~>CoGoYo-|AUC|: Gauss
[2021:03:29-00:03:15]  (Global) -> km9: sabes chupar tambien ?a
[2021:03:29-00:03:18]  (Local) -> (LOCAL)[3]Orion||CAPU: con g
[2021:03:29-00:03:24]  (Local) -> (LOCAL)[3]~>CoGoYo-|AUC|: man soy nuevo
[2021:03:29-00:03:28]  (Local) -> (LOCAL)[4]SincereSwordsman61: tombo mk
[2021:03:29-00:03:29]  (Local) -> (LOCAL)[4]Flaco'2cb: ey
[2021:03:29-00:03:32]  (Global) -> naruto|AK47||#1914D7������: uber
[2021:03:29-00:03:32]  (Local) -> (LOCAL)[4]SARA_SV: no da
[2021:03:29-00:03:32]  (Local) -> (LOCAL)[4]braiderandres: SUBIRE MAI
[2021:03:29-00:03:32]  (Local) -> (LOCAL)[4]Orion||CAPU: a
[2021:03:29-00:03:35]  (Local) -> (LOCAL)[4]Flaco'2cb: Vendo carro del nacio y millo
[2021:03:29-00:03:42]  (Local) -> (LOCAL)[4]Flaco'2cb: Tolima tambn
[2021:03:29-00:03:43]  (Global) -> SuMadre: Que paso ?
[2021:03:29-00:03:46]  (Global) -> Flaco'2cb|#83FF00ʍđท: TheCrazyPipeNeXus
[2021:03:29-00:03:47]  (Local) -> (LOCAL)[3]braiderandres: a como el de millos
[2021:03:29-00:03:49]  (Global) -> SuMadre: pglo
[2021:03:29-00:03:53]  (Local) -> (LOCAL)[1]Antarsia: los autos con hand de drift no suelen usar nitro
[2021:03:29-00:03:53]  (Local) -> (LOCAL)[3]braiderandres: suba mai
[2021:03:29-00:03:58]  (Local) -> (LOCAL)[3]Flaco'2cb: cuanto da ?
[2021:03:29-00:03:58]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: pqn o
[2021:03:29-00:03:59]  (Local) -> (LOCAL)[1]Antarsia: asi que no tenes por que xd
[2021:03:29-00:04:02]  (Global) -> naruto|AK47||#1914D7������: con g
[2021:03:29-00:04:04]  (Local) -> (LOCAL)[4]~>CoGoYo-|AUC|: llegemos a un acuerdo
[2021:03:29-00:04:08]  (Local) -> (LOCAL)[3]00dilan: xdddd
[2021:03:29-00:04:08]  (Local) -> (LOCAL)[4]~>CoGoYo-|AUC|: soy nuevo
[2021:03:29-00:04:12]  (Local) -> (LOCAL)[3]Flaco'2cb: ey
[2021:03:29-00:04:14]  (Global) -> santi|YK|: el_mono
[2021:03:29-00:04:14]  (Local) -> (LOCAL)[4]PabloOwO~ELN: ash q intensidad
[2021:03:29-00:04:14]  (Local) -> (LOCAL)[3]Flaco'2cb: cuanto das?
[2021:03:29-00:04:17]  (Global) -> SuMadre: pglo
[2021:03:29-00:04:17]  (Local) -> (LOCAL)[1]Antarsia: por que por lo general en el hand mismo la gente le pone fuerza al motor
[2021:03:29-00:04:18]  (Global) -> el_mono(YK): queee
[2021:03:29-00:04:21]  (Local) -> (LOCAL)[0]Orion||CAPU: bueno
[2021:03:29-00:04:21]  (Local) -> (LOCAL)[3]braiderandres: un palo
[2021:03:29-00:04:24]  (Global) -> santi|YK|: donde esta
[2021:03:29-00:04:24]  (Local) -> (LOCAL)[2]Flaco'2cb: hagale ps
[2021:03:29-00:04:25]  (Local) -> (LOCAL)[1]Antarsia: para no tener que usar el nitro
[2021:03:29-00:04:25]  (Local) -> (LOCAL)[0]Orion||CAPU: este es el priemr trabajo
