This file was generated by Console at 2021:04:12-00:00:00



[2021:04:12-00:00:00]  (Local) -> (LOCAL)[5]BUHODERMIA: 1
[2021:04:12-00:00:01]  (Local) -> (LOCAL)[6]#7F7F7F|DJ|#FF5C00Henry: de 20?
[2021:04:12-00:00:01]  (Local) -> (LOCAL)[9]ZeroTwo[CAPU]: me ddan
[2021:04:12-00:00:01]  (Local) -> (LOCAL)[1]JULIO_MOTOA: ahora metase ashi
[2021:04:12-00:00:02]  (Local) -> (LOCAL)[5]BUHODERMIA: jiijij
[2021:04:12-00:00:04]  (Local) -> (LOCAL)[5]KiraOwO~Capu: yo creo q unos 15
[2021:04:12-00:00:05]  (Local) -> (LOCAL)[1]JULIO_MOTOA: coja la pcj 600
[2021:04:12-00:00:05]  (Local) -> (LOCAL)[4]Juancho-ELN: este cv
[2021:04:12-00:00:05]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: o 30
[2021:04:12-00:00:08]  (Local) -> (LOCAL)[7]Vlankillo: xddd
[2021:04:12-00:00:09]  (Local) -> (LOCAL)[1]kevin1033|EVG|: listo
[2021:04:12-00:00:09]  (Local) -> (LOCAL)[5]KiraOwO~Capu: o si caben los 20
[2021:04:12-00:00:10]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: mm otor carro
[2021:04:12-00:00:12]  (Local) -> (LOCAL)[5]BUHODERMIA: 15
[2021:04:12-00:00:12]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: bea
[2021:04:12-00:00:15]  (Local) -> (LOCAL)[0]Turferin'2cb: jeje
[2021:04:12-00:00:15]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: lleven ese carro
[2021:04:12-00:00:18]  (Local) -> (LOCAL)[5]BUHODERMIA: uno mas pqeueño
[2021:04:12-00:00:18]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: con el banshee
[2021:04:12-00:00:19]  (Local) -> (LOCAL)[10]ZeroTwo[CAPU]: con eso me basta jsjs
[2021:04:12-00:00:19]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: allli
[2021:04:12-00:00:22]  (Global) -> MR-Cazumba: Como saco el taser?
[2021:04:12-00:00:24]  (Global) -> Bellaqueohpta(LBC)|#83FF00ʍđท: LBC GANG RECLUTANDO
[2021:04:12-00:00:27]  (Local) -> (LOCAL)[2]WolfUser'2cb: dejame expilicarte
[2021:04:12-00:00:27]  (Local) -> (LOCAL)[5]KiraOwO~Capu: orgalor puedes sacar un virgo?
[2021:04:12-00:00:29]  (Local) -> (LOCAL)[9]Juanma-ELN: linda
[2021:04:12-00:00:30]  (Local) -> (LOCAL)[1]kevin1033|EVG|: eso bro
[2021:04:12-00:00:30]  (Local) -> (LOCAL)[6]#7F7F7F|DJ|#FF5C00Henry: es melo y se curvea feo xd
[2021:04:12-00:00:32]  (Local) -> (LOCAL)[5]BUHODERMIA: joa mani q lento
[2021:04:12-00:00:32]  (Global) -> CuriousAntelope32: donde esta la nmax ome
[2021:04:12-00:00:32]  (Global) -> Ellkinghernan[CDG]: listo
[2021:04:12-00:00:33]  (Local) -> (LOCAL)[10]AlCapone|LEGEND|: ajjaja
[2021:04:12-00:00:33]  (Global) -> RaspyJell-o44: PONGA ALETEO  EL DE LA EMISORA SOCIO SABE QUE LA BUENA
[2021:04:12-00:00:34]  (Local) -> (LOCAL)[1]JULIO_MOTOA: no bobo
[2021:04:12-00:00:34]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: el banshee
[2021:04:12-00:00:37]  (Global) -> MR-Cazumba: Como es
[2021:04:12-00:00:38]  (Local) -> (LOCAL)[1]COSCULLUELA"2cb: jaajja
[2021:04:12-00:00:38]  (Local) -> (LOCAL)[2]Lucho_portuano(CDG): bueno ya xd
