This file was generated by Console at 2021:04:21-00:00:10



[2021:04:21-00:00:10]  (Local) -> (LOCAL)[2]ALIAS_TAVO: crv
[2021:04:21-00:00:14]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: vendo spotify 3 meses en 10k
[2021:04:21-00:00:20]  (Global) -> CHOCORRAMO[AUC]: XDE
[2021:04:21-00:00:22]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: colabore con la traba
[2021:04:21-00:00:25]  (Local) -> (LOCAL)[4]ALIAS_TAVO: ewta
[2021:04:21-00:00:27]  (Global) -> CHOCORRAMO[AUC]: adjdajad
[2021:04:21-00:00:33]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: a
[2021:04:21-00:00:35]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: compre CHOCORRAMO[AUC][6]
[2021:04:21-00:00:38]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: Ud q tiene plata
[2021:04:21-00:00:40]  (Global) -> Carlos_EscobarZETAS: ocampo
[2021:04:21-00:00:41]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: q
[2021:04:21-00:00:46]  (Global) -> CHOCORRAMO[AUC]: yo vendo droga pa
[2021:04:21-00:00:48]  (Team - Unemployed) -> (TEAM)Mnrpatecumbias'LPxELN: c
[2021:04:21-00:00:50]  (Global) -> Carlos_EscobarZETAS: colaborame estoy en otra diemnciion
[2021:04:21-00:00:51]  (Local) -> (LOCAL)[5]Mnrpatecumbias'LPxELN: oijo con que?
[2021:04:21-00:00:57]  (Local) -> (LOCAL)[5]Mnrpatecumbias'LPxELN: a
[2021:04:21-00:00:59]  (Local) -> (LOCAL)[5]Mnrpatecumbias'LPxELN: no sabia
[2021:04:21-00:01:03]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: ya
[2021:04:21-00:01:07]  (Global) -> PAU.|4k: oe
[2021:04:21-00:01:10]  (Local) -> (LOCAL)[4]King[ELN]: ok
[2021:04:21-00:01:14]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: sosoosobelo
[2021:04:21-00:01:15]  (Local) -> (LOCAL)[5]King[ELN]: oe
[2021:04:21-00:01:18]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: unanse
[2021:04:21-00:01:18]  (Global) -> PAU.|4k: y los demas 4k
[2021:04:21-00:01:19]  (Global) -> Arison45[EVG]|#000000侍: entrarevento
[2021:04:21-00:01:24]  (Local) -> (LOCAL)[3]King[ELN]: por que me saco?
[2021:04:21-00:01:25]  (Local) -> (LOCAL)[2]pinina|4K|[MP]: ni idea
[2021:04:21-00:01:28]  (Team - Unemployed) -> (TEAM)Carlos_EscobarZETAS: gracias ocampo el mejor admi
[2021:04:21-00:01:29]  (Local) -> (LOCAL)[1]Oconner|2cb: oee
[2021:04:21-00:01:31]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: sobelo
[2021:04:21-00:01:33]  (Global) -> PAU.|4k: se reinicio el server?
[2021:04:21-00:01:34]  (Local) -> (LOCAL)[12]ALIAS_TAVO: y eso por q serraron
[2021:04:21-00:01:35]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: si
[2021:04:21-00:01:38]  (Global) -> CHOCORRAMO[AUC]: ocampo me va a comprar llervita xde?
[2021:04:21-00:01:41]  (Global) -> SISASMANO(DEA): paro?
[2021:04:21-00:01:44]  (Local) -> (LOCAL)[1]Oconner|2cb: oee
[2021:04:21-00:01:55]  (Local) -> (LOCAL)[3]Oconner|2cb: tochi
[2021:04:21-00:01:56]  (Global) -> PAU.|4k: pvp?
[2021:04:21-00:01:58]  (Local) -> (LOCAL)[13]#7F7F7F|ADM||LG|#FF5C00CuriosoBronceII|CAPU: jijij
[2021:04:21-00:01:58]  (Global) -> #7F7F7F|LG|#FF5C00Candonga[Zetas]|#9706BC 夜: Ocampo volver a poner el texto porfa
[2021:04:21-00:02:11]  (Global) -> PAU.|4k: ???
[2021:04:21-00:02:17]  (Global) -> PAU.|4k: pvp
[2021:04:21-00:02:20]  (Global) -> bazukito|4K: hagale
[2021:04:21-00:02:23]  (Team - Unemployed) -> (TEAM)#7F7F7F|ADM|#FF5C00KevinOcampo: ta
[2021:04:21-00:02:24]  (Global) -> PAU.|4k: venga
[2021:04:21-00:02:24]  (Global) -> bazukito|4K: yo soy mlao
[2021:04:21-00:02:25]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: ya
[2021:04:21-00:02:25]  (Local) -> (LOCAL)[2]HokaBigCock: meros lindos
[2021:04:21-00:02:28]  (Local) -> (LOCAL)[2]Oconner|2cb: oe
[2021:04:21-00:02:30]  (Global) -> !PsIcKo?ELN|#18AED9カプガン: ok
[2021:04:21-00:02:31]  (Local) -> (LOCAL)[3]HokaBigCock: ola papi riki
[2021:04:21-00:02:33]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: inicien rapido egh
[2021:04:21-00:02:34]  (Global) -> PadreChucho|AUC|: candoga estrimer
[2021:04:21-00:02:40]  (Global) -> PAU.|4k: ven
[2021:04:21-00:02:46]  (Local) -> (LOCAL)[2]pinina|4K|[MP]: yo?
[2021:04:21-00:02:46]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: HAGALE Q YA NANIA MAS ENTRA OMEE
[2021:04:21-00:02:47]  (Local) -> (LOCAL)[7]#7F7F7F|LG|#FF5C00Candonga[Zetas]: La empezamos ya?
[2021:04:21-00:02:47]  (Local) -> (LOCAL)[2]HijoDe~RataChivos>|Z: ay
[2021:04:21-00:02:49]  (Local) -> (LOCAL)[2]HijoDe~RataChivos>|Z: estas bien
[2021:04:21-00:02:51]  (Global) -> PAU.|4k: se un pvp
[2021:04:21-00:02:53]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00KevinOcampo: pere
[2021:04:21-00:02:53]  (Local) -> (LOCAL)[3]RB26'2cb: si
[2021:04:21-00:02:54]  (Local) -> (LOCAL)[4]ssm|2cb: aa no cogi las dobles
[2021:04:21-00:02:55]  (Local) -> (LOCAL)[12]#7F7F7F|LG|#FF5C00Candonga[Zetas]: R
[2021:04:21-00:02:55]  (Local) -> (LOCAL)[4]ssm|2cb: :V
[2021:04:21-00:02:56]  (Local) -> (LOCAL)[3]HijoDe~RataChivos>|Z: okei
[2021:04:21-00:02:56]  (Local) -> (LOCAL)[4]C4rtex: buenas tardes
[2021:04:21-00:02:56]  (Global) -> EDWAR: compro caro de millooooooooos
[2021:04:21-00:02:59]  (Local) -> (LOCAL)[4]C4rtex: hagale maestro
[2021:04:21-00:03:02]  (Local) -> (LOCAL)[4]C4rtex: requise
[2021:04:21-00:03:06]  (Team - Unemployed) -> (TEAM)ALIAS_TAVO: 3zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzm
[2021:04:21-00:03:09]  (Global) -> takara.2cb|#E20280 ඞ: NO
[2021:04:21-00:03:10]  (Local) -> (LOCAL)[4]C4rtex: solo digo dos cosas
[2021:04:21-00:03:10]  (Global) -> CHOCORRAMO[AUC]: nea
[2021:04:21-00:03:14]  (Local) -> (LOCAL)[2]RB26'2cb: voy a agarrar a cris un rato de estos
[2021:04:21-00:03:16]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: Masturbador_del_D1[MP] es el chistoso
[2021:04:21-00:03:16]  (Local) -> (LOCAL)[4]C4rtex: o se compran o nos damos plomo
[2021:04:21-00:03:16]  (Local) -> (LOCAL)[19]Maracachafa|Z|: klk
[2021:04:21-00:03:18]  (Local) -> (LOCAL)[19]King[ELN]: vaeen a esos sapos
[2021:04:21-00:03:19]  (Local) -> (LOCAL)[2]takara.2cb: XD
[2021:04:21-00:03:19]  (Local) -> (LOCAL)[2]RB26'2cb: apenas me de papaya
[2021:04:21-00:03:24]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: epiecelo cuando kiera paa
[2021:04:21-00:03:26]  (Global) -> CHOCORRAMO[AUC]: es Carlos_EscobarZETAS[MP] PONIENDO C4
[2021:04:21-00:03:27]  (Global) -> PAU.|4k: aca
[2021:04:21-00:03:28]  (Global) -> CHOCORRAMO[AUC]: es Carlos_EscobarZETAS[MP] PONIENDO C4
[2021:04:21-00:03:28]  (Local) -> (LOCAL)[5]C4rtex: listo parcero
[2021:04:21-00:03:30]  (Global) -> CHOCORRAMO[AUC]: es Carlos_EscobarZETAS[MP] PONIENDO C4
[2021:04:21-00:03:31]  (Local) -> (LOCAL)[1]takara.2cb: q ganas de sacar a dilan un rato
[2021:04:21-00:03:31]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: es Carlos_EscobarZETAS[MP] 
[2021:04:21-00:03:32]  (Local) -> (LOCAL)[22]ALIAS_TAVO: si
[2021:04:21-00:03:34]  (Local) -> (LOCAL)[22]King[ELN]: vaneen
[2021:04:21-00:03:34]  (Local) -> (LOCAL)[22]HijoDe~RataChivos>|Z: que toca hacer
[2021:04:21-00:03:35]  (Local) -> (LOCAL)[1]RB26'2cb: saquelo
[2021:04:21-00:03:35]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: es Carlos_EscobarZETAS[MP]  el de los c4
[2021:04:21-00:03:38]  (Local) -> (LOCAL)[23]Oconner|2cb: el q tire c4 ya sabe q me lo paso por el culo
[2021:04:21-00:03:38]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: es Carlos_EscobarZETAS[MP]  el de los c4
[2021:04:21-00:03:39]  (Local) -> (LOCAL)[23]Carlos_EscobarZETAS: ni teengo
[2021:04:21-00:03:39]  (Local) -> (LOCAL)[1]RB26'2cb: ahora lo metemos
[2021:04:21-00:03:39]  (Global) -> Masturbador_del_D1: callaputa
[2021:04:21-00:03:40]  (Global) -> ALIAS_TAVO: iISSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS
[2021:04:21-00:03:44]  (Local) -> (LOCAL)[24]CHOCORRAMO[AUC]: es Carlos_EscobarZETAS[MP] PONIENDO C4
[2021:04:21-00:03:45]  (Local) -> (LOCAL)[24]Carlos_EscobarZETAS: si habla pa
[2021:04:21-00:03:45]  (Local) -> (LOCAL)[1]takara.2cb: horita no me deja
[2021:04:21-00:03:48]  (Local) -> (LOCAL)[6]C4rtex: Ahi pa la gaseosa
[2021:04:21-00:03:49]  (Local) -> (LOCAL)[1]takara.2cb: me toca esperar
[2021:04:21-00:03:50]  (Local) -> (LOCAL)[24]HokaBigCock: ola
[2021:04:21-00:03:50]  (Local) -> (LOCAL)[24]#7F7F7F|ADM|#FF5C00Orgalor: oloa ola
[2021:04:21-00:03:52]  (Local) -> (LOCAL)[24]#7F7F7F|ADM|#FF5C00Orgalor: amigo
[2021:04:21-00:03:52]  (Local) -> (LOCAL)[6]C4rtex: listo
[2021:04:21-00:03:53]  (Global) -> Mnrpatecumbias'LPxELN|#000000侍: es Carlos_EscobarZETAS[MP]  el de los c4
[2021:04:21-00:03:55]  (Local) -> (LOCAL)[1]RB26'2cb: pq
[2021:04:21-00:03:56]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: epiecelo cuando kiera paa
[2021:04:21-00:03:57]  (Local) -> (LOCAL)[24]#7F7F7F|ADM|#FF5C00Orgalor: ola ola
[2021:04:21-00:03:57]  (Global) -> PAU.|4k: xd
