This file was generated by Console at 2021:04:28-00:00:00



[2021:04:28-00:00:00]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: f
[2021:04:28-00:00:01]  (Global) -> Luis|CDG||#F1F1F1ঔৣ☬: MENORMAYOR/CDG/ -_-
[2021:04:28-00:00:02]  (Local) -> (LOCAL)[11]mata: yimer pidio prueba para entrar a fk
[2021:04:28-00:00:04]  (Global) -> #7F7F7F|DJ|#FFFF00GordoBM|#000000侍: xd
[2021:04:28-00:00:05]  (Local) -> (LOCAL)[11]eliseomeloneo|L4Z||: tussy
[2021:04:28-00:00:13]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: e
[2021:04:28-00:00:13]  (Global) -> #7F7F7F|DJ|#FFFF00GordoBM|#000000侍: z
[2021:04:28-00:00:16]  (Local) -> (LOCAL)[11]eliseomeloneo|L4Z||: asi te gusto?
[2021:04:28-00:00:19]  (Global) -> GILTHUNDER: alguien sabe por que no me sale mi grupo de banco? no me sale mi plata :((
[2021:04:28-00:00:21]  (Local) -> (LOCAL)[1]Zoe: curate XD
[2021:04:28-00:00:21]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: no me gustan negras
[2021:04:28-00:00:23]  (Local) -> (LOCAL)[1]Xofu'L4: oe
[2021:04:28-00:00:23]  (Local) -> (LOCAL)[2]Yesid: oe
[2021:04:28-00:00:25]  (Local) -> (LOCAL)[1]Xofu'L4: mano
[2021:04:28-00:00:25]  (Local) -> (LOCAL)[1]Maryeli:3: toco otro
[2021:04:28-00:00:27]  (Global) -> Felipe's: Uy Orgalor de busetero, la situación está muy hpta xdd
[2021:04:28-00:00:28]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: qn nos disparo
[2021:04:28-00:00:29]  (Local) -> (LOCAL)[1]MELINA666$$$$$$$$$$$$: voy
[2021:04:28-00:00:30]  (Local) -> (LOCAL)[2]Luis|CDG|: OE Yesid[3] PONTE EL CDG
