This file was generated by Console at 2021:05:03-00:00:00



[2021:05:03-00:00:00]  (Local) -> (LOCAL)[2]Dilan'CDG: a
[2021:05:03-00:00:01]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: no :C
[2021:05:03-00:00:02]  (Local) -> (LOCAL)[2]Avalencia: Roco haga sex 2
[2021:05:03-00:00:02]  (Local) -> (LOCAL)[6]DosCoronas|CAPU: vendo dulces
[2021:05:03-00:00:06]  (Local) -> (LOCAL)[2]Yesid_[CDG]: le vendo un infernus
[2021:05:03-00:00:09]  (Local) -> (LOCAL)[2]Dilan'CDG: naaa
[2021:05:03-00:00:10]  (Local) -> (LOCAL)[2]Klk.SEMEN: soy z carnal
[2021:05:03-00:00:12]  (Global) -> PRO: cuales otros carros tiene
[2021:05:03-00:00:12]  (Local) -> (LOCAL)[2]Roco: no deja VB
[2021:05:03-00:00:13]  (Local) -> (LOCAL)[2]Klk.SEMEN: ?
[2021:05:03-00:00:13]  (Global) -> iguana_97: como lo compro mpana 
[2021:05:03-00:00:13]  (Local) -> (LOCAL)[2]Azrael: en lo amarillo
[2021:05:03-00:00:14]  (Local) -> (LOCAL)[2]Yesid_[CDG]: melo
[2021:05:03-00:00:15]  (Local) -> (LOCAL)[2]Klk.SEMEN: soy z
[2021:05:03-00:00:15]  (Local) -> (LOCAL)[1]Topo|Z|: Deme bala
[2021:05:03-00:00:16]  (Local) -> (LOCAL)[2]Dilan'CDG: me voy a comprar un h3
[2021:05:03-00:00:16]  (Global) -> Verriondo: AEÑOR gente
[2021:05:03-00:00:17]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: oe
[2021:05:03-00:00:17]  (Local) -> (LOCAL)[2]Roco: esas anims no sirven
[2021:05:03-00:00:18]  (Global) -> iguana_97: como lo compro 
[2021:05:03-00:00:21]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: ya le muestro
[2021:05:03-00:00:21]  (Global) -> EagerCashier46: cual es
