This file was generated by Console at 2021:05:06-00:00:01



[2021:05:06-00:00:01]  (Global) -> opjzzz: u.
[2021:05:06-00:00:02]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#0064FFCurioso|CAPU: XD
[2021:05:06-00:00:02]  (Local) -> (LOCAL)[2]braiderandres: 20 lukas a curioso
[2021:05:06-00:00:05]  (Global) -> PRO: venga al banco
[2021:05:06-00:00:06]  (Global) -> DanielFelipeIO: vendo maRIGUANA
[2021:05:06-00:00:07]  (Local) -> (LOCAL)[5]LauraRa: uy
[2021:05:06-00:00:08]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: xd
[2021:05:06-00:00:08]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Aqui vengo cuando estoy afk
[2021:05:06-00:00:09]  (Local) -> (LOCAL)[7]Gauss|ELN: na pirobo
[2021:05:06-00:00:10]  (Local) -> (LOCAL)[2]Camilolindo|2cb: no ve q soy 2cb
[2021:05:06-00:00:10]  (Local) -> (LOCAL)[8]Gauss|ELN: 50
[2021:05:06-00:00:10]  (Local) -> (LOCAL)[4]capojuan-.-Z: eso pega
[2021:05:06-00:00:11]  ([Msg] de Lil_Dilangroserin'CDG para Julio: 48) -> nil
[2021:05:06-00:00:11]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF0000Meguu~: 55
[2021:05:06-00:00:12]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: ah ya+
[2021:05:06-00:00:13]  (Local) -> (LOCAL)[7]Gauss|ELN: dejelo ahi
[2021:05:06-00:00:14]  (Global) -> messirve: oe yo soy rumba tombo
[2021:05:06-00:00:15]  (Local) -> (LOCAL)[3]Felipe's|ILLUMINATI: pa
[2021:05:06-00:00:15]  (Local) -> (LOCAL)[4]capojuan-.-Z: muy duro
[2021:05:06-00:00:16]  (Global) -> DanielFelipeIO: BARATA
[2021:05:06-00:00:23]  (Local) -> (LOCAL)[6]Gauss|ELN: 53
[2021:05:06-00:00:23]  (Local) -> (LOCAL)[5]capojuan-.-Z: la doble escopeta
[2021:05:06-00:00:30]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000Meguu~: por 2 palos
[2021:05:06-00:00:32]  (Local) -> (LOCAL)[1]DONOSO|4K: socio
[2021:05:06-00:00:32]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000Meguu~: 55
[2021:05:06-00:00:33]  (Global) -> DanielFelipeIO: VENDO DROGA BARATA
[2021:05:06-00:00:33]  (Global) -> DeadpanCobra50: oe
[2021:05:06-00:00:34]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#0064FFCurioso|CAPU: XD
[2021:05:06-00:00:36]  (Global) -> messirve: q pirobo tan picado
[2021:05:06-00:00:36]  (Local) -> (LOCAL)[3]rolo|ILLUMINATI: oe la devuelta
[2021:05:06-00:00:36]  (Local) -> (LOCAL)[5]opjzzz: cuanto
[2021:05:06-00:00:36]  (Local) -> (LOCAL)[4]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner|2cb: huy
[2021:05:06-00:00:40]  ([Msg] de Julio para Lil_Dilangroserin'CDG: bre, espere camello que solo me faltan 200k, si? uwu) -> nil
[2021:05:06-00:00:40]  ([Msg] de Lil_Dilangroserin'CDG para Julio: 48) -> nil
[2021:05:06-00:00:41]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: sera que puede ser posible de que implementen un pago por cada accion drift?
[2021:05:06-00:00:41]  (Local) -> (LOCAL)[4]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner|2cb: a mi pq no me da ps
[2021:05:06-00:00:41]  (Local) -> (LOCAL)[5]opjzzz: 10k?=
[2021:05:06-00:00:41]  (Local) -> (LOCAL)[1]DONOSO|4K: socio
[2021:05:06-00:00:42]  (Local) -> (LOCAL)[3]TiroVisco|ELN|.: venga
[2021:05:06-00:00:42]  (Local) -> (LOCAL)[1]DONOSO|4K: socio
[2021:05:06-00:00:43]  (Global) -> DanielFelipeIO: 5000
[2021:05:06-00:00:43]  (Local) -> (LOCAL)[6]Gauss|ELN: mmm voy a pensarlo
[2021:05:06-00:00:46]  (Global) -> PRO: alpone venga al banco
