This file was generated by Console at 2021:05:11-00:00:02



[2021:05:11-00:00:02]  (Local) -> (LOCAL)[8]Azrael*AUC: ajajaja
[2021:05:11-00:00:06]  (Global) -> #7F7F7F|ADM|#FFFF00Gocho|AUC||#9800D1GDT!: Alias_Kico en f11 hay un muñeco verde alli te haces militar
[2021:05:11-00:00:07]  (Global) -> CHUNKYTRACK-2cb: perroo hpta
[2021:05:11-00:00:08]  (Local) -> (LOCAL)[7]DonBazuco|2CV: CrudoMeansRaw
[2021:05:11-00:00:08]  (Local) -> (LOCAL)[1]TIMO|4K: ahi mismo donde cambio color y so
[2021:05:11-00:00:09]  (Global) -> #000000Soltec|EVGays|#000000侍: CagaletoElCacorro|ELN|
[2021:05:11-00:00:13]  (Local) -> (LOCAL)[1]TIMO|4K: aca?
[2021:05:11-00:00:16]  (Global) -> Alias_Kico: gracias
[2021:05:11-00:00:17]  (Local) -> (LOCAL)[7]DonBazuco|2CV: oeeeeeeeeeeeeeeeeeeeeeeeeeeee
[2021:05:11-00:00:20]  (Global) -> lizi: dufuimooos
[2021:05:11-00:00:25]  (Team - Services) -> (TEAM)Luis_Iriarte: engine
[2021:05:11-00:00:26]  (Global) -> THEPIPE134: ME ARRESTO
[2021:05:11-00:00:27]  (Global) -> CHUNKYTRACK-2cb: tsapaa
[2021:05:11-00:00:28]  (Local) -> (LOCAL)[9]DonBazuco|2CV: Crudixxxx
[2021:05:11-00:00:31]  (Local) -> (LOCAL)[2]TIMO|4K: ale
[2021:05:11-00:00:32]  (Global) -> Luis_Iriarte: lo mas caro pa
[2021:05:11-00:00:34]  (Global) -> THEPIPE134: PARCE QUIERO EL VIP
[2021:05:11-00:00:38]  (Local) -> (LOCAL)[1]LUCHO2z1: coño q facil
[2021:05:11-00:00:39]  (Phone:SMS) -> From Don|Jimenez | To: CrudoMeansRaw | Message: te acordas de mi crudo
[2021:05:11-00:00:50]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: mi primo me regaño
[2021:05:11-00:00:52]  (Global) -> THEPIPE134: ME GANA POR EL TAZER Q GALLINA
[2021:05:11-00:00:54]  (Global) -> PrettyOnion65: oye
[2021:05:11-00:00:54]  (Local) -> (LOCAL)[2]Gomita|Z: Tartarus30FpsZcb[6]
[2021:05:11-00:00:55]  (Global) -> Don|Jimenez: lau
[2021:05:11-00:00:58]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): y eso
[2021:05:11-00:00:58]  (Global) -> lizi: por?
[2021:05:11-00:00:59]  (Local) -> (LOCAL)[2]Tartarus30FpsZcb: digame
[2021:05:11-00:01:00]  (Local) -> (LOCAL)[3]DonBazuco|2CV: Crudixxxx
[2021:05:11-00:01:03]  (Global) -> Don|Jimenez: id 33
[2021:05:11-00:01:04]  (Local) -> (LOCAL)[2]Gomita|Z: le vendo este auto
[2021:05:11-00:01:05]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000lauuu: dime
[2021:05:11-00:01:06]  (Local) -> (LOCAL)[4]DonBazuco|2CV: Crudixxxx
[2021:05:11-00:01:07]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: que por que el era 2cb
[2021:05:11-00:01:09]  (Local) -> (LOCAL)[1]Tartarus30FpsZcb: no money bro
