This file was generated by Console at 2021:05:13-00:00:00



[2021:05:13-00:00:00]  (Global) -> Topo|AUC|: xD
[2021:05:13-00:00:01]  (Local) -> (LOCAL)[1]Peyeta'2cb: unas rosadas
[2021:05:13-00:00:01]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF8C00Apu!N'2cb: xd
[2021:05:13-00:00:02]  (Local) -> (LOCAL)[1]Policia'Paraco: sin*
[2021:05:13-00:00:02]  (Local) -> (LOCAL)[3]Eusebio'2cb: qomo vas
[2021:05:13-00:00:03]  (Local) -> (LOCAL)[3]Travis_EscrotoAUC: XDDDDDDDDDDDDDDDDDDDDDDDD
[2021:05:13-00:00:03]  (Local) -> (LOCAL)[1]IceWipe'ELN: sin tazer no es nada
[2021:05:13-00:00:03]  (Local) -> (LOCAL)[2]FalkonGP/ELN: O UZI
[2021:05:13-00:00:04]  (Local) -> (LOCAL)[1]Peyeta'2cb: xd
[2021:05:13-00:00:04]  (Local) -> (LOCAL)[1]JUNNIORPAI[AK]:(: hpta
[2021:05:13-00:00:04]  (Global) -> Raptus: jajaja
[2021:05:13-00:00:05]  (Global) -> #7F7F7F|ADM|#FF8C00lauuu<3|#EB4E89ㅇㅅㅇ: estoy ocupada en evento diga que oasa
[2021:05:13-00:00:05]  (Global) -> Topo|AUC|: Casi gano
[2021:05:13-00:00:06]  (Local) -> (LOCAL)[2]Eusebio'2cb: como va la escuelita jiji
[2021:05:13-00:00:06]  (Local) -> (LOCAL)[3]Travis_EscrotoAUC: no la quite
[2021:05:13-00:00:06]  (Local) -> (LOCAL)[2]Loca:): bienytu
[2021:05:13-00:00:07]  (Local) -> (LOCAL)[3]ElMudo69: M4
[2021:05:13-00:00:11]  (Local) -> (LOCAL)[1]Loca:): bienytu
[2021:05:13-00:00:11]  (Local) -> (LOCAL)[1]Policia'Paraco: con tazer agarro 3
[2021:05:13-00:00:11]  (Local) -> (LOCAL)[2][owen[2cb: q sapa hpt
[2021:05:13-00:00:11]  (Local) -> (LOCAL)[4]ivan'2cb: ai
[2021:05:13-00:00:11]  (Local) -> (LOCAL)[1]Toloteli|2cb: SOLO 2CB PA
[2021:05:13-00:00:12]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000Catre^AUC: perro bailarin
[2021:05:13-00:00:13]  (Local) -> (LOCAL)[1]Policia'Paraco: de un tiro
[2021:05:13-00:00:15]  (Local) -> (LOCAL)[4]Oreo: sobl
[2021:05:13-00:00:16]  (Global) -> #7F7F7F|ADM|#FF0000Catre^AUC|#9800D1GDT!: #ffaaffLoca:) ontas
[2021:05:13-00:00:17]  (Local) -> (LOCAL)[3]Eusebio'2cb: aaaaaaaaai pues
[2021:05:13-00:00:17]  (Local) -> (LOCAL)[1]IceWipe'ELN: sin tazer no es nada
[2021:05:13-00:00:18]  (Local) -> (LOCAL)[1]Toloteli|2cb: mano
[2021:05:13-00:00:18]  (Local) -> (LOCAL)[1]Peyeta'2cb: obvio a
[2021:05:13-00:00:21]  (Local) -> (LOCAL)[2]Eusebio'2cb: sitedijeramiga
[2021:05:13-00:00:21]  (Local) -> (LOCAL)[1]Toloteli|2cb: y lo de pa que doble
[2021:05:13-00:00:23]  (Global) -> AQUA: 4
[2021:05:13-00:00:25]  (Local) -> (LOCAL)[6]lil_Narutx/parche10: rem :b
[2021:05:13-00:00:26]  (Local) -> (LOCAL)[2]ElMudo69: CHARRYY?
[2021:05:13-00:00:26]  (Local) -> (LOCAL)[3]Policia'Paraco: usted no es nada con nada
[2021:05:13-00:00:28]  (Global) -> Fetraq25/AUC/: que hay un hp aqui en evento aparte con trabajo y no le puedo  hacer daño
[2021:05:13-00:00:28]  (Local) -> (LOCAL)[2]ElMudo69: SAPO PERRISIMO
[2021:05:13-00:00:29]  (Local) -> (LOCAL)[1][owen[2cb: cuanto tiempo le dieron
[2021:05:13-00:00:30]  (Local) -> (LOCAL)[1]Peyeta'2cb: es steering lock
[2021:05:13-00:00:31]  (Local) -> (LOCAL)[4]Policia'Paraco: xd
[2021:05:13-00:00:31]  (Global) -> AQUA: hola
[2021:05:13-00:00:33]  (Local) -> (LOCAL)[5]Travis_EscrotoAUC: a bailar
[2021:05:13-00:00:34]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF8C00Orgalor: gana
[2021:05:13-00:00:34]  (Local) -> (LOCAL)[5]lil_Narutx/parche10: hola
[2021:05:13-00:00:34]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF8C00Apu!N'2cb: Porq se llevan a IceWipe'ELN[6] en un taxi xd
[2021:05:13-00:00:35]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF8C00Orgalor: ud
[2021:05:13-00:00:36]  (Local) -> (LOCAL)[1]Loca:): pereq
[2021:05:13-00:00:36]  (Local) -> (LOCAL)[4]IceWipe'ELN: sin tazer no es nada
[2021:05:13-00:00:37]  (Local) -> (LOCAL)[1]Peyeta'2cb: pongalo en 60!
[2021:05:13-00:00:37]  (Local) -> (LOCAL)[5]Travis_EscrotoAUC: no lo dañe
[2021:05:13-00:00:38]  (Global) -> ivan'2cb: china tan rata que asco
[2021:05:13-00:00:39]  (Global) -> JUAN12: oe
[2021:05:13-00:00:39]  (Local) -> (LOCAL)[2]FalkonGP/ELN: COMPRE AMBAS XD
[2021:05:13-00:00:39]  (Global) -> RusiTombo-Slayer: sano
[2021:05:13-00:00:39]  (Local) -> (LOCAL)[1]Loca:): ola
