This file was generated by Console at 2021:05:15-00:00:00



[2021:05:15-00:00:00]  (Local) -> (LOCAL)[7]Miguel-paraco: oe
[2021:05:15-00:00:01]  (Global) -> 247Best: SI
[2021:05:15-00:00:01]  (Local) -> (LOCAL)[1]Cuchacho: deme un rolis
[2021:05:15-00:00:02]  (Local) -> (LOCAL)[1]A|capone|Zcb|: me escuch?
[2021:05:15-00:00:03]  (Local) -> (LOCAL)[1]ivan'2cb: sisa mani
[2021:05:15-00:00:06]  (Local) -> (LOCAL)[2]IceWipe'ELN: sabes abrir el mapa?
[2021:05:15-00:00:09]  (Local) -> (LOCAL)[8]KING[ELN]: q
[2021:05:15-00:00:11]  (Local) -> (LOCAL)[4]MORACH117: Nope
[2021:05:15-00:00:11]  (Local) -> (LOCAL)[1]Cuchacho: si ve
[2021:05:15-00:00:14]  (Local) -> (LOCAL)[1]Cuchacho: que sornero
[2021:05:15-00:00:16]  (Local) -> (LOCAL)[4]IceWipe'ELN: f11
[2021:05:15-00:00:18]  (Local) -> (LOCAL)[8]Miguel-paraco: lleve a su presidente
[2021:05:15-00:00:20]  (Global) -> A122110: pa donde
[2021:05:15-00:00:22]  (Team - Criminals) -> (TEAM)penisBigHead: uya vengo
[2021:05:15-00:00:22]  (Local) -> (LOCAL)[1]IceWipe'ELN: si juegas en portatil, fn+f11
[2021:05:15-00:00:22]  (Local) -> (LOCAL)[1]Cuchacho: esq esas configuraciones están en ingles
[2021:05:15-00:00:24]  (Local) -> (LOCAL)[1]MORACH117: Ulala
[2021:05:15-00:00:26]  (Team - Services) -> (TEAM)biya'2cb: mr cain precio de esa chimba de nmax
[2021:05:15-00:00:27]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: q suena asi
[2021:05:15-00:00:28]  (Local) -> (LOCAL)[8]Fetraq25/AUC/: este carro que xd
[2021:05:15-00:00:33]  (Local) -> (LOCAL)[1]Cuchacho: y pa ponerme a comprar lo más caro de todo sin saber si me va a gustar..
[2021:05:15-00:00:34]  (Global) -> JairSad: yo las traduzco xd
[2021:05:15-00:00:34]  (Global) -> KM9: dime tu
[2021:05:15-00:00:35]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: bno
[2021:05:15-00:00:35]  (Local) -> (LOCAL)[8]Fetraq25/AUC/: nunca va a explotar
[2021:05:15-00:00:35]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: necesito que mejores
[2021:05:15-00:00:36]  (Local) -> (LOCAL)[1]ivan'2cb: mi caraq cuando
[2021:05:15-00:00:36]  (Local) -> (LOCAL)[8]KING[ELN]: digale a el
[2021:05:15-00:00:36]  (Local) -> (LOCAL)[1]coco_humilde: gracias
[2021:05:15-00:00:37]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: esta arma
[2021:05:15-00:00:37]  (Local) -> (LOCAL)[1]Cuchacho: aaaaaa xd
[2021:05:15-00:00:40]  (Global) -> A|capone|Zcb|: biya'2cb
[2021:05:15-00:00:41]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������: #00ff00VIVA GTA SANANDREASSSSSSSSSSSSSSS
[2021:05:15-00:00:41]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: la uzi
[2021:05:15-00:00:42]  (Global) -> 247Best: ESTA?
[2021:05:15-00:00:43]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: uzi
[2021:05:15-00:00:44]  (Local) -> (LOCAL)[1]ivan'2cb: se mete a zona segura
[2021:05:15-00:00:44]  (Global) -> A|capone|Zcb|: donde esta
[2021:05:15-00:00:45]  (Local) -> (LOCAL)[1]coco_humilde: despues le doy platica
[2021:05:15-00:00:45]  (Local) -> (LOCAL)[1]Cuchacho: bro, para hablar conmigo use la tecla u
[2021:05:15-00:00:46]  (Local) -> (LOCAL)[0]Valak!: a
[2021:05:15-00:00:46]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: no jasja
[2021:05:15-00:00:47]  (Global) -> A|capone|Zcb|: esa es mia
[2021:05:15-00:00:47]  (Local) -> (LOCAL)[6]Fetraq25/AUC/: cucho
[2021:05:15-00:00:49]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: comprate la tec
[2021:05:15-00:00:50]  (Local) -> (LOCAL)[1]Cuchacho: ahi se le abre el local chat
[2021:05:15-00:00:51]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: tec
[2021:05:15-00:00:51]  (Local) -> (LOCAL)[1]JairSad: xd
[2021:05:15-00:00:53]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: tienes la tec?
[2021:05:15-00:00:54]  (Global) -> biya'2cb: busero
[2021:05:15-00:00:54]  (Local) -> (LOCAL)[6]Fetraq25/AUC/: mi login es dilan santiago
[2021:05:15-00:00:55]  (Local) -> (LOCAL)[1]Cuchacho: que es para que solo hablemos entre noostor
[2021:05:15-00:00:55]  (Local) -> (LOCAL)[1]ivan'2cb: soy re trol
[2021:05:15-00:00:58]  (Local) -> (LOCAL)[1]Cuchacho: no para todo el cht
[2021:05:15-00:01:00]  (Local) -> (LOCAL)[5]Fetraq25/AUC/: pille
[2021:05:15-00:01:00]  (Local) -> (LOCAL)[1]Cuchacho: jeje
[2021:05:15-00:01:01]  (Local) -> (LOCAL)[1]el_orejas[CDG]: nosi
[2021:05:15-00:01:01]  (Global) -> 247Best: CUAL ES ESA?
[2021:05:15-00:01:03]  (Local) -> (LOCAL)[1]JairSad: weon es que se me olvida
[2021:05:15-00:01:08]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: aaa
[2021:05:15-00:01:10]  (Local) -> (LOCAL)[1]Cuchacho: suele pasar
[2021:05:15-00:01:16]  (Local) -> (LOCAL)[1]A|capone|Zcb|: cuanto da
[2021:05:15-00:01:17]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: esta es micro
[2021:05:15-00:01:18]  (Local) -> (LOCAL)[1]Cuchacho: yo llevaba 7 años jugando esto o.O
[2021:05:15-00:01:20]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: compra la miro
[2021:05:15-00:01:22]  (Local) -> (LOCAL)[1]Cuchacho: la tostadora de pc que tengo
[2021:05:15-00:01:22]  (Local) -> (LOCAL)[2]biya'2cb: pida
[2021:05:15-00:01:22]  (Global) -> 247Best: ESTA
[2021:05:15-00:01:23]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: quien tiene chiva?
[2021:05:15-00:01:27]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: uzi
[2021:05:15-00:01:28]  (Local) -> (LOCAL)[1]Cuchacho: no me he dignado a ahorrar para una
[2021:05:15-00:01:29]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: la uzi
[2021:05:15-00:01:33]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: sin palabras al que no tenga
[2021:05:15-00:01:35]  (Local) -> (LOCAL)[2]A|capone|Zcb|: cuanto tiene
[2021:05:15-00:01:36]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: ya la tienes?
[2021:05:15-00:01:36]  (Local) -> (LOCAL)[1]IceWipe'ELN: bueno, te voy explicando
[2021:05:15-00:01:37]  (Global) -> DonSteven(CDG): aqui le soy la mari?
[2021:05:15-00:01:39]  (Global) -> KM9: tan escondigos que
[2021:05:15-00:01:44]  (Local) -> (LOCAL)[1]Cuchacho: veo, y usted tiene las recortadas dobles?
[2021:05:15-00:01:44]  (Global) -> 247Best: aw
[2021:05:15-00:01:46]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: IceWipe'ELN[6]
[2021:05:15-00:01:46]  (Global) -> KM9: escondidos
[2021:05:15-00:01:46]  (Local) -> (LOCAL)[1]biya'2cb: 350k
[2021:05:15-00:01:48]  (Local) -> (LOCAL)[1]Cuchacho: pq a mi no me deja ni entrenarla
[2021:05:15-00:01:50]  (Local) -> (LOCAL)[1]IceWipe'ELN: el sv no es de roleo
[2021:05:15-00:01:50]  (Local) -> (LOCAL)[1]JairSad: pero 7 años juagndo san andreas ?
[2021:05:15-00:01:52]  (Global) -> IceWipe'ELN|#EB4E89ㅇㅅㅇ: Mnrpatecumbias[1]
[2021:05:15-00:01:56]  (Global) -> KM9: dime
[2021:05:15-00:01:57]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: tienes chiva?
[2021:05:15-00:01:57]  (Local) -> (LOCAL)[1]Cuchacho: no, mta
[2021:05:15-00:01:57]  (Local) -> (LOCAL)[2]VisiosoHP69: hay
[2021:05:15-00:01:59]  (Local) -> (LOCAL)[1]penisBigHead: aver
[2021:05:15-00:01:59]  (Global) -> IceWipe'ELN|#EB4E89ㅇㅅㅇ: no sr
[2021:05:15-00:02:00]  (Local) -> (LOCAL)[2]TartarusZcB: hola
[2021:05:15-00:02:02]  (Local) -> (LOCAL)[1]A|capone|Zcb|: per
[2021:05:15-00:02:03]  (Local) -> (LOCAL)[1]Cuchacho: esq hay más servidores una chimba
[2021:05:15-00:02:03]  (Local) -> (LOCAL)[1]JairSad: oohh
[2021:05:15-00:02:04]  (Local) -> (LOCAL)[1]IceWipe'ELN: hay varios trabajos
[2021:05:15-00:02:04]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: entonces?
[2021:05:15-00:02:06]  (Local) -> (LOCAL)[3]ArielPnot'2cb: usted es el que va a comprar?
[2021:05:15-00:02:07]  (Local) -> (LOCAL)[2]ivan'2cb: papeles
[2021:05:15-00:02:08]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: opj esta on?
[2021:05:15-00:02:09]  (Local) -> (LOCAL)[1]IceWipe'ELN: puedes entrar a una gang
[2021:05:15-00:02:09]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: no
[2021:05:15-00:02:10]  (Local) -> (LOCAL)[1]Cuchacho: noo, pero calidad calidad
[2021:05:15-00:02:10]  (Local) -> (LOCAL)[2]TartarusZcB: que paso
[2021:05:15-00:02:10]  (Global) -> 247Best: presteme 500 que despues le pago
[2021:05:15-00:02:11]  (Global) -> Mnrpatecumbias|#EB4E89ㅇㅅㅇ: no esta...
