This file was generated by Console at 2021:05:17-00:00:01



[2021:05:17-00:00:01]  (Global) -> Nestor_Alejandro: Nitrampas
[2021:05:17-00:00:02]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00LitrodePapa: pq no puede?
[2021:05:17-00:00:03]  (Local) -> (LOCAL)[2]$^Lucifer^$: su amma
[2021:05:17-00:00:04]  (Local) -> (LOCAL)[17]prod1gy'2cb: momento catatumbo
[2021:05:17-00:00:06]  (Local) -> (LOCAL)[2]GorgeousFinisher63: por estrellarme
[2021:05:17-00:00:08]  (Local) -> (LOCAL)[1]riki28xd: /resign
[2021:05:17-00:00:08]  (Global) -> Nestor_Alejandro: un palo
[2021:05:17-00:00:10]  (Local) -> (LOCAL)[1]JulianBc: pa donde vamos dani jajaja
[2021:05:17-00:00:10]  (Global) -> AgreeableAcidrain83: LLAMME PERRO
[2021:05:17-00:00:11]  (Local) -> (LOCAL)[17]#7F7F7F|ADM|#FF5C00Jimenez: yimer..
[2021:05:17-00:00:11]  (Global) -> SXBXS: como se hace ?
[2021:05:17-00:00:11]  (Local) -> (LOCAL)[3]YimyWeed: que se dice
[2021:05:17-00:00:12]  (Global) -> Henry|: tireme el vprtex xd
[2021:05:17-00:00:12]  (Local) -> (LOCAL)[17]Gotsse'2cb: gamines
[2021:05:17-00:00:12]  (Local) -> (LOCAL)[2]Alberto_ValamadreCDG: Ni escribir sabe
[2021:05:17-00:00:13]  (Local) -> (LOCAL)[1]DARC: si suenna
[2021:05:17-00:00:13]  (Global) -> #7F7F7F|ADM|#FF8C00Nicole|#EB4E89ㅇㅅㅇ: Llego mi jevo
[2021:05:17-00:00:14]  (Local) -> (LOCAL)[17]#Yimer100'SiCkOMoDe: perdon
[2021:05:17-00:00:14]  (Local) -> (LOCAL)[1]DARC: los temas?
[2021:05:17-00:00:14]  (Global) -> peneConcabezaBig|#18AED9カプガン: vibra vs chocorramo 
[2021:05:17-00:00:16]  (Global) -> peneConcabezaBig|#18AED9カプガン: (☞ ͡° ͜ʖ ͡°)☞
[2021:05:17-00:00:17]  (Local) -> (LOCAL)[16]Tartaru$ZcB: XD
[2021:05:17-00:00:19]  (Local) -> (LOCAL)[3]Alberto_ValamadreCDG: Mero marica
[2021:05:17-00:00:20]  (Local) -> (LOCAL)[16]Gotsse'2cb: no
[2021:05:17-00:00:21]  (Local) -> (LOCAL)[2]MenorKaguanAB: ??
[2021:05:17-00:00:22]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00LitrodePapa: ?
[2021:05:17-00:00:26]  (Local) -> (LOCAL)[16]Gotsse'2cb: d
[2021:05:17-00:00:26]  (Local) -> (LOCAL)[1]JulianBc: no salen
[2021:05:17-00:00:27]  (Local) -> (LOCAL)[16]Gotsse'2cb: xdd
