This file was generated by Console at 2021:05:28-00:00:01



[2021:05:28-00:00:01]  (Local) -> (LOCAL)[1]AnGel: aaaa
[2021:05:28-00:00:02]  (Global) -> emaELN: muchos los hptas
[2021:05:28-00:00:02]  (Local) -> (LOCAL)[3]owenZcb: si me va hacer el favor
[2021:05:28-00:00:03]  (Local) -> (LOCAL)[1]Gomita|Z: exacto
[2021:05:28-00:00:04]  (Global) -> ripgeeo: no colaboro con polis
[2021:05:28-00:00:05]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: un parcero mio si puede
[2021:05:28-00:00:05]  (Local) -> (LOCAL)[3]biya'2cb: papi tranquilo que es rico
[2021:05:28-00:00:11]  (Local) -> (LOCAL)[1]AnGel: me lo voy a comprar
[2021:05:28-00:00:12]  (Local) -> (LOCAL)[3]ElWosito'2cb: ay no
[2021:05:28-00:00:14]  (Local) -> (LOCAL)[4]ElWosito'2cb: que miedo
[2021:05:28-00:00:17]  (Local) -> (LOCAL)[4]biya'2cb: deme que estoy muy caliuente
[2021:05:28-00:00:17]  (Global) -> emaELN: po quieren
[2021:05:28-00:00:18]  (Local) -> (LOCAL)[4]ElWosito'2cb: tiene brackets?
[2021:05:28-00:00:19]  (Local) -> (LOCAL)[1]BenitoCamelas.AUC: es meloo
[2021:05:28-00:00:19]  (Global) -> DARKAR: oe buitrago venga
[2021:05:28-00:00:20]  (Global) -> Estebanano:  JAJAJAJA
[2021:05:28-00:00:21]  (Global) -> CHOCORRAMO: #5C09AA (>áƒš)
[2021:05:28-00:00:21]  (Local) -> (LOCAL)[4]CareXhimbaaawZcb: k
[2021:05:28-00:00:23]  (Local) -> (LOCAL)[4]owenZcb: oe
[2021:05:28-00:00:25]  (Global) -> Estebanano:  JJAJAJAJAJ
[2021:05:28-00:00:25]  (Local) -> (LOCAL)[4]CareXhimbaaawZcb: JAJAJAJAJJAA
[2021:05:28-00:00:27]  (Local) -> (LOCAL)[1]Gomita|Z: listo
[2021:05:28-00:00:27]  (Local) -> (LOCAL)[4]owenZcb: si
[2021:05:28-00:00:28]  (Global) -> DanielFelipeIO: solo queria ser busetero
[2021:05:28-00:00:29]  (Local) -> (LOCAL)[1]BenitoCamelas.AUC: dura bastante
[2021:05:28-00:00:32]  (Global) -> DARKAR: venga donde lo arreste
[2021:05:28-00:00:32]  (Local) -> (LOCAL)[1]Gomita|Z: ya trabaja el giro
[2021:05:28-00:00:32]  (Global) -> ripgeeo: xdddd
[2021:05:28-00:00:33]  (Local) -> (LOCAL)[4]lizi[CDG](roliando): bamo a echnos uno polnes oke?
[2021:05:28-00:00:35]  (Global) -> KING[ELN]|#35FC5A Î” : emaELN donde anda?
[2021:05:28-00:00:36]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000ASH: vale ya es cojerle practica
[2021:05:28-00:00:41]  (Global) -> emaELN: no venga
[2021:05:28-00:00:41]  (Local) -> (LOCAL)[1]Gomita|Z: osea lo que le das a la A y D
[2021:05:28-00:00:41]  (Global) -> ELBARTO_[CDG]|#A016EFí ½í¸ˆ: #f00fff VENDO BULLET,TURISMO,RANCHER,YOSEMITE,SUNRISE 
[2021:05:28-00:00:41]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: yo tengo bareta
[2021:05:28-00:00:42]  (Local) -> (LOCAL)[3]biya'2cb: mmm
[2021:05:28-00:00:44]  (Global) -> emaELN: ya voy
[2021:05:28-00:00:45]  (Local) -> (LOCAL)[3]biya'2cb: ahhh
[2021:05:28-00:00:46]  (Global) -> CHOCORRAMO: #5C09AA (>áƒš)
[2021:05:28-00:00:46]  (Local) -> (LOCAL)[2]Dua|2cB|: uy
[2021:05:28-00:00:46]  (Local) -> (LOCAL)[4]ElWosito'2cb: mmmm
[2021:05:28-00:00:48]  (Local) -> (LOCAL)[4]biya'2cb: que rico papi
[2021:05:28-00:00:50]  (Global) -> KING[ELN]|#35FC5A Î” : dele
[2021:05:28-00:00:50]  (Local) -> (LOCAL)[1]Gomita|Z: tiene que ser menos
[2021:05:28-00:00:52]  (Local) -> (LOCAL)[4]CareXhimbaaawZcb: uym
[2021:05:28-00:00:55]  (Local) -> (LOCAL)[4]CareXhimbaaawZcb: pero de esa no
