This file was generated by Console at 2021:05:30-00:00:02



[2021:05:30-00:00:02]  (Global) -> JUAN__ELN: seguro
[2021:05:30-00:00:04]  (Local) -> (LOCAL)[2]David'cb2: y tampoco ha los zetas?
[2021:05:30-00:00:04]  (Local) -> (LOCAL)[1]Ninja: xddddddddddddddddddddddd
[2021:05:30-00:00:09]  (Local) -> (LOCAL)[0]#7F7F7F|ADM|#FF8C00ColombiaHumana: espere aca
[2021:05:30-00:00:10]  (Local) -> (LOCAL)[6]Andres/ZETAS: tuuuuuuuuuu
[2021:05:30-00:00:10]  (Global) -> #7F7F7F|ADM|#FF5C00aspiriina|#83FF00ÊÄ‘à¸—: si
[2021:05:30-00:00:13]  (Local) -> (LOCAL)[6]camilo_||2cb||: disque tombo
[2021:05:30-00:00:16]  (Local) -> (LOCAL)[7]Andres/ZETAS: y
[2021:05:30-00:00:17]  (Local) -> (LOCAL)[0]LucasVilla: gonorrea me cai
[2021:05:30-00:00:19]  (Local) -> (LOCAL)[5]Andres/ZETAS: a
[2021:05:30-00:00:20]  (Local) -> (LOCAL)[0]LucasVilla: xDDDDDDDDDDDDDDD
[2021:05:30-00:00:21]  (Local) -> (LOCAL)[5]camilo_||2cb||: sea serio
[2021:05:30-00:00:21]  (Local) -> (LOCAL)[5]Andres/ZETAS: i
[2021:05:30-00:00:22]  (Global) -> Stitches!~>|(CDG)||#A016EFí ½í¸ˆ: COMPRO HR 3 <33
[2021:05:30-00:00:23]  (Local) -> (LOCAL)[5]Andres/ZETAS: o
[2021:05:30-00:00:24]  (Local) -> (LOCAL)[5]Andres/ZETAS: u
[2021:05:30-00:00:27]  (Local) -> (LOCAL)[1]JuanPablo'2cb: David'cb2 ya eso seria desicion tuya porque solo tenemos alianza en san fierro que es zona de
[2021:05:30-00:00:29]  (Local) -> (LOCAL)[5]Andres/ZETAS: sea serio usted
[2021:05:30-00:00:31]  (Local) -> (LOCAL)[1]JuanPablo'2cb: zona de turf
[2021:05:30-00:00:33]  (Local) -> (LOCAL)[5]Andres/ZETAS: mlp
[2021:05:30-00:00:36]  (Local) -> (LOCAL)[6]camilo_||2cb||: a
[2021:05:30-00:00:38]  (Local) -> (LOCAL)[1]David'cb2: vale
[2021:05:30-00:00:38]  (Local) -> (LOCAL)[4]bblin^Z: ?
[2021:05:30-00:00:41]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00ColombiaHumana: vamos
[2021:05:30-00:00:44]  (Local) -> (LOCAL)[6]Andres/ZETAS: bien maluco de cara
[2021:05:30-00:00:45]  (Local) -> (LOCAL)[1]Patricio'ELN': qqqqqqqqq
[2021:05:30-00:00:47]  (Local) -> (LOCAL)[3]BAZUDLBABYS2Cv: amricon tan canson ymp
[2021:05:30-00:00:51]  (Global) -> bblin^Z|#000000í µí³©: #FF0000 Ê˜â€¿Ê˜?
[2021:05:30-00:00:52]  (Local) -> (LOCAL)[1]JuanPablo'2cb: /nick David'2cb
[2021:05:30-00:00:54]  (Local) -> (LOCAL)[1]David'cb2: pa debo mejorar la habilidad
