This file was generated by Console at 2021:06:12-00:00:01



[2021:06:12-00:00:01]  (Local) -> (LOCAL)[1]NexoFX: lol
[2021:06:12-00:00:03]  (Global) -> Fluency{AK}: DALE
[2021:06:12-00:00:03]  (Global) -> ALEXIS|2cB: lcoas
[2021:06:12-00:00:04]  (Local) -> (LOCAL)[7]Bocato[CDG]: mela
[2021:06:12-00:00:04]  (Global) -> NEABOY: amigo comience con 1 millon, serian 3 millones
[2021:06:12-00:00:09]  (Local) -> (LOCAL)[7]Alcapone: papi te estoy diciendo
[2021:06:12-00:00:10]  (Local) -> (LOCAL)[1]Buitrago[CDG]: ese esta rarito asjsjsa
[2021:06:12-00:00:11]  (Team - Unemployed) -> (TEAM)javier2cb: hay london nio sabes lon q haces london
[2021:06:12-00:00:12]  (Global) -> NEABOY: si invierte 5 recibe 15
[2021:06:12-00:00:12]  (Local) -> (LOCAL)[1]YISUS_[CDG]: se lleva su reporte por cojer a otro policia
[2021:06:12-00:00:14]  (Local) -> (LOCAL)[6]Alcapone: 35 y la mionca
[2021:06:12-00:00:15]  (Global) -> NEABOY: preguntale a kenda
[2021:06:12-00:00:15]  (Global) -> crixtian: localizemos a los demas
[2021:06:12-00:00:16]  (Local) -> (LOCAL)[6]Alcapone: ya
[2021:06:12-00:00:16]  (Local) -> (LOCAL)[1]Guarachero|AUC: no veo un klo
[2021:06:12-00:00:16]  (Local) -> (LOCAL)[11]laliendra: LISTO PUESSSS
[2021:06:12-00:00:18]  (Global) -> NEABOY: y veras
[2021:06:12-00:00:19]  (Local) -> (LOCAL)[1]YISUS_[CDG]: ya te tome captura carck
[2021:06:12-00:00:20]  (Global) -> NEABOY: entremos
[2021:06:12-00:00:20]  (Local) -> (LOCAL)[6]ANggEL(CDG): active sirena
[2021:06:12-00:00:21]  (Global) -> VigorousCeilingfan98: y el full tuning? xd
[2021:06:12-00:00:24]  (Local) -> (LOCAL)[1]IDavid: sisas JAAJJA
[2021:06:12-00:00:24]  (Global) -> ChirreteKenda: sizs
[2021:06:12-00:00:24]  (Local) -> (LOCAL)[3]kazuzu: y cm
[2021:06:12-00:00:24]  (Local) -> (LOCAL)[7]Andres_Ramires|2cb: AJAJJAJA
[2021:06:12-00:00:25]  (Global) -> crixtian: y vamos con ellos
[2021:06:12-00:00:26]  (Local) -> (LOCAL)[11]Memito: ras tas tas
[2021:06:12-00:00:30]  (Global) -> FrightenedLyre54: como se activa?
[2021:06:12-00:00:31]  (Local) -> (LOCAL)[11]#7F7F7F|DJ|#0064FFCAMPO[EMP]: ya?
[2021:06:12-00:00:32]  (Global) -> LopsidedVenom70: cuanto le costo ese
[2021:06:12-00:00:32]  (Local) -> (LOCAL)[11]33cmsdepolla: lina habla como mi ex
[2021:06:12-00:00:32]  (Global) -> Alma.Marcela.Rico: invierta lo que invierta no le van a devolver ni chimba jajajajajaja
[2021:06:12-00:00:32]  (Global) -> NEABOY: bro no te escucho
[2021:06:12-00:00:33]  (Local) -> (LOCAL)[6]Bocato[CDG]: 40?
[2021:06:12-00:00:33]  (Local) -> (LOCAL)[11]33cmsdepolla: ajaja
[2021:06:12-00:00:34]  (Global) -> NEABOY: escribe
[2021:06:12-00:00:34]  (Local) -> (LOCAL)[1]Guarachero|AUC: hay casi q no
[2021:06:12-00:00:35]  (Local) -> (LOCAL)[12]33cmsdepolla: todo pasito
[2021:06:12-00:00:36]  (Team - Criminals) -> (TEAM)elverscott: yttt
[2021:06:12-00:00:36]  (Local) -> (LOCAL)[3]SOFFIA<3: ESTE ES
[2021:06:12-00:00:36]  (Local) -> (LOCAL)[7]yeison[LMB]: con h
[2021:06:12-00:00:36]  (Local) -> (LOCAL)[2]steven: broo
[2021:06:12-00:00:39]  (Local) -> (LOCAL)[1]IDavid: JAJAJAAJ
[2021:06:12-00:00:40]  (Local) -> (LOCAL)[2]LondonFREE: dejeme empezar con 300k
[2021:06:12-00:00:40]  (Local) -> (LOCAL)[7]ANggEL(CDG): doble h
[2021:06:12-00:00:41]  (Global) -> kevin1991: holaa
[2021:06:12-00:00:41]  (Global) -> Gustavo_Petro: NAEBOY puto ratero... eso es una puta piramide 
[2021:06:12-00:00:42]  (Global) -> SuddenGuard90: un toque a la h
[2021:06:12-00:00:44]  (Local) -> (LOCAL)[2]steven: acompaÃ±ame
[2021:06:12-00:00:45]  (Global) -> ChirreteKenda: ok
[2021:06:12-00:00:45]  (Global) -> MUTIS_09||#9D12D1í ½í¸ˆ: eyy suuss|
[2021:06:12-00:00:45]  (Local) -> (LOCAL)[2]LondonFREE: si veo q sisas q real le meto 1
[2021:06:12-00:00:46]  (Global) -> ALEXIS|2cB: xd
[2021:06:12-00:00:47]  (Global) -> kevin1991: sotsoy nuevo xd
[2021:06:12-00:00:47]  (Global) -> NEABOY: listo 
[2021:06:12-00:00:48]  (Global) -> Gustavo_Petro: no le hagan caso
[2021:06:12-00:00:48]  (Local) -> (LOCAL)[4]Bocato[CDG]: Si quiere se la guardo
[2021:06:12-00:00:49]  (Global) -> VigorousCeilingfan98: cuanto?
[2021:06:12-00:00:49]  (Local) -> (LOCAL)[4]Alcapone: te estoyt diciendo qu nop tengo 40 hermano eahg
[2021:06:12-00:00:50]  (Local) -> (LOCAL)[4]Bocato[CDG]: nea
[2021:06:12-00:00:52]  (Global) -> NEABOY: comencemos asi entonces
[2021:06:12-00:00:54]  (Local) -> (LOCAL)[1]IDavid: estaba potente
[2021:06:12-00:00:54]  (Local) -> (LOCAL)[4]SOFFIA<3: 800K
[2021:06:12-00:00:55]  (Local) -> (LOCAL)[2]LondonFREE: si veo q esta melo el negocio le meto 5 palos
[2021:06:12-00:00:57]  (Global) -> NEABOY: gustavo, envidioso
[2021:06:12-00:00:57]  (Local) -> (LOCAL)[1]Alcapone: adios ps
[2021:06:12-00:00:58]  (Local) -> (LOCAL)[1]Guarachero|AUC: AJja sisas
[2021:06:12-00:01:01]  (Global) -> Alma.Marcela.Rico: mas falso que menstruacion de travesti
[2021:06:12-00:01:01]  (Global) -> CALDERON|#CBFF00âœ˜ : o
[2021:06:12-00:01:03]  (Global) -> CALDERON|#CBFF00âœ˜ : k
[2021:06:12-00:01:06]  (Global) -> LopsidedVenom70: r pay voy a ir arrelagr esyte
[2021:06:12-00:01:07]  (Global) -> VigorousCeilingfan98: ahora lo compro, apenas tengo 10 k aca
[2021:06:12-00:01:07]  (Local) -> (LOCAL)[6]Lavi: JDSAJDSAJ
[2021:06:12-00:01:08]  (Local) -> (LOCAL)[2]steven: veooo compaÃ±eme
[2021:06:12-00:01:09]  (Global) -> NEABOY: listo london
[2021:06:12-00:01:12]  (Global) -> LopsidedVenom70: costo 2 palos
[2021:06:12-00:01:12]  (Local) -> (LOCAL)[4]SOFFIA<3: AGALE
[2021:06:12-00:01:13]  (Local) -> (LOCAL)[6]ANggEL(CDG): mk+
[2021:06:12-00:01:14]  (Local) -> (LOCAL)[2]steven: a cojer una lokaa
[2021:06:12-00:01:16]  (Local) -> (LOCAL)[6]ANggEL(CDG): no adelante
[2021:06:12-00:01:19]  (Local) -> (LOCAL)[7]ANggEL(CDG): es en fila
[2021:06:12-00:01:19]  (Local) -> (LOCAL)[1]NexoFX: estan melos, cual es el qe mas corre?
[2021:06:12-00:01:19]  (Local) -> (LOCAL)[12]Pinino'2cB: AHI
[2021:06:12-00:01:23]  (Local) -> (LOCAL)[7]elKRIS_LMB: fila
[2021:06:12-00:01:24]  (Global) -> LopsidedVenom70: r pay
