This file was generated by Console at 2021:06:14-00:00:02



[2021:06:14-00:00:02]  (Global) -> cacharrito.HP: PANTHER963(Z)
[2021:06:14-00:00:04]  (Local) -> (LOCAL)[2]Panther963(Z): me siento confundido
[2021:06:14-00:00:04]  (Local) -> (LOCAL)[3]Randall...!: wn
[2021:06:14-00:00:05]  (Local) -> (LOCAL)[3]Cronos: La buena
[2021:06:14-00:00:07]  (Local) -> (LOCAL)[7]LaSabandija: oe
[2021:06:14-00:00:07]  (Local) -> (LOCAL)[4]Randall...!: nh
[2021:06:14-00:00:07]  (Local) -> (LOCAL)[2]JaycoBauman|CDG|: jaajajs
[2021:06:14-00:00:08]  (Local) -> (LOCAL)[3]DONDARKAR[DARK]: esta
[2021:06:14-00:00:10]  (Global) -> Xx._GAMBOAxX/ELN/: ahy
[2021:06:14-00:00:11]  (Global) -> MICHAEL|CDG|#9D12D1í ½í¸ˆ: primo(CDG) militar hp
[2021:06:14-00:00:12]  (Global) -> cacharrito.HP: LO ESPERO
[2021:06:14-00:00:12]  (Global) -> SpookyRubber49: Ã±or
[2021:06:14-00:00:13]  (Local) -> (LOCAL)[2]DONDARKAR[DARK]: venga care chimba
[2021:06:14-00:00:15]  (Global) -> Juanpalo:): pa donde
[2021:06:14-00:00:18]  (Local) -> (LOCAL)[3]Oreo: diga ps
[2021:06:14-00:00:19]  (Local) -> (LOCAL)[3]DONDARKAR[DARK]: cuanto minimo
[2021:06:14-00:00:20]  (Global) -> primo(CDG): los otros
[2021:06:14-00:00:21]  (Local) -> (LOCAL)[3]DONDARKAR[DARK]: 12?
[2021:06:14-00:00:24]  (Local) -> (LOCAL)[2]Oreo: 13
[2021:06:14-00:00:27]  (Local) -> (LOCAL)[2]DONDARKAR[DARK]: bre
[2021:06:14-00:00:29]  (Local) -> (LOCAL)[3]Oreo: y hacemos negocio
[2021:06:14-00:00:30]  (Local) -> (LOCAL)[7]LaSabandija: solo sobrevivimos nosotrtos
[2021:06:14-00:00:30]  (Local) -> (LOCAL)[6]Lavi: ey
[2021:06:14-00:00:31]  (Global) -> elverscott:  a mi me mato 
[2021:06:14-00:00:32]  (Local) -> (LOCAL)[6]Lavi: 2 cosas
[2021:06:14-00:00:33]  (Local) -> (LOCAL)[3]DONDARKAR[DARK]: deja que me den una plata
[2021:06:14-00:00:34]  (Global) -> primo(CDG): vamos 
[2021:06:14-00:00:37]  (Global) -> DONDARKAR[DARK]: buitragoooooo
[2021:06:14-00:00:38]  (Local) -> (LOCAL)[2]Oreo: cuando
[2021:06:14-00:00:39]  (Local) -> (LOCAL)[5]Lavi: 1 no tengo sonido asi q no se que pasa
[2021:06:14-00:00:40]  (Local) -> (LOCAL)[3]Rip~: naa
[2021:06:14-00:00:40]  (Local) -> (LOCAL)[3]JaycoBauman|CDG|: uy gonorrea
[2021:06:14-00:00:42]  (Local) -> (LOCAL)[3]JaycoBauman|CDG|: oe
[2021:06:14-00:00:43]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: malo
[2021:06:14-00:00:44]  (Local) -> (LOCAL)[3]JaycoBauman|CDG|: oe
[2021:06:14-00:00:45]  (Local) -> (LOCAL)[3]JaycoBauman|CDG|: oe
[2021:06:14-00:00:45]  (Local) -> (LOCAL)[2]DONDARKAR[DARK]: noo
[2021:06:14-00:00:46]  (Local) -> (LOCAL)[4]AnxiousPrincipal12: asd
[2021:06:14-00:00:46]  (Local) -> (LOCAL)[4]Lavi: 2do lo mate para evitar q ese bobo lo matara
[2021:06:14-00:00:47]  (Local) -> (LOCAL)[4]JaycoBauman|CDG|: espere
[2021:06:14-00:00:48]  (Local) -> (LOCAL)[2]DONDARKAR[DARK]: ese mrk no esta kajsjas
[2021:06:14-00:00:52]  (Local) -> (LOCAL)[3]JaycoBauman|CDG|: le puedo preguntar algo?
[2021:06:14-00:00:54]  (Local) -> (LOCAL)[3]Tartaru$ZcB: q
[2021:06:14-00:00:54]  (Local) -> (LOCAL)[3]AnxiousPrincipal12: d
[2021:06:14-00:00:54]  (Local) -> (LOCAL)[2]DONDARKAR[DARK]: espere le escribo
[2021:06:14-00:00:58]  (Local) -> (LOCAL)[1]Rip~: lag de mierda
[2021:06:14-00:01:02]  (Local) -> (LOCAL)[5]pene~>w<: ai
[2021:06:14-00:01:07]  ([Msg] de Daiana para DONDARKAR[DARK]: decime bro) -> nil
[2021:06:14-00:01:07]  (Global) -> primo(CDG): baje pa
[2021:06:14-00:01:08]  (Local) -> (LOCAL)[3]JaycoBauman|CDG|: si usted es 2cb como hace para subir de rango si la mayoria de tombos son 2cb??
[2021:06:14-00:01:10]  (Global) -> DryEarth16: DALE
[2021:06:14-00:01:12]  (Global) -> A|caponeeee"2cb: Vendo Feltzer Rare
[2021:06:14-00:01:13]  (Local) -> (LOCAL)[2]Rip~: mk tengo culo de lag
[2021:06:14-00:01:17]  (Local) -> (LOCAL)[3]Tartaru$ZcB: yo juego hace 1 aÃ±o
